id	premise	status	owner	guard
P01	c_E calibrates dimension-matched observer clock/ruler coordinates	OBSERVED	founding/measurement	calibration is not a history or path selector
P02	reciprocal character D(phi)=diag(exp(-phi),exp(+phi)) on supplied depth	DERIVED	founding Reciprocity plus regular composition	does not construct the supplied depth
P03	complete coframe E=[[B,0],[Q S,Q]]	CONDITIONAL	regular local complete-metric chart	no universal split or physical history inferred
P04	pair realization J_alpha=[Y_alpha;Z_alpha] with rank two	SUPPLIED/CONDITIONAL	typed observer query	metric does not select J_alpha in this audit
P05	uncompressed pullback and first variation	DERIVED CONDITIONAL	G89	physical evolution remains open
P06	genuine same-surface chart overlap F_alpha=F_beta o psi_ba	SUPPLIED CASE	overlap type O1	must not be generalized to independently built pair surfaces
P07	shared observer tangent u on a seam	SUPPLIED CASE	overlap type O2	owns common h00 only unless stronger gluing is proved
P08	literal common calibrated middle terminal state	SUPPLIED CASE	overlap type O3	mismatch requires explicit reset M_B
P09	path or branch labels and possible holonomy	CONDITIONAL GEOMETRY	overlap type O4	do not impose universal flat descent
P10	joint Gram matrix mathcal K=mathcal J^T g mathcal J	DERIVED CONDITIONAL	one supplied common ambient realization	rank/inertia is compatibility not dynamics
P11	fixed-P reciprocal-response derivative	CHOSE CONTROL	G89 predecessor	not a physical history
P12	explicit-lift and calibrated contribution-live B Q S Y Z histories	FREE-AND-EXPLORED	G90 plus correction prereg ef881e7a	explicit presence is not activity; activity is not physical ownership
P13	loud ends and quiet middle	OPEN PHYSICAL SELECTION	tested in LQ1-LQ3 and stricter C2 correction	one survivor is not selection; C2 counterfamilies defeat activity-only selection
P14	modern mixing S has four components	CONDITIONAL	complete coframe chart	do not identify with July mu_old
P15	physical history regime score X_max realization dynamics action source matter bootstrap	OPEN OR INACTIVE	outside scope	no downstream claim
