profile_id	metric_family	lapse_a	mix_shape	mix_epsilon	A_of_x	h_over_R	start_x	endpoint_x	profile_status
G68_F01_AM	F01	-1/4	ZERO	0	1-x^2/4	0	1/4	1	CHOSE_CONTROL
G68_F01_A0	F01	0	ZERO	0	1	0	1/4	1	CHOSE_CONTROL
G68_F01_AP	F01	1/4	ZERO	0	1+x^2/4	0	1/4	1	CHOSE_CONTROL
G68_F02_AM_P05	F02	-1/4	PERSISTENT	1/20	1-x^2/4	(1/20)*x^2	1/4	1	CHOSE_CONTROL
G68_F02_AM_P20	F02	-1/4	PERSISTENT	1/5	1-x^2/4	(1/5)*x^2	1/4	1	CHOSE_CONTROL
G68_F02_AM_T05	F02	-1/4	TAPERED	1/20	1-x^2/4	(1/20)*x^2*(1-x)^2	1/4	1	CHOSE_CONTROL
G68_F02_AM_T20	F02	-1/4	TAPERED	1/5	1-x^2/4	(1/5)*x^2*(1-x)^2	1/4	1	CHOSE_CONTROL
G68_F02_AM_S05	F02	-1/4	SIGN_CHANGING	1/20	1-x^2/4	(1/20)*x^2*(1-2*x)	1/4	1	CHOSE_CONTROL
G68_F02_AM_S20	F02	-1/4	SIGN_CHANGING	1/5	1-x^2/4	(1/5)*x^2*(1-2*x)	1/4	1	CHOSE_CONTROL
G68_F02_A0_P05	F02	0	PERSISTENT	1/20	1	(1/20)*x^2	1/4	1	CHOSE_CONTROL
G68_F02_A0_P20	F02	0	PERSISTENT	1/5	1	(1/5)*x^2	1/4	1	CHOSE_CONTROL
G68_F02_A0_T05	F02	0	TAPERED	1/20	1	(1/20)*x^2*(1-x)^2	1/4	1	CHOSE_CONTROL
G68_F02_A0_T20	F02	0	TAPERED	1/5	1	(1/5)*x^2*(1-x)^2	1/4	1	CHOSE_CONTROL
G68_F02_A0_S05	F02	0	SIGN_CHANGING	1/20	1	(1/20)*x^2*(1-2*x)	1/4	1	CHOSE_CONTROL
G68_F02_A0_S20	F02	0	SIGN_CHANGING	1/5	1	(1/5)*x^2*(1-2*x)	1/4	1	CHOSE_CONTROL
G68_F02_AP_P05	F02	1/4	PERSISTENT	1/20	1+x^2/4	(1/20)*x^2	1/4	1	CHOSE_CONTROL
G68_F02_AP_P20	F02	1/4	PERSISTENT	1/5	1+x^2/4	(1/5)*x^2	1/4	1	CHOSE_CONTROL
G68_F02_AP_T05	F02	1/4	TAPERED	1/20	1+x^2/4	(1/20)*x^2*(1-x)^2	1/4	1	CHOSE_CONTROL
G68_F02_AP_T20	F02	1/4	TAPERED	1/5	1+x^2/4	(1/5)*x^2*(1-x)^2	1/4	1	CHOSE_CONTROL
G68_F02_AP_S05	F02	1/4	SIGN_CHANGING	1/20	1+x^2/4	(1/20)*x^2*(1-2*x)	1/4	1	CHOSE_CONTROL
G68_F02_AP_S20	F02	1/4	SIGN_CHANGING	1/5	1+x^2/4	(1/5)*x^2*(1-2*x)	1/4	1	CHOSE_CONTROL
