profile_id	family	lapse_a	mix_shape	mix_epsilon	status	affine_final	endpoint_psi	D_theta_theta	D_theta_psi	D_psi_theta	D_psi_psi	det_D	area_change_vs_matched_F01	diagonal_anisotropy	polar_rotation	first_caustic_affine	turning_count	max_null	max_gram	max_wronskian	refined_D_relative	second_method_D_relative
G68_F01_AM	F01	-0.25	ZERO	0.0	ENDPOINT_REGULAR_NO_CAUSTIC	0.75592894601845106	0	0.75592894601845717	0	0	0.75592894601845717	0.5714285714285755	0	0	0	NONE	0	9.0090091403724352e-16	7.5495165674510645e-15	0	6.3153541493985602e-15	1.4540001413731566e-14
G68_F01_A0	F01	0.0	ZERO	0.0	ENDPOINT_REGULAR_NO_CAUSTIC	0.75	0	0.75000000000000067	0	0	0.75000000000000067	0.562500000000001	0	0	0	NONE	0	0	1.3322676295501878e-15	0	9.3258734068513055e-15	1.2582527612418548e-14
G68_F01_AP	F01	0.25	ZERO	0.0	ENDPOINT_REGULAR_NO_CAUSTIC	0.74420840753524831	0	0.74420840753525386	0	0	0.74420840753525386	0.55384615384615854	0	0	0	NONE	0	5.8248266954944225e-16	7.5495165674510645e-15	0	1.0442721546394178e-14	9.5476311281319205e-15
G68_F02_AM_P05	F02	-0.25	PERSISTENT	0.05	ENDPOINT_REGULAR_NO_CAUSTIC	0.75631329051476481	-0.032810701080796326	0.75631329051476448	1.7357242139738201e-22	1.7357242064484863e-22	0.75608999641113195	0.57184091311099972	0.00072159794424231372	0.00029528381161667336	2.29498043762673e-22	NONE	0	4.5233319484091665e-16	2.1094237467877974e-15	5.0348774034420219e-34	1.6642714842969193e-15	1.0817640113279874e-14
G68_F02_AM_P20	F02	-0.25	PERSISTENT	0.2	ENDPOINT_REGULAR_NO_CAUSTIC	0.76201095021526799	-0.12946143790625805	0.76201095021526877	1.0938437256521141e-20	1.0938425554758552e-20	0.75847763612111185	0.57796826421767922	0.011444462380931331	0.0046476035741517003	1.4354682897494368e-20	NONE	0	6.485461576840274e-16	2.2204460492503131e-15	2.7685242950566515e-33	1.0377711125909096e-15	1.1648494155465381e-14
G68_F02_AM_T05	F02	-0.25	TAPERED	0.05	ENDPOINT_REGULAR_NO_CAUSTIC	0.7559303993762726	-0.0020804830587823745	0.75593593286440064	3.9492076338171504e-24	3.9492050850069634e-24	0.75592101013817348	0.57142785397060025	-1.2555514566914283e-06	1.9740923632001178e-05	5.2242589792531659e-24	NONE	0	4.5618120219310967e-16	4.1078251911130792e-15	2.4533669127615036e-34	2.5712527321682181e-15	1.2007815063339172e-14
G68_F02_AM_T20	F02	-0.25	TAPERED	0.2	ENDPOINT_REGULAR_NO_CAUSTIC	0.75595218804785269	-0.0083161713161907479	0.75604065866130132	2.5248006672648473e-22	2.5247746013201369e-22	0.75580203043834682	0.57141706491015665	-2.0136407232973497e-05	0.00031567864127003535	3.3394693425492225e-22	NONE	0	1.10952701845966e-15	2.886579864025407e-15	1.4609984187500047e-33	7.5606050653133335e-16	1.308464083681024e-14
G68_F02_AM_S05	F02	-0.25	SIGN_CHANGING	0.05	ENDPOINT_REGULAR_NO_CAUSTIC	0.756154529892478	0.016773993105072989	0.75604433029653018	1.594478221464856e-22	1.5945323115561806e-22	0.75596085666905311	0.57153991961074546	0.00019485931879748009	0.00011041447237967832	2.109046054125933e-22	NONE	0	5.5260909493037049e-16	3.7747582837255322e-15	4.0540449171159052e-34	1.8720335443219456e-15	1.3479441509712491e-14
G68_F02_AM_S20	F02	-0.25	SIGN_CHANGING	0.2	ENDPOINT_REGULAR_NO_CAUSTIC	0.75951956863091485	0.06652495042843086	0.7577633590998194	1.0011645430800513e-20	1.0017019783308672e-20	0.75643477322860919	0.57319855470162095	0.0030974707278295099	0.0017548375511033042	1.3219192592273573e-20	NONE	0	5.8128719191113845e-16	1.5543122344752192e-15	2.094448814521119e-33	1.8548865130336051e-15	5.1575352147376515e-15
G68_F02_A0_P05	F02	0.0	PERSISTENT	0.05	ENDPOINT_REGULAR_NO_CAUSTIC	0.75030742310164711	-0.028103463733203427	0.750307423101646	1.3442309325065373e-22	1.3442309287038091e-22	0.75013175092539941	0.56282942102356215	0.00058563737521977188	0.00023416101003961393	1.7915735434776618e-22	NONE	0	6.3021591593920562e-16	3.3306690738754696e-15	5.1190427989608976e-34	2.8175772603319795e-15	1.1294572382740514e-14
G68_F02_A0_P20	F02	0.0	PERSISTENT	0.2	ENDPOINT_REGULAR_NO_CAUSTIC	0.75487283170834862	-0.11114457162109471	0.75487283170834751	8.4890767621025909e-21	8.489070802253276e-21	0.75208786715154474	0.56773069797017806	0.0092990186136481245	0.0036961342905754173	1.12456965540033e-20	NONE	0	3.6051657017726505e-16	3.1086244689504383e-15	1.7243091533341971e-33	1.4171258627139773e-15	8.7673805382570102e-15
G68_F02_A0_T05	F02	0.0	TAPERED	0.05	ENDPOINT_REGULAR_NO_CAUSTIC	0.75000128006376665	-0.0017577287194551683	0.75000593528034576	3.5428699148966393e-24	3.5428681436481165e-24	0.74999211652888875	0.56249853881013534	-2.5976708722952324e-06	1.8425025872985517e-05	4.7237868088654829e-24	NONE	0	3.969725425544393e-16	1.5543122344752192e-15	1.4865228092101721e-34	1.2734015974035147e-15	1.4702733158710351e-14
G68_F02_A0_T20	F02	0.0	TAPERED	0.2	ENDPOINT_REGULAR_NO_CAUSTIC	0.7500204715118558	-0.0070258915745152152	0.75009490039990923	2.2651184574668505e-22	2.2651003368260254e-22	0.74987392140026476	0.56247660438522096	-4.1592204053420012e-05	0.00029464479052205249	3.0197516815784227e-22	NONE	0	6.3966874803807663e-16	2.9976021664879227e-15	7.0774163874308286e-34	1.277721272085127e-15	1.2458084733828295e-14
G68_F02_A0_S05	F02	0.0	SIGN_CHANGING	0.05	ENDPOINT_REGULAR_NO_CAUSTIC	0.75018232795308459	0.014056536539541352	0.75008854918258949	1.1424836782848396e-22	1.142519273729764e-22	0.7500196227659871	0.56258113069901239	0.00014423235379812382	9.1895261810161224e-05	1.5231791966092892e-22	NONE	0	5.5378809276067536e-16	2.886579864025407e-15	5.1938042396731951e-34	2.0563465298754588e-15	1.2459125928025157e-14
G68_F02_A0_S20	F02	0.0	SIGN_CHANGING	0.2	ENDPOINT_REGULAR_NO_CAUSTIC	0.75290660090662476	0.055875241167844293	0.75141046209978413	7.2123199050486923e-21	7.2158885441962321e-21	0.7503112877670598	0.56379175145973059	0.002296447039519256	0.0014638854805449693	9.6031249339166023e-21	NONE	0	5.1301116474902214e-16	2.2204460492503131e-15	1.1074097180226606e-33	3.3062496277636295e-16	9.907721921701403e-15
G68_F02_AP_P05	F02	0.25	PERSISTENT	0.05	ENDPOINT_REGULAR_NO_CAUSTIC	0.7444630607298629	-0.024682118495035137	0.74446306072986412	1.0835745873951136e-22	1.0835745852409737e-22	0.74431924188549159	0.55411818097420518	0.00049116009230631974	0.00019320332344075611	1.4555115524182598e-22	NONE	0	7.4115487141035159e-16	3.1086244689504383e-15	2.8181301566613521e-34	1.0857928078496339e-15	1.3722160889747195e-14
G68_F02_AP_P20	F02	0.25	PERSISTENT	0.2	ENDPOINT_REGULAR_NO_CAUSTIC	0.74824918895444781	-0.097760398603668211	0.74824918895444814	6.8526342929884053e-21	6.8526309118182974e-21	0.74596641041800271	0.55816876158253148	0.0078047084128956001	0.0030554874911012352	9.1582203001030862e-21	NONE	0	4.074916646681938e-16	1.7763568394002505e-15	1.2548637293898084e-33	1.1606235275180058e-15	7.2167953981495935e-15
G68_F02_AP_T05	F02	0.25	TAPERED	0.05	ENDPOINT_REGULAR_NO_CAUSTIC	0.74420956711039499	-0.0014919613803624399	0.74421350099060501	3.213490935324269e-24	3.2134897959440455e-24	0.74420060958931866	0.55384414110180924	-3.634121741757923e-06	1.7322331459662849e-05	4.317967615028006e-24	NONE	0	6.4950383666101813e-16	3.5527136788005009e-15	4.0791049873074978e-34	1.2833121519798193e-15	1.1432151195847175e-14
