profile_id	D_conjugation_relative	affine_absolute	coordinate_reflection_max_absolute	negative_endpoint_reached
G68_F02_A0_P05	2.8175772603319795e-15	6.661338147750939e-16	1.5543122344752192e-15	True
G68_F02_A0_P20	1.4171258627139773e-15	6.661338147750939e-16	2.220446049250313e-16	True
G68_F02_A0_S05	2.0563465298754588e-15	1.1102230246251565e-16	5.551115123125783e-16	True
G68_F02_A0_S20	3.3062496277636295e-16	7.771561172376096e-16	4.440892098500626e-16	True
G68_F02_A0_T05	1.2734015974035147e-15	3.3306690738754696e-16	8.881784197001252e-16	True
G68_F02_A0_T20	1.277721272085127e-15	0.0	1.1102230246251565e-16	True
G68_F02_AM_P05	1.6642714842969193e-15	3.3306690738754696e-16	3.3306690738754696e-16	True
G68_F02_AM_P20	1.0377711125909096e-15	4.440892098500626e-16	4.440892098500626e-16	True
G68_F02_AM_S05	1.8720335443219456e-15	7.771561172376096e-16	8.881784197001252e-16	True
G68_F02_AM_S20	1.854886513033605e-15	1.9984014443252818e-15	2.6645352591003757e-15	True
G68_F02_AM_T05	2.571252732168218e-15	8.881784197001252e-16	1.1102230246251565e-16	True
G68_F02_AM_T20	7.560605065313333e-16	2.220446049250313e-16	2.55351295663786e-15	True
G68_F02_AP_P05	1.085792807849634e-15	4.440892098500626e-16	1.2212453270876722e-15	True
G68_F02_AP_P20	1.1606235275180058e-15	3.3306690738754696e-16	5.551115123125783e-16	True
G68_F02_AP_S05	3.357229190924088e-15	2.3314683517128287e-15	2.220446049250313e-15	True
G68_F02_AP_S20	1.8764703265789456e-15	1.1102230246251565e-16	2.220446049250313e-16	True
G68_F02_AP_T05	1.2833121519798193e-15	2.1094237467877974e-15	1.6653345369377348e-15	True
G68_F02_AP_T20	2.282108077087087e-15	4.440892098500626e-16	2.220446049250313e-16	True
