id	object	required_status	scope_or_premise	prohibited_promotion
C01	reciprocal_kinematics	DERIVED	exact_C0_C1_and_recorded_nontriviality_sign_unit_premises	unconditional_complete_dynamics
C02	timelike_dphi_3plus3	DERIVED	timelike_nonzero_dphi_and_time_orientation	global_selected_observer_field
C03	spacelike_dphi_3plus3	DERIVED	spacelike_nonzero_dphi	observer_boost_rotation_split
C04	null_dphi_filtration	DERIVED	null_nonzero_dphi	semisimple_3plus3
C05	zero_dphi_reduction	OPEN	dphi_equals_zero	intrinsic_continuation
C06	finite_cell_completion_cross	VERIFIED_WITH_CAVEATS	12_registered_families_times_5_causal_classes	solved_universe_or_selected_branch
C07	C2_Bach_bulk_action	UNIQUE_CONDITIONAL	variation_before_physical_scale_selection	unconditional_native_action
C08	EH_route	CONDITIONAL	bootstrap_first_selects_physical_metric_representative	native_action
C09	S2_carrier	POSIT	recorded_particle_lane	derived_carrier
C10	particle_stability	CONDITIONAL	finite_box_corrected_no_null_L2_plus_L4_and_carrier_premises	unconditional_matter
C11	complete_action	OPEN	none	derived
C12	native_source	OPEN	none	derived
C13	boundary_charge	OPEN	none	derived
C14	physical_representative	OPEN	CSN_preserves_split_but_not_LC_mixing	selected
C15	absolute_scale	OPEN	c_E_and_G_obs_are_observational_anchors	selected
C16	bridge	OPEN	pre_scale_to_post_scale	derived
C17	carrier_emergence	OPEN	none	derived
C18	unconditional_mass	OPEN	none	derived
C19	copresence	WORKING	whole_solution_event_domain	instantaneous_signaling
C20	Kato_transport	DERIVED_GEOMETRIC	smooth_fixed_rank_nonnull_regions	physical_time_evolution
C21	WRL	CONDITIONAL_STATIC_SLICE	static_spherical_one_function_family	complete_frame_reciprocal_metric
C22	phi_vs_rapidity	NOT_IDENTIFIED	frame_bivector_audit	identity
C23	finite_cell_selection	OPEN	zero_complete_onshell_g_phi_branches	selected
C24	current_scientific_seam	OPEN	conformal_natural_transport_or_bootstrap_metric_representative	answered
