step	upstream_object	operation_or_join	result	status	evidence_path	downstream_gate
F01	C0_C1_reciprocal_foundation	regular_additive_composition_and_dual_reciprocity	reciprocal_exponential_clock_ruler_kinematics	DERIVED	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	complete_covariant_realization
F02	complete_local_Lorentzian_metric	frame_reciprocity_rederivation	local_SO_plus_1_3_and_noncollinear_screen_rotation	DERIVED	udt_metric_pure_frame_rederivation_2026-07-23/AUDIT_REPORT.md	global_complete_metric
F03	metric_plus_nonnull_dphi	raise_dphi_and_normalize_line	intrinsic_line_and_two_rank3_bivector_sectors	DERIVED	udt_frame_bivector_equivariance_audit_2026-07-23/AUDIT_REPORT.md	causal_type_and_global_persistence
F04	timelike_nonzero_dphi	Lorentz_algebra_identification	boost3_plus_rotation3_Cartan_split	DERIVED	udt_frame_bivector_equivariance_audit_2026-07-23/STATUS_LEDGER.tsv	physical_observer_selection
F05	general_Lorentz_connection	induced_Lambda2_connection	within_sector_rotation_and_cross_sector_boost_extrinsic_mixing	DERIVED	udt_finite_cell_cartan_transport_atlas_2026-07-23/CONNECTION_BLOCK_ATLAS.tsv	physical_connection_or_representative
F06	smooth_fixed_rank_nonnull_reduction	Kato_commutator_correction	exact_geometric_subbundle_transport	DERIVED-GEOMETRIC	udt_finite_cell_cartan_transport_atlas_2026-07-23/AUDIT_REPORT.md	not_physical_evolution
F07	dphi_causal_change	normalized_projector_and_unnormalized_null_controls	timelike_Cartan_spacelike_SO12_null_filtration_zero_nonuniqueness	DERIVED	udt_finite_cell_cartan_transport_atlas_2026-07-23/CAUSAL_TRANSITION_ATLAS.tsv	through_interface_law
F08	12_completion_families	cross_with_5_dphi_causal_classes	60_row_finite_cell_causal_atlas	VERIFIED-WITH-CAVEATS	udt_finite_cell_cartan_transport_atlas_2026-07-23/COMPLETION_CAUSAL_CROSS.tsv	complete_onshell_g_phi_solution
F09	positive_CSN_rescaling	compare_projector_and_Levi_Civita_mixing	split_invariant_but_LC_mixing_representative_dependent	DERIVED	udt_finite_cell_cartan_transport_atlas_2026-07-23/AUDIT_REPORT.md	conformal_connection_or_bootstrap_representative
F10	pre_scale_variation	C2_Bach_uniqueness_route	unique_only_with_registered_variation_premise	UNIQUE-CONDITIONAL	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	pre_post_scale_bridge
F11	post_scale_representative	EH_minimality_route	conditional_metric_action	CONDITIONAL	UDT_GR_TO_UDT_SELECTOR_AUDIT_2026-07-18.md	native_selector_and_boundary
F12	conditional_round_S2_L2_plus_L4	finite_box_static_solver	stable_Hopfion_branch_inside_recorded_premises	SETTLED_STATIC_FINITE_BOX_CONDITIONAL	native_hopfion_topology_audit_2026-07-19/TOPOLOGY_STATUS_LEDGER.tsv	carrier_emergence_source_scale_and_time_live
F13	complete_metric_bootstrap_matter_system	not_yet_supplied	action_source_boundary_scale_carrier_and_mass	OPEN	udt_scientific_consolidation_checkpoint_2026-07-23/CURRENT_STATUS_LEDGER.tsv	current_scientific_seam
