id	object	status	scope_or_premise	evidence_path	remaining_open_or_prohibited
C01	reciprocal_kinematics	DERIVED	exact_C0_C1_regular_composition_nontriviality_sign_and_unit_premises	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	complete_dynamics
C02	timelike_dphi_3plus3	DERIVED	timelike_nonzero_dphi_and_recorded_time_orientation	udt_frame_bivector_equivariance_audit_2026-07-23/AUDIT_REPORT.md	global_selected_observer_field
C03	spacelike_dphi_3plus3	DERIVED	spacelike_nonzero_dphi	udt_finite_cell_cartan_transport_atlas_2026-07-23/CONNECTION_BLOCK_ATLAS.tsv	not_an_observer_boost_rotation_split
C04	null_dphi_filtration	DERIVED	null_nonzero_dphi	udt_finite_cell_cartan_transport_atlas_2026-07-23/CAUSAL_TRANSITION_ATLAS.tsv	not_a_semisimple_3plus3
C05	zero_dphi_reduction	OPEN	dphi_equals_zero	udt_finite_cell_cartan_transport_atlas_2026-07-23/CAUSAL_TRANSITION_ATLAS.tsv	no_intrinsic_continuation
C06	finite_cell_completion_cross	VERIFIED-WITH-CAVEATS	12_registered_completion_families_times_5_causal_classes	udt_finite_cell_cartan_transport_atlas_2026-07-23/COMPLETION_CAUSAL_CROSS.tsv	zero_complete_onshell_g_phi_branches_and_no_selection
C07	C2_Bach_bulk_action	UNIQUE-CONDITIONAL	variation_before_physical_scale_selection	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	not_unconditional_native_action
C08	EH_route	CONDITIONAL	bootstrap_first_selects_physical_metric_representative	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	native_selector_and_bridge
C09	S2_carrier	POSIT	recorded_particle_lane	native_hopfion_topology_audit_2026-07-19/TOPOLOGY_STATUS_LEDGER.tsv	carrier_emergence
C10	particle_stability	SETTLED_STATIC_FINITE_BOX_CONDITIONAL	finite_box_corrected_no_null_L2_plus_L4_coefficients_boundary_and_carrier	native_hopfion_topology_audit_2026-07-19/TOPOLOGY_STATUS_LEDGER.tsv	unconditional_matter_and_time_live_persistence
C11	complete_action	OPEN	no_current_selector	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	complete_variation_domain_and_boundary
C12	native_source	OPEN	no_current_source_law	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	source_and_coupling
C13	boundary_charge	OPEN	no_native_normalized_generator	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	boundary_functional_reference_and_normalization
C14	physical_representative	OPEN	CSN_preserves_split_but_not_Levi_Civita_mixing	udt_finite_cell_cartan_transport_atlas_2026-07-23/AUDIT_REPORT.md	representative_or_conformal_connection_selector
C15	absolute_scale	OPEN	c_E_and_G_obs_are_observational_anchors	matter_bootstrap_dimensional_inventory_2026-07-20/STATUS_LEDGER.tsv	independent_scale_breaker
C16	bridge	OPEN	C2_before_scale_and_EH_after_scale_are_conditional_routes	UDT_GR_TO_UDT_SELECTOR_AUDIT_2026-07-18.md	native_two_stage_join
C17	carrier_emergence	OPEN	celestial_S2_fiber_is_not_a_selected_section	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	section_target_transport_action_boundary
C18	unconditional_mass	OPEN	all_present_mass_routes_are_conditional	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	native_mass_functional_and_scale
C19	copresence	WORKING	whole_solution_event_domain	copresence_causal_accessibility_selector_2026-07-19/STATUS_LEDGER.tsv	not_zero_duration_influence_or_propagation
C20	Kato_transport	DERIVED-GEOMETRIC	smooth_fixed_rank_nonnull_regions	udt_finite_cell_cartan_transport_atlas_2026-07-23/AUDIT_REPORT.md	not_physical_time_evolution
C21	WRL	CONDITIONAL-STATIC-SLICE	static_spherical_one_function_family	udt_metric_pure_frame_rederivation_2026-07-23/AUDIT_REPORT.md	not_complete_frame_reciprocal_metric
C22	phi_vs_rapidity	OPEN_NOT_JOINED	frame_bivector_join	udt_frame_bivector_equivariance_audit_2026-07-23/STATUS_LEDGER.tsv	no_identity_derived
C23	finite_cell_selection	OPEN	zero_complete_onshell_g_phi_branches	udt_finite_cell_cartan_transport_atlas_2026-07-23/DERIVATION_RESULT.json	no_selected_completion_or_causal_history
C24	current_scientific_seam	OPEN	conformal_transport_versus_bootstrap_selected_representative	udt_finite_cell_cartan_transport_atlas_2026-07-23/NEXT_STEP.md	no_follow_on_authorized
