id	path	role	bytes	sha256
S01	AGENTS.md	startup_and_method	12139	a1fa095cbd3692842db47ffe47a169cc0a982e06f6e2439e00ca1a653c9f8dd4
S02	LIVE.md	top_authority	77195	3eb32befa464a3cd9b56fef040bd4cb29d0c1d08389559fcb74261ae16b34b20
S03	HANDOFF.md	current_handoff	33034	c01b3c10b6cfa84ef2c4800befbac24f446929351d2ab42e1c83d9a7f3db3513
S04	INDEX.md	navigation	19347	5e8135b87763025f234a5655756fb14a8503d9812a33502042b25f8e004c3bf5
S05	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	cumulative_frontier	33060	f49dd14689259d409856af7e5175da704ccf0914397689c1af19fd631c98e142
S06	udt_metric_to_frontier_reference_2026-07-22/REFERENCE.md	frozen_metric_to_frontier_reference	18350	a8b27cb298a95dc1f3eabc5c4ff78b2835041a4d3dcc3e184d8ff6be47ded1e7
S07	udt_metric_to_frontier_reference_2026-07-22/CLAIM_DEPENDENCY_LEDGER.tsv	frozen_claim_dependencies	8573	bc94d0b2e714030e17d54af5be92a8664999a0e0ea1f135182f31bf25b48cdba
S08	udt_metric_to_frontier_reference_2026-07-22/OPEN_JOIN_LEDGER.tsv	frozen_open_joins	4178	74b2a71bbddb71fe325d78c5c83766ebb7427ba9bc73165d98ee8143b32426b3
S09	udt_metric_pure_frame_rederivation_2026-07-23/AUDIT_REPORT.md	complete_metric_frame_rederivation	8668	e616102b06e32fbbbc36d189cbc12ff75bec0f4b0341e74192781dd775c81294
S10	udt_metric_pure_frame_rederivation_2026-07-23/STATUS_LEDGER.tsv	frame_statuses	3372	d9b02a63e3e7f946fb95065daa146adfca713dbc0546f9717b4ef9d7928d18b3
S11	udt_frame_bivector_equivariance_audit_2026-07-23/AUDIT_REPORT.md	bivector_Cartan_join	9009	030812cf6903a41bac26005326e1104c5dfeb54c5995194de1474bb33b4afa28
S12	udt_frame_bivector_equivariance_audit_2026-07-23/STATUS_LEDGER.tsv	bivector_statuses	3290	8af8af11ddd676a545a1ab5b97917191d95104c1e0cc37a6457dc7e79492ec3b
S13	udt_finite_cell_cartan_transport_atlas_2026-07-23/AUDIT_REPORT.md	finite_cell_causal_transport	6490	422a96a0b8ce50b1b74c0e7ea78ac9b0f6ec2d5ef8ea59c69c2b3f9941f25df7
S14	udt_finite_cell_cartan_transport_atlas_2026-07-23/STATUS_LEDGER.tsv	finite_cell_statuses	4772	df6ab72b00a0e24cee5e85b9cfd9a54ab1a04f11daeb83532ef5eabb8bcf2e85
S15	udt_finite_cell_cartan_transport_atlas_2026-07-23/FINITE_CELL_CARTAN_TRANSPORT_ATLAS.tsv	completion_family_cross	8818	b2db6f89a1b31f0264f06a7f81512b3f944202f070915409d8106d4ee414d264
S16	udt_finite_cell_cartan_transport_atlas_2026-07-23/COMPLETION_CAUSAL_CROSS.tsv	12_by_5_cross	15446	d6893363db13a0fa9e1f6acbd37c7070baf0618c81033fd69e59ae51c85d2729
S17	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	action_statuses	8676	70cab9d5e10b03e0e3418129b67155e01d9f805c4397c69ef8795c4d2aaa5dfd
S18	UDT_GR_TO_UDT_SELECTOR_AUDIT_2026-07-18.md	GR_selector_status	11205	db4a426b021e375fa4bca0d870aaf973de319de3b08072195d001a056630832d
S19	matter_bootstrap_dimensional_inventory_2026-07-20/STATUS_LEDGER.tsv	matter_and_scale_status	2417	062715f9229b5213e9b8924d08f35504a766008e9f6c3be923ef869142f0e0fe
S20	stability_branch_follow_256_DECISION.md	particle_lane_scope	22662	9806bc8f61b94109080699f00d8a758f1afc935db18a11f07dbe7365a61811d5
S21	native_hopfion_topology_audit_2026-07-19/TOPOLOGY_STATUS_LEDGER.tsv	carrier_topology_scope	4226	de154fbb7787759864786c04186a26a4605c447d362112bb482acee064d457e4
S22	udt_premise_reset_audit_2026-07-19/OWNER_MEANING_LEDGER.tsv	corrected_owner_meanings	3638	393889c25975e8c9bded1f9e5aac90b285273c80e40914f1492159b61ae093d5
S23	copresence_causal_accessibility_selector_2026-07-19/STATUS_LEDGER.tsv	copresence_scope	3763	1179529aacf4ffeec576a982d71ea4753e4432ce4eda13e2b0467a19de2ab283
S24	research/_registry/CURRENT_ARTIFACT_PATHS.tsv	current_path_authority	203899	9c1f7c9a9f11dbf31706268d5dbd3c2ffd4247e3f981a603d86e2095925e729c
S25	research/_registry/CURRENT_CLASSIFICATION.tsv	current_classification_overlay	408724	05cc6b48d40b9041d1bd82584489fde6cb2a29f59b495b50c32ac30abe6bb8e3
S26	scale_breaking_closure_census_2026-07-20/STATUS_LEDGER.tsv	absolute_scale_status_and_dimensional_theorem	2794	33fa9a3d07f27dec25269b114ab479edc26012a83187c2105291ca3b470e098a
