model_id	variant	rows	full_rank	rank_deficient	unresolved	min_sigma_ratio	max_condition	x_a_full	x_epsilon_full	a_epsilon_full	ownership_status
R00_UNRESTRICTED_SPD	UNRESTRICTED_SPD	15	0	15	0	0.0	inf	0	0	0	OPEN_NOT_CURRENTLY_UDT_OWNED
R01_ISOTROPIC_UNKNOWN_AMPLITUDE	IDENTITY	15	0	15	0	0.0	inf	0	0	0	OPEN_NOT_CURRENTLY_UDT_OWNED
R02_FIXED_SHAPE_UNKNOWN_AMPLITUDE	CORRELATED	15	0	15	0	0.0	inf	1	13	13	OPEN_NOT_CURRENTLY_UDT_OWNED
R02_FIXED_SHAPE_UNKNOWN_AMPLITUDE	DIAGONAL_2_1	15	0	15	0	0.0	inf	0	0	0	OPEN_NOT_CURRENTLY_UDT_OWNED
R02_FIXED_SHAPE_UNKNOWN_AMPLITUDE	IDENTITY	15	0	15	0	0.0	inf	0	0	0	OPEN_NOT_CURRENTLY_UDT_OWNED
R03_KNOWN_SOURCE_COVARIANCE	CORRELATED	15	0	11	4	5.2665622908229354e-12	189877180745.11627	15	15	15	OPEN_NOT_CURRENTLY_UDT_OWNED
R03_KNOWN_SOURCE_COVARIANCE	DIAGONAL_2_1	15	0	15	0	0.0	inf	15	15	15	OPEN_NOT_CURRENTLY_UDT_OWNED
R03_KNOWN_SOURCE_COVARIANCE	IDENTITY	15	0	15	0	0.0	inf	15	15	15	OPEN_NOT_CURRENTLY_UDT_OWNED
R04_UNKNOWN_AMPLITUDE_PLUS_CARRY	CORRELATED	15	1	3	11	7.719429134571185e-09	129543258.00097524	15	15	15	OPEN_NOT_CURRENTLY_UDT_OWNED
R04_UNKNOWN_AMPLITUDE_PLUS_CARRY	DIAGONAL_2_1	15	0	15	0	0.0	inf	15	15	15	OPEN_NOT_CURRENTLY_UDT_OWNED
R04_UNKNOWN_AMPLITUDE_PLUS_CARRY	IDENTITY	15	0	15	0	0.0	inf	15	15	15	OPEN_NOT_CURRENTLY_UDT_OWNED
R04_UNKNOWN_AMPLITUDE_PLUS_CARRY	ISOTROPIC	15	0	15	0	0.0	inf	15	15	15	OPEN_NOT_CURRENTLY_UDT_OWNED
R05_KNOWN_SOURCE_PLUS_CARRY	CORRELATED	15	15	0	0	7.582063436200398e-06	131890.2180672245	15	15	15	OPEN_NOT_CURRENTLY_UDT_OWNED
R05_KNOWN_SOURCE_PLUS_CARRY	DIAGONAL_2_1	15	15	0	0	7.443928961640447e-06	134337.6602803617	15	15	15	OPEN_NOT_CURRENTLY_UDT_OWNED
R05_KNOWN_SOURCE_PLUS_CARRY	IDENTITY	15	15	0	0	7.443928959894951e-06	134337.66031186198	15	15	15	OPEN_NOT_CURRENTLY_UDT_OWNED
R06_TWO_FIXED_SHAPE_CHANNELS	DIAGONAL_2_1+CORRELATED	15	0	15	0	1.7424376953522505e-13	5739086124384.151	1	13	12	OPEN_NOT_CURRENTLY_UDT_OWNED
R06_TWO_FIXED_SHAPE_CHANNELS	IDENTITY+CORRELATED	15	0	15	0	1.4617914033160975e-13	6840921336187.118	1	13	12	OPEN_NOT_CURRENTLY_UDT_OWNED
R06_TWO_FIXED_SHAPE_CHANNELS	IDENTITY+DIAGONAL_2_1	15	0	15	0	0.0	inf	0	0	0	OPEN_NOT_CURRENTLY_UDT_OWNED
R07_UNRESTRICTED_SPD_PLUS_CARRY	UNRESTRICTED_SPD	15	0	15	0	0.0	inf	0	0	0	OPEN_NOT_CURRENTLY_UDT_OWNED
