gate	failure_condition	maximum_if_passed
source_manifest	any_of_9_source_hashes_mismatch	declared_sources_replayed
cell_census	G69_input_not_exactly_315_unique_cells	no_atlas_conclusion
atlas_census	not_exactly_285_rows_19_variants_15_centers	no_rank_conclusion
matrix_log_domain	any_covariance_nonpositive_or_reconstruction_relative_gt_2e-12	SPD_log_coordinates_numerically_valid
independent_matrix_replay	maximum_matrix_relative_gt_2e-10	separate_logm_route_reproduces_atlas
rank_replay	any_full_or_pair_classification_differs	frozen_rank_labels_reproduced
rectangular_rank	any_output_dimension_lt_3_called_full_three_parameter_rank	rank_ceiling_enforced
unrestricted_source	congruence_or_positive_definiteness_control_fails	exact_source_compensation_retained
R05_robust_subresult	not_45_of_45_FULL_RANK_OBSERVED	known_source_plus_carry_not_sufficient_on_tile
near_threshold_scope	R04_mixed_family_promoted_to_robust_solution	strict_unresolved_landing_retained
ownership	any_helpful_source_endpoint_profile_or_carry_premise_promoted_without_owner	algebra_separated_from_physics
anchor_policy	any_fit_or_observational_coefficient_used	zero_anchor_characterization_only
protected_draft	any_of_7_protected_paths_read_modified_or_staged	protected_metadata_only
external_status	report_claims_external_verification_before_review	internal_verified_pending_review_only
