item	status	current_owner_or_source	G70_role	maximum_claim
G68_control_observer_sky_query	CHOSE_CONTROL	udt_cmb_G68_F01_F02_finite_path_jacobi_controls_2026-08-11/EXACT_DERIVATION.md	common_frozen_query	valid_control_not_physical_CMB_query
physical_CMB_observer_sky_query	OPEN	udt_cmb_complete_observation_query_map_2026-08-11/QUERY_LAYER_ATLAS.tsv	unowned_physical_input	no_physical_query_selected
screen_Jacobi_map_D	DERIVED	udt_cmb_G69_profile_endpoint_source_identifiability_2026-08-11/EXACT_DERIVATION.md	metric_readout_on_supplied_query	derived_conditional_on_query
endpoint_grid	CHOSE_CONTROL	PREREGISTRATION.md	finite_sensitivity_control	no_last_scattering_selection
physical_endpoint_or_last_scattering	OPEN	udt_cmb_complete_observation_query_map_2026-08-11/QUERY_LAYER_ATLAS.tsv	potential_parameter_restriction	no_owner
G68_profile_family_and_coefficients	CHOSE_CONTROL	udt_cmb_G68_F01_F02_finite_path_jacobi_controls_2026-08-11/EXACT_DERIVATION.md	finite_metric_controls	no_physical_profile_selection
physical_CMB_profile	OPEN	udt_cmb_complete_observation_query_map_2026-08-11/QUERY_LAYER_ATLAS.tsv	potential_parameter_restriction	no_owner
unrestricted_local_source_covariance	CHOSE_CONTROL	udt_cmb_G69_profile_endpoint_source_identifiability_2026-08-11/EXACT_DERIVATION.md	exact_degeneracy_class	algebra_control_not_source_law
source_isotropy	CHOSE_CONTROL	PREREGISTRATION.md	R01_R04_algebra_control	metric_symmetry_does_not_derive_source_symmetry
fixed_source_shape	CHOSE_CONTROL	PREREGISTRATION.md	R02_R04_R06_algebra_control	no_native_source_shape_owner
known_source_normalization	CHOSE_CONTROL	PREREGISTRATION.md	R03_R05_algebra_control	no_native_source_amplitude_owner
native_source_state_covariance	OPEN	udt_cmb_complete_observation_query_map_2026-08-11/QUERY_LAYER_ATLAS.tsv	required_for_physical_power	no_owner_from_metric_alone
geometric_azimuthal_carry_psi	DERIVED	udt_cmb_G68_F01_F02_finite_path_jacobi_controls_2026-08-11/EXACT_DERIVATION.md	geometric_control_channel	finite_query_readout_only
scalar_TT_access_to_psi	OPEN	udt_cmb_G69_profile_endpoint_source_identifiability_2026-08-11/EXACT_DERIVATION.md	R04_R05_observation_premise	not_owned
polarization_or_independent_orientation_channel	OPEN	udt_cmb_complete_observation_query_map_2026-08-11/OBSERVABLE_CHANNEL_REQUIREMENTS.tsv	possible_independent_channel	requires_transport_and_spin_sensitive_source
two_fixed_source_shape_channels	CHOSE_CONTROL	PREREGISTRATION.md	R06_algebra_control	no_channel_or_source_owner
P1_SNe_low_z_cross_anchor	CONDITIONAL	udt_sne_native_observer_query_replay_2026-08-11/AUDIT_REPORT.md	inactive_compatibility_anchor	cannot_be_copied_into_CMB_lapse_or_endpoint
X_max	WORKING	CURRENT_SCIENTIFIC_PREMISES.tsv	inactive_pair_asymptotic_guard	not_last_scattering_or_profile_selector
action_native_source_bootstrap	OPEN	CURRENT_SCIENTIFIC_PREMISES.tsv	inactive	no_selection_rule
local_signal_or_propagation_law	OPEN	CURRENT_SCIENTIFIC_PREMISES.tsv	inactive	no_inference_from_pair_readout
