item	status	role
c_E	OBSERVED	clock-ruler calibration in every supplied positional comparison
dual_reciprocity	FOUNDATIONAL	forces reciprocal action uv=1 on supplied comparison
positional_composition	POSIT	forces exponential character on supplied additive depth
nontriviality	OBSERVED_OR_SEPARATE_POSIT	excludes identity representation
Lorentzian_angular_readout	DECLARED	turns reciprocal coframe action into local metric family
copresence	WORKING_WHOLE_SOLUTION_DOMAIN_MEMBERSHIP_SEMANTICS	owns event co-membership only unless stronger source entailment is found
ordered_depth	SUPPLIED	input to founded reciprocal character
calibrated_query_plane	OPEN_FOR_OWNERSHIP	domain whose rank completeness is tested
complete_pair_value	DERIVED_CONDITIONALLY_FROM_SUPPLIED_G_AND_QUERY	h_A=A_A^T g A_A
rank_ten_faithfulness	DERIVED_BOUNDED_G129	reconstructs g from supplied complete pair values
physical_network_values	OPEN_FOR_TEST	cannot be assumed from the reconstruction theorem
observations_and_downstream_physics	OMITTED	no fit source action bootstrap Xmax matter mass or signalling
