id	path	role	authority	affirmative_use	prohibition	audit_ruling
R01	CANON.md	canon/control ledger	MIXED_DATE_CONTROL	current owner locks only after later controls	pre-July science cannot affirm post-firewall physics	SCOPE_HISTORY_ONLY
R02	LIVE.md	controlling state	CURRENT_CONTROL	frontier and authority boundary	not load-bearing algebra	CONTROLLING_SCOPE
R03	UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	CSN postulate	OWNER_LOCKED_FOUNDATION	pre-scale conformal equivalence	does not select a representative or action	FOUNDING_SELECTOR
R04	UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	bootstrap principle	OWNER_STATED_WORKING	on-shell consistency	cannot become a missing local EOM	ON_SHELL_ONLY
R05	UDT_GR_TO_UDT_SELECTOR_AUDIT_2026-07-18.md	action selector audit	POST_FIREWALL_EVIDENCE	pre/post-scale action distinctions	no C2 completion promotion	ACTION_BRANCH_SCOPE
R06	UDT_NATIVE_ACTION_COLD_ARM_DISPATCH.md	C0 foundation	HARD_FROZEN_OWNER_PACKET	exact supplied foundation	no historical import	FOUNDATION_INPUT
R07	UDT_NATIVE_ACTION_COLD_PACKET.md	C1 clarification	HARD_FROZEN_OWNER_PACKET	seal/carrier/bootstrap/Xmax statuses	no action or boundary completion	FOUNDATION_INPUT
R08	UDT_S2_CARRIER_STATUS_CLARIFICATION_2026-07-15.md	carrier clarification	OWNER_CURRENT_CLARIFICATION	S2 reopened as posit	no carrier/action assumption	CARRIER_EXCLUSION
R09	UDT_XMAX_STATUS_CLARIFICATION_2026-07-15.md	Xmax clarification	OWNER_CURRENT_CLARIFICATION	working global posit	no local insertion or value	GLOBAL_STATUS
R10	angular_derivative_weight_selector_2026-07-20/AUDIT_REPORT.md	derivative-weight audit	CURRENT_EVIDENCE	order separation	no L2/L4 import	DERIVATIVE_SCOPE
R11	angular_derivative_weight_selector_2026-07-20/DERIVATION_RESULT.json	derivative exact algebra	CURRENT_EVIDENCE	CSN order algebra	bounded premises	CONDITIONAL_ALGEBRA
R12	angular_derivative_weight_selector_2026-07-20/STATUS_LEDGER.tsv	derivative ledger	CURRENT_EVIDENCE	route labels	no material weighting	STATUS_SCOPE
R13	angular_toric_closure_selector_2026-07-19/AUDIT_REPORT.md	toric closure audit	CURRENT_EVIDENCE	conditional S3 family	premises not founded	CONDITIONAL_GLOBAL_GEOMETRY
R14	angular_toric_closure_selector_2026-07-19/DERIVATION_RESULT.json	toric exact algebra	CURRENT_EVIDENCE	cap/lattice calculations	inherits premises	CONDITIONAL_ALGEBRA
R15	angular_toric_closure_selector_2026-07-19/STATUS_LEDGER.tsv	toric status ledger	CURRENT_EVIDENCE	conditional/open distinctions	no topology promotion	STATUS_SCOPE
R16	bootstrap_csn_phi_angular_selector_2026-07-19/AUDIT_REPORT.md	phi-angular audit	CURRENT_EVIDENCE	selectors fail to force local equation	no invented equation	NEGATIVE_SELECTOR_EVIDENCE
R17	bootstrap_csn_phi_angular_selector_2026-07-19/STATUS_LEDGER.tsv	phi-angular ledger	CURRENT_EVIDENCE	underdetermination labels	no equation promotion	STATUS_SCOPE
R18	boundary_bootstrap_representative_selector_audit_2026-07-19/AUDIT_REPORT.md	boundary audit	CURRENT_EVIDENCE	boundary/bootstrap limits	future completion remains open	BOUNDARY_SELECTOR_NEGATIVE
R19	boundary_bootstrap_representative_selector_audit_2026-07-19/STATUS_LEDGER.tsv	boundary ledger	CURRENT_EVIDENCE	selector statuses	no boundary action promotion	STATUS_SCOPE
R20	c2_angular_reduction_selector_2026-07-20/AUDIT_REPORT.md	immediate parent audit	CURRENT_EVIDENCE	compact round-shape theorem	product and boundary caveats remain	PARENT_RESULT
R21	c2_angular_reduction_selector_2026-07-20/COMPLETENESS_SCOPE.tsv	parent scope	CURRENT_EVIDENCE	omitted lapse/shift/boundary layers	omissions stay open	SCOPE_GATE
R22	c2_angular_reduction_selector_2026-07-20/DERIVATION_RESULT.json	parent exact output	CURRENT_EVIDENCE	curvature roots and coefficients	inherits product premises	PARENT_ALGEBRA
R23	c2_angular_reduction_selector_2026-07-20/EQUATION_LEDGER.tsv	parent equations	CURRENT_EVIDENCE	product Bach and shape identities	constant-lapse limitation	PARENT_ALGEBRA
R24	c2_angular_reduction_selector_2026-07-20/NEXT_SCIENTIFIC_DECISION.md	authorized seam	CURRENT_NAVIGATION	defines variable-lapse question	not outcome evidence	QUESTION_ONLY
R25	c2_angular_reduction_selector_2026-07-20/STATUS_LEDGER.tsv	parent status ledger	CURRENT_EVIDENCE	exact conditional labels	no scale/matter promotion	STATUS_SCOPE
R26	matter_bootstrap_dimensional_inventory_2026-07-20/AUDIT_REPORT.md	dimensional audit	CURRENT_EVIDENCE	coefficient ruler	no scale promotion	DIMENSIONAL_GATE
R27	matter_bootstrap_dimensional_inventory_2026-07-20/STATUS_LEDGER.tsv	dimensional ledger	CURRENT_EVIDENCE	scale statuses	no scale promotion	STATUS_SCOPE
R28	metric_cartan_holonomy_audit_2026-07-19/AUDIT_REPORT.md	whole-metric Cartan audit	CURRENT_EVIDENCE	full coframe census	Cartan identities are not EOM	METRIC_COMPLETENESS_WARNING
R29	metric_cartan_holonomy_audit_2026-07-19/STATUS_LEDGER.tsv	Cartan status ledger	CURRENT_EVIDENCE	derived/open distinctions	no action promotion	STATUS_SCOPE
R30	native_action_final_adjudication_2026-07-18/COUNTERMODEL_COMPLETENESS_FINAL.tsv	completeness correction	HARD_FROZEN_POST_FIREWALL	countermodel limits	no complete-universe claim	FROZEN_SCOPE
R31	native_action_final_adjudication_2026-07-18/FINAL_ADJUDICATION_REPORT.md	final action ruling	HARD_FROZEN_POST_FIREWALL	C2/EH/action distinctions	immutable; no strengthening	FROZEN_ACTION_STATUS
R32	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	final status ledger	HARD_FROZEN_POST_FIREWALL	UNIQUE-CONDITIONAL and OPEN labels	immutable	FROZEN_ACTION_STATUS
R33	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	topology audit	CURRENT_EVIDENCE	Hopf capability caveat	topology does not set action	TOPOLOGY_SCOPE
R34	native_hopfion_topology_audit_2026-07-19/TOPOLOGY_STATUS_LEDGER.tsv	topology ledger	CURRENT_EVIDENCE	topology/carrier labels	no carrier promotion	STATUS_SCOPE
R35	null_section_hopfion_metric_audit_2026-07-19/AUDIT_REPORT.md	conditional Hopf audit	CURRENT_EVIDENCE	orbit/connection witness	no carrier/action derivation	CONDITIONAL_HOPF_ROUTE
R36	null_section_hopfion_metric_audit_2026-07-19/DERIVATION_RESULT.json	Hopf exact algebra	CURRENT_EVIDENCE	conditional identities	inherits premises	CONDITIONAL_ALGEBRA
R37	null_section_hopfion_metric_audit_2026-07-19/STATUS_LEDGER.tsv	Hopf status ledger	CURRENT_EVIDENCE	compatibility/open distinctions	no carrier promotion	STATUS_SCOPE
R38	scale_breaking_closure_census_2026-07-20/AUDIT_REPORT.md	scale census	CURRENT_EVIDENCE	homothety rank	no absolute equation	SCALE_SCOPE
R39	scale_breaking_closure_census_2026-07-20/STATUS_LEDGER.tsv	scale ledger	CURRENT_EVIDENCE	open scale objects	no Xmax value	STATUS_SCOPE
