path	status	role	bytes	sha256
projective_position_join_audit_2026-07-19/AUDIT_REPORT.md	CORRECTED_PRIOR_EVIDENCE	signed-position wording and bounded chart result	10931	8db9b5063ff3109f8c332644052b72e630e0268bc4693191300527bd731601f1
projective_position_join_audit_2026-07-19/DERIVATION_RESULT.json	CORRECTED_PRIOR_EVIDENCE	load-bearing ordered comparison and counterfamily algebra	7128	7a3a36f516e018f7a0541c4ac4b4fb4325f3c59fac3540298165d9df5420e1c2
projective_position_join_audit_2026-07-19/STATUS_LEDGER.tsv	CORRECTED_PRIOR_EVIDENCE	claims requiring overlay	2440	e622f70832d0ebcba323a0f9a11dcac2ae1dbe16b6559b3bdc3aa34661e6a109
projective_position_join_audit_2026-07-19/SHA256SUMS.txt	IMMUTABILITY_ANCHOR	prior package byte identity	1696	bde786c168a2bf552a9720afa66a3615e66c0d63ffcfb78af680c88813198a84
UDT_NATIVE_ACTION_COLD_PACKET.md	CURRENT_FOUNDATION	difference composition reversal reciprocal pair CSN and seal	13221	d38232792ac78188687db433a3f60a08c775c46e9ecf5fc42ad7953dc89fadb0
UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	CURRENT_FOUNDATION	common-scale-neutral observables and limits	2886	4bb0da9098da0a9970602e2449615eef151796b0d7fe7a9978f4b66145748a34
xmax_full_frame_realization_2026-07-19/AUDIT_REPORT.md	CURRENT_FRAME_EVIDENCE	projective chart and L dphi coframe distinction	13667	01b4e7e4c1c2fabd983a98e227073d7b57e9df46816938ed2440ad714f2275d4
xmax_dynamic_observer_frame_2026-07-19/AUDIT_REPORT.md	CURRENT_FRAME_EVIDENCE	dynamic ordered frame transformation scope	12094	3c23d222c94fc2bd219d188803bfd2174d38cb88809a273d0a303351267d0d2c
xmax_accelerating_finite_cell_cartan_2026-07-19/AUDIT_REPORT.md	CURRENT_FRAME_EVIDENCE	accelerating coframe algebra and interpretation limit	12603	bfcaaa7bfa0b9455c32f39ebbed38f8f166c097fd375e4c265f956e5df6799e8
metric_cartan_holonomy_audit_2026-07-19/AUDIT_REPORT.md	CURRENT_METRIC_EVIDENCE	radial-angular metric and open intrinsic direction geometry	12057	ce76d6236b78a2c70fb47c17740ea07949d5845b2065683905dc3218a3a0fbbc
UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	CURRENT_FRONTIER	current open action carrier and selector seam	13432	b267fab1bb1b0b356e88315712f6ec6d9925732238e5a7ab90f6af59c25f59ec
CANON.md	BINDING_SCOPE_SOURCE	static seal parity and absolute Phi zero	35011	5d99c0ba09fcee0429a34ac6b3dda4faff489b7d214b622fcbd286deb3785314
