premise_id	object	status	role	not_allowed
P01	c_E	OBSERVED_FOUNDING_ANCHOR	measurable_clock_ruler_limit	set_to_one
P02	Xmax	OWNER_WORKING_POSTULATE	invariant_positional_dilation_asymptote	canon_or_measured_value
P03	time_dilation_asymptote	TO_BE_AUDITED_FROM_METRIC	exact_lapse_limit	assumed_SNe_success
P04	native_mass_increase	WORKING_OPEN	anticipated_reciprocal_mass_behavior	derived_mass_law
P05	SNe_metric_profile	TO_BE_LINEAGE_ADJUDICATED	position_phi_relation	retrofit_from_data
P06	SNe_comparison	OBSERVED_OR_TESTED	check_declared_profile	metric_derivation
P07	Pantheon_fit	OBSERVED	estimate_declared_parameters	theory_derivation
P08	observer_reciprocity	OWNER_LOCKED_ORDINARY_REGIME	common_limit_and_same_law	identical_coordinates
P09	coordinate_proper_optical_projective_readouts	DOWNSTREAM_DISTINCTIONS	describe_metric_near_limit	define_Xmax
P10	angular_lambda	OPEN	test_only_if_metric_supplies_equation	set_to_one
P11	bootstrap_total_mass_density	OPEN	future_numerical_Xmax_selection	dimensional_closure_claim
P12	action_source_carrier_boundary_charge	OPEN_NOT_USED	scope_guard	imported_closure
