node_id	object	formula_or_statement	inputs	premise_status	status
F01	reciprocal_static_metric	ds2=-exp(-2phi)c_E2dt2+exp(2phi)dr2+r2dOmega2	R1_R3+STATIC_SPHERICAL+AREAL_R	STATIC_SPHERICAL_FREE_SLICE;AREAL_R_CHOSEN	THEORY_IN_SLICE
F02	lapse	A=exp(-2phi)	F01	NONE	DERIVED
F03	static_redshift	1+z=exp(phi_src-phi_obs)	F01+STATIC_OBSERVERS	STATIC_OBSERVERS	DERIVED_IN_SLICE
F04	Xmax_semantics	Xmax=invariant_positional_dilation_asymptote	OWNER_RULING	OWNER_NOT_CANON	OWNER_WORKING_POSTULATE
F05	residual_family	A=(1-r/X)^alpha	F02+ADDITIVE_PHI+MULTIPLICATIVE_A+AFFINE_RECENTERING	AFFINE_RECENTERING_WRL_AXIOM	DERIVED_CONDITIONAL_WRL
F06	WRL_profile	A=1-r/X	F05+FINITE_PROPER+INFINITE_OPTICAL+FINITE_WALL_ANGULAR_CURVATURE	ACCEPTED_WRL_WALL_PACKAGE	DERIVED_CONDITIONAL_WRL
F07	position_phi_relation	r/X=1-exp(-2phi)	F02+F06	RECORDED_STATIC_WRL_BRANCH	DERIVED_CONDITIONAL_WRL
F08	dilation_asymptote	phi_to_infinity_implies_r/X_to_1_A_to_0_clock_to_0	F07	NONE	DERIVED_CONDITIONAL_WRL
F09	full_light_readout	dL=(1+z)^2r	F01+PHOTON_NUMBER_OPTICS	STANDARD_RECIPROCITY_COMPARISON_READOUT	CONDITIONAL_READOUT
F10	linear_ceiling	dL/X=z(z+2)	F03+F07+F09	STATIC_OBSERVER_NORMALIZATION	DERIVED_CONDITIONAL_WRL_PLUS_OPTICS
F11	Pantheon_shape_contrast	linear_chi2dof_0.909857_hyperbolic_J1_2.166502	F10+SUPPLIED_HYPERBOLIC_PROFILE+PANTHEON_DATA	DATA_CUT+COVARIANCE+ONE_OFFSET	OBSERVED
F12	hyperbolic_display	r/X=tanh(phi)	F02+FINITE_BOUND+FRACTIONAL_LINEAR_COMPOSITION+POSITION_JOIN	FRACTIONAL_LINEAR_CLASS_AND_POSITION_JOIN	DERIVED_CONDITIONAL_PROJECTIVE
F13	native_mass_increase	no_native_mass_functional	F01+OWNER_EXPECTATION	MASS_ACTION_SOURCE_OPEN	WORKING_OPEN
F14	numerical_Xmax	Xmax_value	F04+GLOBAL_BRANCH+NATIVE_MASS+BOOTSTRAP	GLOBAL_BRANCH_MASS_BOOTSTRAP_OPEN	OPEN
