id	mutation	status
C01	remove_object_row	CAUGHT
C02	duplicate_object_identity	CAUGHT
C03	promote_celestial_bundle_to_selected_section	CAUGHT
C04	promote_Hodge_star_to_real_rank2_split	CAUGHT
C19	promote_complex_Hodge_candidate_to_real	CAUGHT
C05	promote_dphi_line_to_Hopf_section	CAUGHT
C06	promote_null_dphi_stratum_to_universal	CAUGHT
C07	declare_named_coframe_plane_intrinsic	CAUGHT
C08	turn_per_metric_holonomy_into_foundation_selector	CAUGHT
C09	equate_primary_characteristic_class_with_Hopf_charge	CAUGHT
C10	promote_conditional_toric_bundle_to_native	CAUGHT
C11	declare_component_Hopf_charge_invariant	CAUGHT
C12	promote_combined_foundation	CAUGHT
C13	alter_registered_full_irreducible_count	CAUGHT
C14	drop_bounded_scope	CAUGHT
C15	corrupt_source_digest	CAUGHT
C16	claim_native_selected_object	CAUGHT
C17	lose_fiber_section_distinction	CAUGHT
C18	lose_holonomy_loop_dependency	CAUGHT
C20	promote_nonnull_dphi_reduction_to_global_Hopf_object	CAUGHT
C21	drop_projector_normalization	CAUGHT
C22	corrupt_Hodge_exchange_operator	CAUGHT
C23	scale_projector_numerator_without_normalizing_denominator	CAUGHT
C24	erase_complex_real_descent_obstruction_by_setting_reciprocal_weights_equal	CAUGHT
C25	replace_null_rank2_nilpotent_by_identity_shift	CAUGHT
