id	candidate	object_type	frame_status	CSN_status	definition_domain	reciprocal_content	Hopf_content	foundation_selection	ruling
O01	conformal_metric_and_null_cone	conformal_structure	INTRINSIC	INVARIANT	CONDITIONAL_4D_LORENTZIAN	COMPATIBLE_NOT_IDENTIFIED	NONE	DERIVED_CONDITIONAL	INTRINSIC_SCAFFOLD_NOT_RECIPROCAL_HOPF_OBJECT
O02	projectivized_future_null_cone	celestial_S2_bundle	INTRINSIC_ASSOCIATED_BUNDLE	INVARIANT	LORENTZIAN_PLUS_TIME_COMPONENT	NO_SELECTED_CHARACTER_OR_PLANE	S2_FIBER_ONLY	DERIVED_CONDITIONAL_FIBER	BUNDLE_EXISTS_SECTION_AND_HOPF_CLASS_OPEN
O03	time_orientation	cone_component_reduction	INTRINSIC_IF_SUPPLIED	INVARIANT	TIME_ORIENTABLE_COMPLETION	NONE	NONE	CHOSE_NOT_UNIVERSALLY_SUPPLIED	CONE_COMPONENT_NOT_CLOCK_VECTOR_OR_SECTION
O04	orientation_and_volume_form	top_form	INTRINSIC_IF_ORIENTED	WEIGHTED_NOT_NEUTRAL	ORIENTED_METRIC_REPRESENTATIVE	NONE	ORIENTATION_SIGN_ONLY	ORIENTATION_NOT_UNIVERSALLY_SUPPLIED	NOT_A_PROPER_REDUCTION_SECTION_OR_HOPF_CLASS
O05	Lorentzian_Hodge_star_on_two_forms	real_complex_structure_on_Lambda2	INTRINSIC_IF_ORIENTED	INVARIANT_IN_4D_ON_LAMBDA2	ORIENTED_4D_LORENTZIAN	NONE	NONE	DERIVED_CONDITIONAL_UNIVERSAL_GEOMETRY	STAR_SQUARED_MINUS_I_NO_REAL_PLUS_MINUS_REDUCTION
O06	complex_Hodge_chiral_pair_and_exp_phi_i_star	complex_rank3_bundle_split	INTRINSIC_IF_ORIENTED_AND_COMPLEXIFIED	INVARIANT	ORIENTED_4D_LORENTZIAN_COMPLEXIFICATION	EXACT_E_PLUS_MINUS_PHI_ON_COMPLEX_CONJUGATE_SECTORS	NONE	NATURAL_CONSTRUCTION_AVAILABLE_ACTION_NOT_REGISTERED	EXACT_INTRINSIC_COMPLEX_RECIPROCAL_CANDIDATE_FAILS_REALITY_AND_SUPPLIES_NO_HOPF_SECTION
O07	Levi_Civita_connection	metric_connection	INTRINSIC_PER_REPRESENTATIVE	CHANGES_UNDER_LOCAL_COMMON_SCALE	NONDEGENERATE_METRIC_REPRESENTATIVE	TRANSPORTS_SUPPLIED_OBJECTS_ONLY	NONE_BY_ITSELF	DERIVED_PER_REPRESENTATIVE	CONNECTION_DOES_NOT_GENERATE_REDUCTION_OR_SECTION
O08	complete_curvature_operator_algebra	intrinsic_local_tensor_algebra	INTRINSIC_UP_TO_CONJUGACY	REPRESENTATION_DEPENDENT_EXCEPT_CONFORMAL_PARTS	REGISTERED_TWO_JET_ENSEMBLE	NO_UNIVERSAL_PROPER_SUBSPACE	NONE	OBSERVED_BOUNDED	METRIC_ACTIVE_FULL_IRREDUCIBLE_FLAT_ROWS_AMBIGUOUS
O09	Weyl_or_curvature_algebraic_null_directions	unordered_multisection_or_degenerate_data	INTRINSIC_AS_UNORDERED_DATA_ON_REGULAR_STRATA	WEYL_TYPE_COMPATIBLE	REGULAR_NONFLAT_ALGEBRAIC_STRATA_ONLY	NO_BRANCH_PRIORITY	NO_SELECTED_MAP_OR_SECONDARY_CLASS	NOT_EVALUATED_AS_A_GLOBAL_SELECTED_SECTION	CANNOT_SUPPLY_UNIVERSAL_SECTION_ACROSS_FLAT_AND_DEGENERATE_STRATA
O10	Ricci_Hessian_or_spectral_split	spectral_line_or_plane_reduction	INTRINSIC_ON_SIMPLE_SEMISIMPLE_STRATA	CANDIDATE_DEPENDENT	NONDEGENERATE_STRATA_ONLY	NO_REGISTERED_PRIORITY	NONE	OBSERVED_SMALLER_FAMILIES_ONLY	STRATUM_CONDITIONAL_AND_DESTROYED_OR_AMBIGUOUS_IN_COMPLETE_ORCHESTRA
O11	nonnull_dphi_line	rank1_tangent_or_cotangent_line	INTRINSIC_ON_DOMAIN	LINE_PROJECTOR_INVARIANT	DPHI_NONZERO_AND_NONNULL	PHI_RELATED_BUT_NO_DUAL_PARTNER	NO_TRANSVERSE_PHASE_OR_FIXED_TARGET	LOCAL_STRATUM_ONLY	INTRINSIC_LINE_NOT_RECIPROCAL_PLANE_OR_HOPF_SECTION
