role	path	sha256	scope
G261 W4 ownership	udt_g261_universal_metric_coupling_parent_operator_ownership_2026-08-25/EXACT_DERIVATION.md	26897a999e6ad83e1f50c75ba76efe47e9c4c02edd896022a54a69810e57dc12	universal metric role does not itself supply dynamics/source; later G312-G315 govern current vacuum closure
G312 adoption	startup_surface_g312_two_premise_adoption_refresh_2026-09-01/ADOPTION_RECORD.md	ebeae075307e7a325a840f4c2d9dcd973c18d9a3be21e6e6eccacce1ae8856f1	owner-provisional bounded vacuum response; no sourced extension
G313	udt_g313_tracefree_ricci_solution_space_bootstrap_map_2026-09-01/EXACT_DERIVATION.md	7bf8dd3b081ff0d37ee23c8ea462abc451f9f4a3510283ea5e9ef87dd042b6bf	Ric=Lambda*g and constant Lambda in vacuum; Weyl/data free
G315	udt_g315_conditional_cauchy_characteristic_data_interface_2026-09-01/EXACT_DERIVATION.md	8653bb2162b54965c9fe0a74a17aa5cb1da9114b6289b15fb8f46cc4b30b2a63	conditional lawful-data interface and method assumptions
G348	udt_g348_generic_lorentzian_null_screen_area_theorem_2026-09-04/EXACT_DERIVATION.md	04917cd0336f5c06ee76129f5a8005f5e483e8a6fcdacbb87c96a6e0ad89544c	null screen quotient and area; no content selection
G349	udt_g349_finite_null_wavefront_patch_area_2026-09-04/EXACT_DERIVATION.md	0eb11cc9dcec98c89c99c890a75b3e290eda23faf44d620a9d578f609cedef72	regular graph-cut area; no caustic/singular extension here
G351	udt_g351_source_free_labelwise_carried_measure_conservation_2026-09-05/EXACT_DERIVATION.md	37bd938dc488c305e43c3e1b414e1b40e489bf7fa23dd6453ce3118c953ea317	fixed finite nonnegative label measure; smooth AC subdomain used
G352	udt_g352_clock_rate_carried_measure_readout_2026-09-05/EXACT_DERIVATION.md	70aac9b85acb797cba41caa8dad9d567174b8031e853de8189a074e929e51b0d	chosen phase-independent product; supplied phase spacing/query; readout not energy
G353-G356 bank	udt_g353_g356_conditional_banking_2026-09-06/BANKING_RECORD.md	750fd4758e87c7c99f58786d5ed4e1ea4b2e1d1386032a7d1f9a106b1d3ad8ff	conditional chosen recipes; no physical source/content identification
capture utility	udt_shared_readout_metric_constraint_campaign_2026-09-06/run_capture.py	8ff5469ace76bdfc84188915242abbf3baff35516f9ee3f9ba4b1cbfeb2573ef	method only; 512MiB/60s non-overwriting capture
