item	status	note
owner_instruction	OWNER_ADOPTED_PROVISIONAL_PREMISE	Proceed interpreted only as adoption of the exact narrow source-free labelwise measure premise
preregistration	PASS	commit 42e48241 pushed before calculation
analytic_derivation	DERIVED_CONDITIONAL	nonzero absolutely continuous regular density is s/J; G350 conservation probes force a=p and q=-1
production	PASS_LOCAL_EXACT_REPAIRED	60325/60325 exact rational assertions including atomic counterexample
independent_verification	PASS_LOCAL_EXACT_REPAIRED	11290/11290 implementation-distinct assertions including atomic counterexample
hostile_catches	PASS_LOCAL_REPAIRED	12/12 mathematical and semantic mutations caught
aggregate_verifier	PASS_LOCAL_NO_WRITE_FINAL	43/43 after R1-R4 and completion acceptance
area_weight_q	DERIVED_CONDITIONAL_MINUS_ONE	nonzero absolutely continuous regular density inside G350 declared full abstract character domain
observer_weight_p	OPEN_NOT_SELECTED	all real p retained; rational witnesses span both signs and zero
carried_measure	OWNER_ADOPTED_PROVISIONAL_PREMISE	full finite nonnegative additive label measure conserved; need not have ordinary density
singular_measure	OPEN_DENSITY_EXPONENT_UNDEFINED	carried as measure; no ordinary q
source_content	SUPPLIED_OPEN	zero and arbitrary finite nonzero initial measures retained
caustic_statement	DERIVED_CONDITIONAL_WEAK_MEASURE	measure remains defined; local density may diverge or become singular
cross_label_physics	OPEN_NOT_SELECTED	pushforward multiplicity is not detector aggregation or interference
metric_kernel_equation	UNCHANGED	no geometry or response-law modification
light_flux_luminosity_distance	OPEN_NOT_DERIVED	no observational transfer claim
history_occupancy_matter_mass_scale_Xmax	OPEN	no attachment or selection
external_review	PENDING_SEALED_EXTERNAL_REVIEW	R4 completion reviewer accepted; final sealed external review still required
canon	OPEN	Charles alone canonizes
