item	status	note
W3_gr_reduction	WORKING_POSIT	provisionally authorized; not canon
primary_metric	PINNED_BY_THEORY	static spherical determinant-one branch
gr_vacuum_condition	IMPORTED_COMPARISON	defines bounded quiet branch only
general_vacuum_family	DERIVED_CONDITIONAL	f=1+C/r
reduced_gr_residuals	DERIVED_CONDITIONAL	E0 and E1 with r dE0/dr=2 E1
pair_kernel_on_gr	DERIVED_CONDITIONAL	matched radial calibration
angular_amplitudes_on_gr	DERIVED_CONDITIONAL	A_parallel=-3u/2; A_perp=+3u/2
mass_translation	CONDITIONAL	r_s=2 G_obs M/c_E^2 needs supplied GR source attachment
udt_departure_law	OPEN	no parent operator selected
matter_recovery	OPEN	not tested
time_live_covariant_extension	OPEN	not tested
external_review	ACCEPT	fresh sealed gpt-5.4 review; no scientific or material packaging defect
