id	status	role	included
F1	OBSERVED_PLUS_FOUNDATIONAL_INTERPRETATION	c_E clock/ruler conversion	yes
F2	FOUNDED	dual reciprocal squeeze	yes
F3	POSIT	ordered-depth composition and reversal	yes
F4	DECLARED_READOUT	primary static-spherical metric form	yes
W1	WORKING_FOUNDATIONAL_CLARIFICATION	completed radial-pair normalization	yes
W2	WORKING_SEMANTICS	co-presence	not_load_bearing
W3	WORKING_POSIT	GR quiet-limit reduction	yes
GR_vacuum	IMPORTED_COMPARISON_CONDITION	defines bounded quiet branch	yes
c_E	OBSERVED	clock/ruler calibration	yes
G_obs	OBSERVED	possible later mass-unit attachment	no
mass_source	OPEN	positive-mass or source interpretation	no
areal_static_spherical	CHOSE	bounded chart and symmetry slice	yes
integration_constant	FREE_AND_EXPLORED	general exterior solution parameter	yes
matter_interior	OMITTED	outside bounded audit	no
time_live_nonspherical	OMITTED	outside bounded audit	no
X_max	OPEN	must remain downstream	no
observations	OMITTED	no fitting or calibration	no
