claim	status	scope
pair metric fibers are left SO+(h) orbits	DERIVED	regular oriented future-clock pair component
pair first jet forgets finite rapidity and its rate	DERIVED	smooth regular pair family
positive B+(2) is unique quotient section	DERIVED	supplied target orthonormal pair frame and orientations
positive B+(2) is the physical carry	OPEN	not implied by quotient section
distance sweep fixes quotient path	DERIVED	smooth regular sweep
distance sweep fixes vertical rapidity	NOT_DERIVED	exact live boost counterfamily
normal screen transport universally fixes tangent boost	NOT_DERIVED	flat product countermodel
C_II is normal-frame invariant	DERIVED	supplied regular timelike pair immersion
simple real C_II spectrum fixes causal pair flag	DERIVED_CONDITIONAL	time and pair orientations supplied
every physical pair lies in simple C_II stratum	OPEN	umbilic Jordan complex and crossing strata survive
pair plane alone owns II	NOT_DERIVED	pair immersion/query required
physical carry or history	OPEN	outside G161 bounded kinematics
