target	source	line	column	categories	kinds	statuses	source_frozen	source_r0_classification	reference_role	rewrite_required	new_target	line_excerpt
A_pre_reconciliation_floored_glm.pt	reorganization_r0/ROOT_FILE_INVENTORY.tsv	6	1	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	-	A_pre_reconciliation_floored_glm.pt\t100644\t33ea887ebb485b7f4eee12163ee15ff37269ab43\t91724059d2831328d133ddaedbf10fc2b87667ec0cebd07b892ca97823f92dbe\t35545\t78939836326cb822e22b2a72bfd8097365185aa6\t2026-07-01\tBasin audit RAN (classify-only) + glm stronger step -> REDIRECT to derive e^{2phi} weight\t0\t\t\tUNKNOWN/BLOCKED\tdata/evidence object lacks sufficient move provenance
B_floored_glm.pt	reorganization_r0/ROOT_FILE_INVENTORY.tsv	7	1	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	-	B_floored_glm.pt\t100644\te9c994c4cb72f96872d18171832f553b8d936ffe\t41f569abad96a70bfbc51a76b706b03073a3a0ecb6879ce14e1897ce5e770a4b\t35386\t78939836326cb822e22b2a72bfd8097365185aa6\t2026-07-01\tBasin audit RAN (classify-only) + glm stronger step -> REDIRECT to derive e^{2phi} weight\t0\t\t\tUNKNOWN/BLOCKED\tdata/evidence object lacks sufficient move provenance
D1_FIX_DESIGN.md	D1_FIX_DESIGN.md	1	52	TEXT_REFERENCE	TEXT_REFERENCE	RESOLVED_TRACKED	NO	ARCHIVE_CANDIDATE	SELF_PROVENANCE_REFERENCE	NO	-	> **MOVED 2026-07-06 → `archive/pre_native_coupled/D1_FIX_DESIGN.md` (pre-native-era census).**
D1_FIX_DESIGN.md	archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md	30	67	TEXT_REFERENCE	TEXT_REFERENCE	RESOLVED_TRACKED	NO	NON_ROOT	RETAINED_TARGET_REFERENCE	NO	-	`x_solution_space_explore.py`, `PROVENANCE_AUDIT_2026-06-30.md`, `D1_FIX_DESIGN.md`. Op: solves UNBUFFERED, single process.
D1_FIX_DESIGN.md	archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md	74	11	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	RETAINED_TARGET_REFERENCE	NO	-	Records: `D1_FIX_DESIGN.md` (P1-(1) + CONDITIONING INVESTIGATION). Matter-model fork RESOLVED (rigid unit / amplitude=gated import).
D1_FIX_DESIGN.md	archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md	174	73	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	RETAINED_TARGET_REFERENCE	NO	-	9. **D1 FIX DESIGNED + BCs DERIVED + VERIFIED** (`5fe1a44`, `898fbd4`; `D1_FIX_DESIGN.md`; verifiers
D1_FIX_DESIGN.md	archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md	177	249	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	RETAINED_TARGET_REFERENCE	NO	-	"### D1 IMPLEMENTATION SPEC — ✅ DONE (implemented `bdcc705`; determinacy blind-verified). This is the RECORD of what was built, NOT a pending action. (The pending action is the conditioning/re-solve phase in the one-line state above.) Spec also in `D1_FIX_DESIGN.md` ""DERIVED BC TABLE""."
D1_FIX_DESIGN.md	archive/pre_native_coupled/PROVENANCE_AUDIT_2026-06-30.md	33	37	TEXT_REFERENCE	TEXT_REFERENCE	RESOLVED_TRACKED	NO	NON_ROOT	RETAINED_TARGET_REFERENCE	NO	-	EVEN→Neumann (time-index count); `D1_FIX_DESIGN.md:88` says φ odd→Dirichlet=0 (spatial mirror). The DERIVED
D1_FIX_DESIGN.md	galerkin_basis.py	7	6	TEXT_REFERENCE	TEXT_REFERENCE	RESOLVED_TRACKED	NO	ACTIVE	RETAINED_TARGET_REFERENCE	NO	-	"WHY (D1_FIX_DESIGN.md ""CONDITIONING INVESTIGATION"" + LIVE.md frontier):"
D1_FIX_DESIGN.md	galerkin_basis.py	41	40	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	ACTIVE	RETAINED_TARGET_REFERENCE	NO	-	DERIVED BC TABLE (warp variables; from D1_FIX_DESIGN.md + the `determined=True` branch
D1_FIX_DESIGN.md	p1_residual_general_einstein.py	198	73	TEXT_REFERENCE	TEXT_REFERENCE	RESOLVED_TRACKED	NO	ACTIVE	RETAINED_TARGET_REFERENCE	NO	-	# ===== D1 DETERMINED POSING (2026-06-29; derived+verified BCs, D1_FIX_DESIGN.md DERIVED BC TABLE) =====
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	152	1	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	-	D1_FIX_DESIGN.md\t1\tTEXT_REFERENCE\tTEXT_REFERENCE\tD1_FIX_DESIGN.md\tD1_FIX_DESIGN.md\tRESOLVED_TRACKED\t-
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	152	50	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	-	D1_FIX_DESIGN.md\t1\tTEXT_REFERENCE\tTEXT_REFERENCE\tD1_FIX_DESIGN.md\tD1_FIX_DESIGN.md\tRESOLVED_TRACKED\t-
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	152	67	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	-	D1_FIX_DESIGN.md\t1\tTEXT_REFERENCE\tTEXT_REFERENCE\tD1_FIX_DESIGN.md\tD1_FIX_DESIGN.md\tRESOLVED_TRACKED\t-
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	153	1	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	-	D1_FIX_DESIGN.md\t3\tTEXT_REFERENCE\tTEXT_REFERENCE\tpre_native_era_census.md\tpre_native_era_census.md\tRESOLVED_TRACKED\t-
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	1992	83	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	-	archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md\t30\tTEXT_REFERENCE\tTEXT_REFERENCE\tD1_FIX_DESIGN.md\tD1_FIX_DESIGN.md\tRESOLVED_TRACKED\t-
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	1992	100	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	-	archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md\t30\tTEXT_REFERENCE\tTEXT_REFERENCE\tD1_FIX_DESIGN.md\tD1_FIX_DESIGN.md\tRESOLVED_TRACKED\t-
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	2492	28	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	-	archive/pre_native_coupled/D1_FIX_DESIGN.md\t5\tTEXT_REFERENCE\tTEXT_REFERENCE\tLIVE.md\tLIVE.md\tRESOLVED_TRACKED\t-
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	2493	28	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	-	archive/pre_native_coupled/D1_FIX_DESIGN.md\t13\tTEXT_REFERENCE\tTEXT_REFERENCE\tGR_NUMERICS_RESEARCH_2026-06-29.md\tGR_NUMERICS_RESEARCH_2026-06-29.md\tRESOLVED_TRACKED\t-
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	2494	28	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	-	archive/pre_native_coupled/D1_FIX_DESIGN.md\t14\tTEXT_REFERENCE\tTEXT_REFERENCE\tmatter_amplitude_native_MAP_2026-06-29.md\tmatter_amplitude_native_MAP_2026-06-29.md\tRESOLVED_TRACKED\t-
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	2495	28	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	-	archive/pre_native_coupled/D1_FIX_DESIGN.md\t45\tTEXT_REFERENCE\tTEXT_REFERENCE\tseal_junction_condition_results.md\tseal_junction_condition_results.md\tRESOLVED_TRACKED\t-
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	2496	28	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	-	archive/pre_native_coupled/D1_FIX_DESIGN.md\t190\tTEXT_REFERENCE\tTEXT_REFERENCE\tp1_residual_general_einstein.py\tp1_residual_general_einstein.py\tRESOLVED_TRACKED\t-
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	2497	28	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	-	archive/pre_native_coupled/D1_FIX_DESIGN.md\t292\tTEXT_REFERENCE\tTEXT_REFERENCE\tgalerkin_basis.py\tgalerkin_basis.py\tRESOLVED_TRACKED\t-
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	2504	92	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	-	archive/pre_native_coupled/PROVENANCE_AUDIT_2026-06-30.md\t33\tTEXT_REFERENCE\tTEXT_REFERENCE\tD1_FIX_DESIGN.md\tD1_FIX_DESIGN.md\tRESOLVED_TRACKED\t-
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	2504	109	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	-	archive/pre_native_coupled/PROVENANCE_AUDIT_2026-06-30.md\t33\tTEXT_REFERENCE\tTEXT_REFERENCE\tD1_FIX_DESIGN.md\tD1_FIX_DESIGN.md\tRESOLVED_TRACKED\t-
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	4343	51	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	-	galerkin_basis.py\t7\tTEXT_REFERENCE\tTEXT_REFERENCE\tD1_FIX_DESIGN.md\tD1_FIX_DESIGN.md\tRESOLVED_TRACKED\t-
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	4343	68	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	-	galerkin_basis.py\t7\tTEXT_REFERENCE\tTEXT_REFERENCE\tD1_FIX_DESIGN.md\tD1_FIX_DESIGN.md\tRESOLVED_TRACKED\t-
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	11789	67	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	-	p1_residual_general_einstein.py\t198\tTEXT_REFERENCE\tTEXT_REFERENCE\tD1_FIX_DESIGN.md\tD1_FIX_DESIGN.md\tRESOLVED_TRACKED\t-
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	11789	84	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	-	p1_residual_general_einstein.py\t198\tTEXT_REFERENCE\tTEXT_REFERENCE\tD1_FIX_DESIGN.md\tD1_FIX_DESIGN.md\tRESOLVED_TRACKED\t-
