source	old_target	new_target	occurrences	lines	source_frozen	rewrite_mode
F4_seal_boundary_MAP.md	STEP2_timelive_matter_results.md	archive/pre_2026-07-01/STEP2_timelive_matter_results.md	1	97	NO	EXACT_PATH_TOKEN_ONLY
F4_seal_boundary_MAP.md	static_soliton_rerun_derived_operator_results.md	archive/pre_2026-07-01/static_soliton_rerun_derived_operator_results.md	1	109	NO	EXACT_PATH_TOKEN_ONLY
FOUNDATIONAL_ASSUMPTIONS_LEDGER.md	matter_object_identity_native_vs_import_results.md	archive/pre_2026-07-01/matter_object_identity_native_vs_import_results.md	1	18	NO	EXACT_PATH_TOKEN_ONLY
FOUNDATIONAL_ASSUMPTIONS_LEDGER.md	static_soliton_rerun_derived_operator_results.md	archive/pre_2026-07-01/static_soliton_rerun_derived_operator_results.md	1	165	NO	EXACT_PATH_TOKEN_ONLY
HANDOFF_ARCHIVE.md	STEP2_timelive_matter_results.md	archive/pre_2026-07-01/STEP2_timelive_matter_results.md	1	613	NO	EXACT_PATH_TOKEN_ONLY
HANDOFF_ARCHIVE.md	b1prime_round_gate_derived_operator_results.md	archive/pre_2026-07-01/b1prime_round_gate_derived_operator_results.md	1	544	NO	EXACT_PATH_TOKEN_ONLY
HANDOFF_ARCHIVE.md	coupled_timelive_solve_CONTRACT.md	archive/pre_2026-07-01/coupled_timelive_solve_CONTRACT.md	1	409	NO	EXACT_PATH_TOKEN_ONLY
HANDOFF_ARCHIVE.md	coupled_timelive_solve_results.md	archive/pre_2026-07-01/coupled_timelive_solve_results.md	1	409	NO	EXACT_PATH_TOKEN_ONLY
HANDOFF_ARCHIVE.md	matter_object_identity_native_vs_import_results.md	archive/pre_2026-07-01/matter_object_identity_native_vs_import_results.md	2	57;528	NO	EXACT_PATH_TOKEN_ONLY
HANDOFF_ARCHIVE.md	static_soliton_rerun_derived_operator_results.md	archive/pre_2026-07-01/static_soliton_rerun_derived_operator_results.md	1	610	NO	EXACT_PATH_TOKEN_ONLY
NEGATIVES_REGISTRY.md	b1prime_round_gate_derived_operator_results.md	archive/pre_2026-07-01/b1prime_round_gate_derived_operator_results.md	1	198	NO	EXACT_PATH_TOKEN_ONLY
NEGATIVES_REGISTRY.md	coupled_timelive_VERIFIER.md	archive/pre_2026-07-01/coupled_timelive_VERIFIER.md	1	2099	NO	EXACT_PATH_TOKEN_ONLY
NEGATIVES_REGISTRY.md	coupled_timelive_solve_CONTRACT.md	archive/pre_2026-07-01/coupled_timelive_solve_CONTRACT.md	1	2099	NO	EXACT_PATH_TOKEN_ONLY
NEGATIVES_REGISTRY.md	coupled_timelive_solve_results.md	archive/pre_2026-07-01/coupled_timelive_solve_results.md	1	2098	NO	EXACT_PATH_TOKEN_ONLY
NEGATIVES_REGISTRY.md	lepton_ladder_test_results.md	archive/pre_2026-07-01/lepton_ladder_test_results.md	1	348	NO	EXACT_PATH_TOKEN_ONLY
NEGATIVES_REGISTRY.md	matter_object_identity_native_vs_import_results.md	archive/pre_2026-07-01/matter_object_identity_native_vs_import_results.md	1	157	NO	EXACT_PATH_TOKEN_ONLY
NEGATIVES_REGISTRY.md	static_soliton_rerun_derived_operator_results.md	archive/pre_2026-07-01/static_soliton_rerun_derived_operator_results.md	1	196	NO	EXACT_PATH_TOKEN_ONLY
NEGATIVES_REGISTRY.md	timelive_nonround_native_solve_results.md	archive/pre_2026-07-01/timelive_nonround_native_solve_results.md	1	2101	NO	EXACT_PATH_TOKEN_ONLY
P5e_proper_results.md	STEP2_timelive_matter_results.md	archive/pre_2026-07-01/STEP2_timelive_matter_results.md	1	22	NO	EXACT_PATH_TOKEN_ONLY
P5e_proper_results.md	static_soliton_rerun_derived_operator_results.md	archive/pre_2026-07-01/static_soliton_rerun_derived_operator_results.md	1	24	NO	EXACT_PATH_TOKEN_ONLY
STATE.md	coupled_timelive_solve_CONTRACT.md	archive/pre_2026-07-01/coupled_timelive_solve_CONTRACT.md	1	460	NO	EXACT_PATH_TOKEN_ONLY
STATE.md	lepton_ladder_test_results.md	archive/pre_2026-07-01/lepton_ladder_test_results.md	2	1534;1877	NO	EXACT_PATH_TOKEN_ONLY
STATE.md	p1_offdiag_wiring_results.md	archive/pre_2026-07-01/p1_offdiag_wiring_results.md	1	184	NO	EXACT_PATH_TOKEN_ONLY
STATE.md	timelive_nonround_native_solve_results.md	archive/pre_2026-07-01/timelive_nonround_native_solve_results.md	1	454	NO	EXACT_PATH_TOKEN_ONLY
STATE.md	weld_discriminator_results.md	archive/pre_2026-07-01/weld_discriminator_results.md	1	1758	NO	EXACT_PATH_TOKEN_ONLY
STEP2_timelive_matter_MAP.md	coupled_timelive_solve_results.md	archive/pre_2026-07-01/coupled_timelive_solve_results.md	1	28	NO	EXACT_PATH_TOKEN_ONLY
STEP2_timelive_matter_MAP.md	static_soliton_rerun_derived_operator_results.md	archive/pre_2026-07-01/static_soliton_rerun_derived_operator_results.md	2	12;23	NO	EXACT_PATH_TOKEN_ONLY
STEP2_timelive_matter_MAP.md	timelive_nonround_native_solve_results.md	archive/pre_2026-07-01/timelive_nonround_native_solve_results.md	1	28	NO	EXACT_PATH_TOKEN_ONLY
archive/COMPLETION_PROGRAM.md	F1F3_closure_results.md	archive/pre_2026-07-01/F1F3_closure_results.md	2	14;21	NO	EXACT_PATH_TOKEN_ONLY
archive/COMPLETION_PROGRAM.md	b1prime_round_gate_derived_operator_results.md	archive/pre_2026-07-01/b1prime_round_gate_derived_operator_results.md	1	58	NO	EXACT_PATH_TOKEN_ONLY
archive/COMPLETION_PROGRAM.md	matter_object_identity_native_vs_import_results.md	archive/pre_2026-07-01/matter_object_identity_native_vs_import_results.md	1	92	NO	EXACT_PATH_TOKEN_ONLY
archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md	EXTERNAL_AUDIT_2026-06-30.md	archive/pre_2026-07-01/EXTERNAL_AUDIT_2026-06-30.md	1	28	NO	EXACT_PATH_TOKEN_ONLY
archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md	PROVENANCE_AUDIT_2026-06-30.md	archive/pre_2026-07-01/PROVENANCE_AUDIT_2026-06-30.md	2	30;83	NO	EXACT_PATH_TOKEN_ONLY
archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md	SOLVER_AUDIT_2026-06-29.md	archive/pre_2026-07-01/SOLVER_AUDIT_2026-06-29.md	2	157;202	NO	EXACT_PATH_TOKEN_ONLY
archive/M12_winding_bc_closure_results.md	STEP2_timelive_matter_results.md	archive/pre_2026-07-01/STEP2_timelive_matter_results.md	2	22;116	NO	EXACT_PATH_TOKEN_ONLY
archive/M12_winding_bc_closure_results.md	static_soliton_rerun_derived_operator_results.md	archive/pre_2026-07-01/static_soliton_rerun_derived_operator_results.md	2	22;113	NO	EXACT_PATH_TOKEN_ONLY
archive/P5c_regrade_derived_operator_results.md	static_soliton_rerun_derived_operator_results.md	archive/pre_2026-07-01/static_soliton_rerun_derived_operator_results.md	2	13;16	NO	EXACT_PATH_TOKEN_ONLY
archive/depth_selector_breather_results.md	timelive_nonround_native_solve_results.md	archive/pre_2026-07-01/timelive_nonround_native_solve_results.md	1	25	NO	EXACT_PATH_TOKEN_ONLY
archive/native_s2_object_derived_operator_results.md	matter_object_identity_native_vs_import_results.md	archive/pre_2026-07-01/matter_object_identity_native_vs_import_results.md	1	9	NO	EXACT_PATH_TOKEN_ONLY
archive/pre_native_coupled/coupled_timelive_VERIFIER.md	coupled_timelive_solve_CONTRACT.md	archive/pre_2026-07-01/coupled_timelive_solve_CONTRACT.md	1	6	NO	EXACT_PATH_TOKEN_ONLY
archive/pre_native_coupled/coupled_timelive_VERIFIER.md	coupled_timelive_solve_results.md	archive/pre_2026-07-01/coupled_timelive_solve_results.md	1	5	NO	EXACT_PATH_TOKEN_ONLY
archive/pre_native_coupled/coupled_timelive_solve_CONTRACT.md	coupled_timelive_solve_results.md	archive/pre_2026-07-01/coupled_timelive_solve_results.md	1	157	NO	EXACT_PATH_TOKEN_ONLY
archive/pre_native_coupled/coupled_timelive_solve_CONTRACT.md	timelive_nonround_native_solve_results.md	archive/pre_2026-07-01/timelive_nonround_native_solve_results.md	1	10	NO	EXACT_PATH_TOKEN_ONLY
archive/pre_native_coupled/coupled_timelive_solve_results.md	coupled_timelive_solve_CONTRACT.md	archive/pre_2026-07-01/coupled_timelive_solve_CONTRACT.md	1	9	NO	EXACT_PATH_TOKEN_ONLY
archive/pre_native_coupled/p1_VERIFIER.md	p1_offdiag_wiring_results.md	archive/pre_2026-07-01/p1_offdiag_wiring_results.md	1	9	NO	EXACT_PATH_TOKEN_ONLY
archive/pre_native_coupled/timelive_nonround_VERIFIER.md	timelive_nonround_native_solve_results.md	archive/pre_2026-07-01/timelive_nonround_native_solve_results.md	1	4	NO	EXACT_PATH_TOKEN_ONLY
archive/quantized_carrier_structure_results.md	timelive_nonround_native_solve_results.md	archive/pre_2026-07-01/timelive_nonround_native_solve_results.md	2	21;194	NO	EXACT_PATH_TOKEN_ONLY
archive/tier_d_round2_contract.md	lepton_ladder_test_results.md	archive/pre_2026-07-01/lepton_ladder_test_results.md	2	14;50	NO	EXACT_PATH_TOKEN_ONLY
branch_operator.py	PROVENANCE_AUDIT_2026-06-30.md	archive/pre_2026-07-01/PROVENANCE_AUDIT_2026-06-30.md	1	120	NO	EXACT_PATH_TOKEN_ONLY
branch_operator_contamination_ledger.md	F1F3_closure_results.md	archive/pre_2026-07-01/F1F3_closure_results.md	1	76	NO	EXACT_PATH_TOKEN_ONLY
branch_operator_contamination_ledger.md	P1P5_reaudit_vs_derived_operator_results.md	archive/pre_2026-07-01/P1P5_reaudit_vs_derived_operator_results.md	1	77	NO	EXACT_PATH_TOKEN_ONLY
branch_operator_contamination_ledger.md	STEP2_timelive_matter_results.md	archive/pre_2026-07-01/STEP2_timelive_matter_results.md	1	71	NO	EXACT_PATH_TOKEN_ONLY
