id	object_or_choice	status	provenance_or_reason	dropped_scope
P01	founded_phi_identity	pinned-by-THEORY	CURRENT_SCIENTIFIC_PREMISES_G01	physical_spacetime_assignment_open
P02	founded_reciprocal_pair_action	pinned-by-THEORY	CURRENT_SCIENTIFIC_PREMISES_G02	complete_screen_response_open
P03	local_clock_ruler_alignment	pinned-by-THEORY	founded_pair_global_alignment_audit_declared_readout	global_pair_bundle_open
P04	complete_metric	free-and-explored_as_input_class	no_complete_solution_selected	field_equations_and_branches_not_solved
P05	typed_ordered_unit_pair	free-and-explored	all_orthonormal_pair_projectors_up_to_screen_gauge	physical_pair_selection_open
P06	regular_path	free-and-explored_as_label	path_groupoid_not_endpoint_collapse	cut_locus_and_path_selection_open
P07	lambda	free-and-explored_symbolically	all_real_lambda	no_screen_response_selected
P08	Levi_Civita_connection	pinned-by-THEORY_given_metric	unique_torsion_free_metric_compatible_connection	physical_nonmetric_connection_not_assumed
P09	endpoint_depth_section	free_candidate_not_assumed	current_G01_open_scope	no_profile_selected
P10	reciprocal_one_form	free_candidate_not_assumed	candidate_D02	no_connection_or_current selected
P11	relative_coframe_map	free_candidate_not_assumed	candidate_D03	no_endpoint_solder selected
P12	bilocal_profile_F	free_candidate_not_assumed	prior relational_depth result	no_normalization_or_Xmax_selected
P13	clock_frequency_path_data	free_candidate_control	prior clock_cocycle result	no_signal ontology or founding identity selected
P14	c_E	pinned-by-THEORY_as_observed_anchor	CURRENT_SCIENTIFIC_PREMISES_G06	cannot alone normalize dimensionless depth_per_length
P15	G_obs	pinned-by-THEORY_as_observed_anchor	CURRENT_SCIENTIFIC_PREMISES_G06	not used in bounded kinematic algebra
P16	strong_local_CSN	excluded_inactive	CURRENT_SCIENTIFIC_PREMISES_G04	no Weyl gauge selection
P17	action_carrier_source_boundary_density_bootstrap_mass_dynamics	excluded	CURRENT_SCIENTIFIC_PREMISES_G09_G12_G16	all physics closure remains open
P18	coordinate_chart	free-and-explored_symbolically	raw_reference_change explicitly tested	no preferred chart adopted
P19	acceptance_criterion	CHARACTERIZER	classify every route against six availability properties	no candidate filtered for desired physical behavior
