id	claim_under_test	falsifier	certification_check	maximum_scope
F01	all_candidates_classified	missing_or_duplicate_candidate_id	exact_D01_through_D08_coverage	frozen_candidate_universe
F02	endpoint_additive_depth_is_a_potential_difference	finite_graph_cocycle_not_reconstructed_by_basepoint	all_ordered_triangles_and_reversal	finite_complete_graph_then_exact_general_argument
F03	supplied_reciprocal_section_yields_dphi	D_inverse_dD_projection_differs_from_dphi	symbolic_diagonal_exponential_identity	common_constant_X_subgroup
F04	Levi_Civita_projection_is_zero	nonzero_trace_pairing_for_metric_self_adjoint_X_and_metric_skew_Omega	symbolic_general_2x2_and_exact_4x4_samples	metric_compatible_connection
F05	raw_coframe_derivative_is_not_reference_free	unchanged_raw_projection_under_nonconstant_reference_rescaling	explicit_rescaling_shift	one_dimensional_reciprocal_control
F06	relative_reciprocal_log_extracts_unique_delta	wrong_delta_or_nonunique_positive_pair eigenvalues	eigenvalue_ratio_and_composition	positive_common_reciprocal_subgroup
F07	log_projection_is_not_general_additive	projection_adds_for_preregistered_noncommuting_counterexample	exact_BCH_visible_counterexample	registered_2x2_positive-determinant maps
F08	nonnegative_symmetric_magnitude_is_not_signed depth	nonzero_function_is_both_symmetric_and_antisymmetric	exact reversal identity	real scalar pair functions
F09	metric_distance_is_not generally additive	triangle distances add for noncollinear witness	exact_3_4_5_or_round witness	ordinary distance composition
F10	one_form_periods_obstruct_endpoint collapse	nonzero loop period produces identity reciprocal character	faithful real exponential check	real reciprocal subgroup
F11	clock ratio does not identify founded depth	identity follows without a founding solder	typed-input and implication audit	current registered clock cocycle
F12	no route silently supplies excluded physics	action;carrier;source;density;bootstrap;boundary;Xmax;signal ontology selected	premise ledger and source scan	this package
F13	fail_closed_missing_candidate	mutated ledger passes	remove_D08_then_require_failure	verifier
F14	fail_closed_false_LC_depth	mutated_nonzero_LC_status_passes	promote_D08_then_require_failure	verifier
F15	fail_closed_false_bilocal_cocycle	mutated_D05 promotion passes	promote_D05_then_require_failure	verifier
F16	fail_closed_reference_invariance	deleted_reference_rescaling catch passes	remove_F05 evidence then require failure	verifier
F17	fail_closed_general_log_additivity	deleted_noncommuting witness passes	remove_F07 evidence then require failure	verifier
F18	fail_closed_founding_identity	clock ratio promotion passes	promote_D06 then require failure	verifier
