object	status	exact_scope_or_premises	what_is_not_claimed
founded_phi_identity	DERIVED_UNCHANGED	additive_log_coordinate_of_founded_reciprocal_pair	physical_spacetime_profile_or_path_assignment
founded_pair_character	DERIVED_UNCHANGED	exp_delta_X_on_typed_ordered_pair	lambda_or_complete_branch_selected
endpoint_cocycle_theorem	DERIVED_EXACT	all_real_exact_endpoint_additive_reversal_odd_depths	physical_endpoint_section exists
supplied_founded_section_depth	AVAILABLE_CONDITIONAL_EXACT	global_scalar_section_with_valid_transitions	section_or_profile selected
supplied_reciprocal_one_form_depth	AVAILABLE_CONDITIONAL_PATH_COCYCLE	global_normalized_one_form and typed paths	one_form metric-derived or periods zero
Levi_Civita_as_nonzero_depth_source	REFUTED_IN_METRIC_COMPATIBLE_PROJECTION	metric_self_adjoint_reciprocal_generator and metric_skew_connection	all_possible_global_metric functionals refuted
raw_coframe_Maurer_Cartan_as_native_depth	REFUTED_WITHOUT_REFERENCE	coframe_components relative_to_unselected_reference	conditional section formula refuted
relative_reciprocal_log_depth	DERIVED_READOUT_GIVEN_MAP	positive_common_founded_subgroup map	metric generates comparison map
general_complete_log_projection	REFUTED_AS_ADDITIVE_SCALAR_HOMOMORPHISM	preregistered_noncommuting_2x2 counterexample	all_possible_nonabelian_angular compositions
observer_chart_depth	OPEN_CONDITIONAL_TYPE	metric separation plus F signed lift and transitions	universal scalar cocycle
metric_bilocal_magnitude	DERIVED_OR_CONDITIONAL_MAGNITUDE_BY_BRANCH	nonnegative symmetric separation	founding signed additive depth
clock_log_ratio	DERIVED_GIVEN_SIGNAL_DATA	matched observers events signal covector and common path	identity with founded depth
curvature_scalar_difference	AVAILABLE_NONUNIQUE_CONDITIONAL	selected_dimensionless_scalar invariant	UDT selects formula normalization or founding identity
candidate_routes_passing_all_six_requirements	ZERO_IN_FROZEN_UNIVERSE	eight_registered_candidates	universal no_go for future complete solutions
smallest_remaining_kinematic_join	OPEN_METRIC_NATIVE_NORMALIZED_RECIPROCAL_COCYCLE_OR_EQUIVALENT_REFERENCE_CONNECTION	must map typed pair_path arrows to founded real group coordinate	new independent connection authorized
c_E_calibration	OBSERVED_ANCHOR_RETAINED	clock_length conversion in founded readout	unique_dimensionless_depth profile or section
lambda_complete_branch_path_Xmax_action_matter_density_bootstrap_source_boundary_mass_dynamics	OPEN_UNCHANGED	excluded	any_downstream_physics closure
overall_ruling	VERIFIED_WITH_CAVEATS_BOUNDED_AVAILABILITY_CLASSIFICATION	current_registered_candidate_universe and exact finite dimensional algebra	canon_or_complete UDT closure
