object	status	exact_scope	meaning
founded_phi	DERIVED_RECIPROCAL_GROUP_COORDINATE	Reciprocal_c;dual_Reciprocity;composition;declared_readout	phi_and_its_exponential_action_are_not_placeholders
spacetime_phi_section	OPEN_ASSIGNMENT	map_from_typed_observer_pair_paths_or_events_into_founded_reciprocal_group	group_coordinate_does_not_by_itself_assign_a_value_to_every_arrow
section_Maurer_Cartan	DERIVED_GIVEN_SECTION	D_inverse_dD_equals_X_dphi	pullback_of_supplied_section_is_exact
raw_coframe_projection	REFERENCE_DEPENDENT	direct_derivative_of_coframe_components_against_a_chosen_reference	nonconstant_reference_rescaling_shifts_depth_by_minus_dchi
Levi_Civita_connection	DERIVED_GIVEN_METRIC	unique_torsion_free_metric_compatible_connection	carries_pair_by_isometry
Levi_Civita_reciprocal_projection	ZERO_EXACT	trace_pairing_of_metric_self_adjoint_X_with_metric_skew_connection	isometric_transport_cannot_generate_nonzero_self_adjoint_dilation
nonmetric_reciprocal_connection	OPEN_NOT_ADOPTED	would_be_an_independent_reciprocal_component	cannot_be_inserted_as_a_mechanism
relative_reciprocal_map	CONDITIONAL_INPUT	positive_map_in_common_founded_one_parameter_subgroup	unique_delta_readout_once_map_is_supplied
general_complete_relative_map	NOT_SCALAR_HOMOMORPHISM	noncommuting_GL_maps	projected_matrix_log_does_not_add_generically
metric_scalar_potential	NONUNIQUE_CONDITIONAL	chosen_dimensionless_scalar_invariant	valid_exact_cocycle_but_not_selected_or_founded
bilocal_distance	MAGNITUDE_NOT_COCYCLE	supplied_metric_separation_type	valuable_relational_data_but_requires_wider_angular_composition
clock_frequency_ratio	DISTINCT_CONDITIONAL_READOUT	typed_observer_signal_path_data	exact_cocycle_without_automatic_identity_to_founded_depth
