path	what_it_supplies	what_it_does_not_supply
AGENTS.md	binding_method_and_phi_semantics	physics_result
LIVE.md	current_status_authority	new_derivation
HANDOFF.md	current_handoff_scope	new_derivation
CURRENT_SCIENTIFIC_PREMISES.md	foundational_precedence_rules	new_depth_assignment
CURRENT_SCIENTIFIC_PREMISES.tsv	G01_G02_G04_G06_G14_G16_machine_guards	new_depth_assignment
UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	current_architecture_overlay	latest_pair_groupoid result
udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md	founded_phi_identity_and_extension_open_scope	unique_complete_extension
udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv	pointwise_extension_class	global_section_or_profile
udt_observer_pair_clock_operator_audit_2026-07-24/AUDIT_REPORT.md	abstract_character_coordinate_transport_and_readout distinctions	physical_pair_depth assignment
udt_relational_pair_depth_realization_audit_2026-07-24/AUDIT_REPORT.md	bilocal_type_current_and_triangle obstruction	profile_F_or_signed lift
udt_observer_longitudinal_transverse_cocycle_audit_2026-07-24/AUDIT_REPORT.md	clock_frequency_ratio_cocycle	identity_with_founded_depth
udt_founded_pair_global_alignment_audit_2026-07-26/AUDIT_REPORT.md	local_physical_pair_alignment	global_pair section
udt_observer_pair_triangle_consistency_audit_2026-07-26/AUDIT_REPORT.md	endpoint composition strata	metric_native depth
udt_reciprocal_transport_holonomy_atlas_2026-07-26/AUDIT_REPORT.md	Levi_Civita pair transport and holonomy	depth character
udt_calibrated_reciprocal_readout_descent_audit_2026-07-26/AUDIT_REPORT.md	aligned readout obstruction to physical swap	depth assignment
udt_observer_pair_path_groupoid_assembly_audit_2026-07-26/AUDIT_REPORT.md	correct typed objects and remaining join	candidate availability classification
udt_observer_pair_path_groupoid_assembly_audit_2026-07-26/EXACT_DERIVATION.md	endpoint one_form bilocal alternatives	selection among alternatives
udt_observer_pair_path_groupoid_assembly_audit_2026-07-26/STATUS_LEDGER.tsv	current groupoid statuses	new depth assignment
