selection_key	n_data	n_random	wall_seconds	max_rss_gib
CMASS_North_f1_g00	8228	164560	88.04311220813543	3.1662368774414062
CMASS_North_f1_g01	13540	270800	114.77477716701105	3.2356910705566406
CMASS_North_f1_g02	18166	363320	159.4069749158807	3.3204421997070312
CMASS_North_f1_g03	22551	451020	213.01286992896348	3.3826522827148438
CMASS_North_f1_g04	27319	546380	284.43715319316834	3.4647178649902344
CMASS_North_f1_g05	29251	585020	326.12743081105873	3.518321990966797
CMASS_North_f1_g06	31763	635260	382.20071299094707	3.5863189697265625
CMASS_North_f1_g07	33107	662140	414.0988563708961	3.656391143798828
CMASS_North_f1_g08	32887	657740	408.4062787052244	3.6992721557617188
CMASS_North_f1_g09	32794	655880	408.8072012779303	3.745555877685547
CMASS_North_f1_g10	31995	639900	378.37025794386864	3.7939834594726562
CMASS_North_f1_g11	31355	627100	376.53901184210554	3.835094451904297
CMASS_North_f1_g12	29486	589720	341.7293666084297	3.8604354858398438
CMASS_North_f1_g13	28995	579900	331.84574127104133	3.9145431518554688
CMASS_North_f1_g14	25289	505780	261.12982985703275	3.9246253967285156
CMASS_North_f1_g15	23997	479940	242.0674865678884	3.955768585205078
CMASS_North_f1_g16	22568	451360	225.2795784510672	3.994831085205078
CMASS_North_f1_g17	20595	411900	194.84877444198355	4.0261688232421875
CMASS_North_f1_g18	18799	375980	171.34149763919413	4.038036346435547
CMASS_North_f1_g19	16357	327140	150.10965515999123	4.038036346435547
CMASS_North_f1_g20	14810	296200	137.6647464958951	4.066459655761719
CMASS_North_f1_g21	12899	257980	118.28559794975445	4.066459655761719
CMASS_North_f1_g22	11100	222000	107.90438562165946	4.066459655761719
CMASS_North_f1_g23	9724	194480	99.22044037887827	4.078651428222656
CMASS_North_f1_g24	8257	165140	92.04361261706799	4.0810394287109375
CMASS_North_f1_g25	6975	139500	82.43680047104135	4.0810394287109375
CMASS_North_f1_g26	5969	119380	81.6991350161843	4.0810394287109375
CMASS_North_f2_g00	21768	435360	208.13190112356097	4.235179901123047
CMASS_North_f2_g01	40717	814340	611.6155775231309	4.428012847900391
CMASS_North_f2_g02	56570	1131400	1103.381238588132	4.602001190185547
CMASS_North_f2_g03	64870	1297400	1454.4699378381483	4.731941223144531
CMASS_North_f2_g04	65681	1313620	1502.5169585673138	4.796722412109375
CMASS_North_f2_g05	63350	1267000	1420.1935161552392	4.852336883544922
CMASS_North_f2_g06	58481	1169620	1225.658330141101	4.881034851074219
CMASS_North_f2_g07	49286	985720	904.2766324472614	4.892307281494141
CMASS_North_f2_g08	43163	863260	717.7201914726757	4.9270477294921875
CMASS_North_f2_g09	35156	703120	494.8052250901237	4.9270477294921875
CMASS_North_f2_g10	27709	554180	326.0351032479666	4.9270477294921875
CMASS_North_f2_g11	20824	416480	214.18620755709708	4.9270477294921875
CMASS_North_f2_g12	15232	304640	146.69219267228618	4.9270477294921875
