sample	cap	shell_id	z_lo	z_hi	replicate	random_ratio	theta_lo_deg	theta_hi_deg	dd_raw	dr_raw	rr_raw	dd_norm	dr_norm	rr_norm	w_null	sigma_proxy	z_proxy
CMASS	North	28	0.43	0.44	0	5	0.25	0.50	2707	26991	67091	7.9980197293153389e-05	7.9737094177156673e-05	7.9282300376223112e-05	-0.0026700875722865725	0.023076293248646119	-0.11570695273788073
CMASS	North	28	0.43	0.44	0	5	0.50	0.75	4590	44340	111816	0.00013561474162378061	0.0001309896912235607	0.00013213440996359815	0.043665909143930551	0.01780506068163324	2.4524437138804021
CMASS	North	28	0.43	0.44	0	5	0.75	1.00	6281	62156	155083	0.00018557651244857645	0.00018362190454875144	0.00018326358213837637	0.0087103257004146704	0.015166169008467564	0.57432603418513462
CMASS	North	28	0.43	0.44	0	5	1.00	1.25	7839	79039	198604	0.0002316087057927704	0.00023349783952681584	0.00023469290939052059	-0.0029573278210369386	0.013535522331722895	-0.21848642029173243
CMASS	North	28	0.43	0.44	0	5	1.25	1.50	9708	96335	240404	0.00028682961038859741	0.0002845938634195246	0.00028408850873657483	0.0060910323117911681	0.01219382081791138	0.49951794460060561
CMASS	North	28	0.43	0.44	0	5	1.50	1.75	11479	113944	283898	0.00033915503684082298	0.00033661455518216961	0.00033548592974033762	0.0042083917436243987	0.011213516758414206	0.3752963351543197
CMASS	North	28	0.43	0.44	0	5	1.75	2.00	13217	130071	326393	0.00039050545534673382	0.00038425710706224095	0.00038570281955398775	0.019948157975969116	0.010463095195973568	1.9065255168131905
CMASS	North	28	0.43	0.44	0	5	2.00	2.25	14864	147329	368103	0.00043916721557644333	0.00043524087095796063	0.00043499206473877059	0.0084542654852822492	0.0098561347541988899	0.85776683214285199
CMASS	North	28	0.43	0.44	0	5	2.25	2.50	16054	164452	410356	0.00047432659303446053	0.00048582581644332441	0.00048492298002989094	-0.02557531883008066	0.009436624779628108	-2.7102189000131642
CMASS	North	28	0.43	0.44	0	5	2.50	2.75	17882	180788	451805	0.00052833612412122981	0.00053408579830683568	0.00053390379814698672	-0.011110005896271624	0.0089588427217836119	-1.2401161892548258
CMASS	North	28	0.43	0.44	0	5	2.75	3.00	19699	197350	494147	0.0005820206525592274	0.00058301343173138714	0.00058393988588647551	-0.00011358192628113342	0.0085472946525966941	-0.013288640546237268
CMASS	North	28	0.43	0.44	0	5	3.00	3.25	21631	213388	534294	0.00063910293596165541	0.00063039305888166824	0.00063138211380384481	0.015361429774643522	0.0081759875875821349	1.8788470028959916
CMASS	North	28	0.43	0.44	0	5	3.25	3.50	23160	230527	574469	0.00068427830414090601	0.00068102527173418532	0.00067885742968249872	0.0015985541405087668	0.0078911455163855337	0.20257567639444188
CMASS	North	28	0.43	0.44	0	5	3.50	3.75	24480	246924	615329	0.00072327862199349647	0.00072946546043496847	0.00072714221889971819	-0.011703460142363047	0.0076599044683410633	-1.5278859143393093
CMASS	North	28	0.43	0.44	0	5	3.75	4.00	26198	262964	656661	0.00077403812659254992	0.00077685099600614382	0.00077598477660716114	-0.0047411868421731876	0.0074097851612318615	-0.63985483236129004
CMASS	North	28	0.43	0.44	0	5	4.00	4.25	27832	279146	694804	0.00082231579278280208	0.00082465602946080456	0.0008210588518668872	-0.0072314113153029418	0.0071901695897136448	-1.0057358487967096
CMASS	North	28	0.43	0.44	0	5	4.25	4.50	29517	294960	733671	0.00087210028943554075	0.00087137391347093967	0.00086698848726839649	-0.0042204138713197907	0.0069859109151515948	-0.60413222020427204
CMASS	North	28	0.43	0.44	0	5	4.50	4.75	31352	311150	774199	0.00092631664038971006	0.0009192025806091771	0.00091488094780181487	0.0030522298883588119	0.0067855055298432299	0.44981613749113392
CMASS	North	28	0.43	0.44	0	5	4.75	5.00	32895	325998	814719	0.00097190564830376095	0.00096306669732743218	0.00096276395463200913	0.0088663563273600737	0.0066254952862991367	1.3382178907733606
CMASS	North	28	0.43	0.44	0	5	5.00	5.25	34066	341282	852170	0.0010065036575502635	0.0010082188498006144	0.0010070202845628483	-0.0028934446830748942	0.0064999053320301328	-0.44515181918367674
CMASS	North	28	0.43	0.44	0	5	5.25	5.50	36069	358254	890258	0.0010656836853220354	0.0010583577095084689	0.0010520293656129086	0.00094829284297113083	0.0063255965256274983	0.14991358350619119
CMASS	North	28	0.43	0.44	0	5	5.50	5.75	37188	371708	929866	0.0010987453184107088	0.0010981036568634935	0.0010988346502755525	0.0012491915493655175	0.0062230983927831739	0.20073466150144509
CMASS	North	28	0.43	0.44	0	5	5.75	6.00	39070	388515	966656	0.0011543503170459929	0.0011477550718475798	0.0011423098679774982	0.0010067682689003483	0.0060766102968076961	0.16567925532911776
CMASS	North	28	0.43	0.44	0	5	6.00	6.25	40525	403323	1007578	0.0011973393037698712	0.0011915010201479516	0.0011906679233947047	0.0042036799432728427	0.005965418200079506	0.70467481109988517
CMASS	North	28	0.43	0.44	0	5	6.25	6.50	41632	417604	1044821	0.0012300463885144301	0.0012336900995427119	0.0012346784570417167	-0.0021506437681267309	0.0058783959277741368	-0.36585554878422
CMASS	North	28	0.43	0.44	0	5	6.50	6.75	43101	433966	1082034	0.0012734490149731083	0.0012820268908778471	0.0012786535393016381	-0.0093467285027617163	0.005774323784389572	-1.6186706620141147
CMASS	North	28	0.43	0.44	0	5	6.75	7.00	44964	448323	1119479	0.0013284926453968782	0.0013244404902665857	0.0013229027789550592	0.0019007018949285645	0.0056617511101819638	0.33570919278143219
CMASS	North	28	0.43	0.44	0	5	7.00	7.25	45891	462376	1156832	0.0013558815049797201	0.0013659560096794116	0.001367043301021403	-0.0065741980162479898	0.0055951910485761199	-1.1749729292838018
