curve_id	sample	cap	factor	group	lane	ratio	mean	rms	total_variation	first_difference_rms	second_difference_rms	strict_max_count	strict_min_count	plateau_count	zero_crossing_count	raw_lag_degenerate	difference_lag_degenerate
CMASS_North_f1_g00_W0_UNIT_r5	CMASS	North	1	0	W0_UNIT	5	0.022747483249446733	0.1049931086617715	1.6365071023414404	0.043038650098637887	0.026183110352251751	35	36	0	44	0	0
CMASS_North_f1_g00_W1_SPECTRO_r5	CMASS	North	1	0	W1_SPECTRO	5	0.023153114560126427	0.10755765980965111	1.6713845364877171	0.045448715636345879	0.028738846619556901	36	37	0	42	0	0
CMASS_North_f1_g00_W2_IMAGING_r5	CMASS	North	1	0	W2_IMAGING	5	0.022416878168882128	0.10437620323332054	1.6384139142645768	0.042967276159731185	0.02617897749408268	35	36	0	46	0	0
CMASS_North_f1_g00_W3_OFFICIAL_OBS_r5	CMASS	North	1	0	W3_OFFICIAL_OBS	5	0.022819230739742083	0.10694516304656358	1.6749304887400713	0.045357131374206355	0.028724506954549554	35	36	0	46	0	0
CMASS_North_f1_g00_W0_UNIT_r10	CMASS	North	1	0	W0_UNIT	10	0.023388438543347375	0.10440953248254102	1.5477462838321108	0.042177501629935339	0.025087917563727864	35	36	0	34	0	0
CMASS_North_f1_g00_W1_SPECTRO_r10	CMASS	North	1	0	W1_SPECTRO	10	0.023899287312246879	0.10727122324271979	1.5788284989662198	0.044702195315392178	0.027648341972858016	35	36	0	34	0	0
CMASS_North_f1_g00_W2_IMAGING_r10	CMASS	North	1	0	W2_IMAGING	10	0.022973906861101102	0.10379165472230063	1.5512313653884533	0.042079834416950693	0.02497185923406427	35	36	0	36	0	0
CMASS_North_f1_g00_W3_OFFICIAL_OBS_r10	CMASS	North	1	0	W3_OFFICIAL_OBS	10	0.023483644158516642	0.10666197693091245	1.5801602384059936	0.044583891637353268	0.027508477549856677	35	36	0	36	0	0
CMASS_North_f1_g00_W0_UNIT_r20	CMASS	North	1	0	W0_UNIT	20	0.02421272705429918	0.10433681018423727	1.5018915990499606	0.041881040643419611	0.024048153023702976	33	34	0	30	0	0
CMASS_North_f1_g00_W1_SPECTRO_r20	CMASS	North	1	0	W1_SPECTRO	20	0.024731011823545191	0.10727955254227374	1.5326409207951686	0.044285094977378314	0.026063852607785556	33	34	0	30	0	0
CMASS_North_f1_g00_W2_IMAGING_r20	CMASS	North	1	0	W2_IMAGING	20	0.023759081179758283	0.10370835507376872	1.5035858474306347	0.041800874024719367	0.023991779936159707	33	34	0	32	0	0
CMASS_North_f1_g00_W3_OFFICIAL_OBS_r20	CMASS	North	1	0	W3_OFFICIAL_OBS	20	0.024274746822123459	0.10666086882278769	1.5288166501880653	0.044188615161803876	0.025990329798020656	33	34	0	34	0	0
CMASS_North_f1_g01_W0_UNIT_r5	CMASS	North	1	1	W0_UNIT	5	0.016184046209775867	0.092676362476900795	1.2851732010979275	0.043975530707539505	0.02518646993582618	32	32	0	31	0	0
CMASS_North_f1_g01_W1_SPECTRO_r5	CMASS	North	1	1	W1_SPECTRO	5	0.016431797111513938	0.094074041785557561	1.3143433501222292	0.044659256234301885	0.026067833368214197	35	35	0	31	0	0
CMASS_North_f1_g01_W2_IMAGING_r5	CMASS	North	1	1	W2_IMAGING	5	0.015874050719707062	0.092326435366505047	1.2827536248532276	0.043903652343667797	0.025024863930079393	32	32	0	31	0	0
CMASS_North_f1_g01_W3_OFFICIAL_OBS_r5	CMASS	North	1	1	W3_OFFICIAL_OBS	5	0.016156976697512503	0.093713556405851245	1.3114784986471721	0.044558586106651879	0.025842513758552638	34	34	0	29	0	0
CMASS_North_f1_g01_W0_UNIT_r10	CMASS	North	1	1	W0_UNIT	10	0.016483777830800152	0.093016436398441954	1.2334739848171536	0.043693842968680834	0.023583073657551155	31	31	0	25	0	0
CMASS_North_f1_g01_W1_SPECTRO_r10	CMASS	North	1	1	W1_SPECTRO	10	0.016773211481950316	0.094631222390583206	1.2796866965179494	0.044512913974279866	0.024488844060608084	29	29	0	25	0	0
CMASS_North_f1_g01_W2_IMAGING_r10	CMASS	North	1	1	W2_IMAGING	10	0.016145149560514827	0.092672165347695429	1.2316117767588051	0.04365926958210993	0.023494768523703823	31	31	0	25	0	0
CMASS_North_f1_g01_W3_OFFICIAL_OBS_r10	CMASS	North	1	1	W3_OFFICIAL_OBS	10	0.016469383691965926	0.094279686542742228	1.2766501216777122	0.044450592836156363	0.024339641024347908	29	29	0	23	0	0
CMASS_North_f1_g01_W0_UNIT_r20	CMASS	North	1	1	W0_UNIT	20	0.016784267834820985	0.093562180582539178	1.2278143884800743	0.043894361976843425	0.023913249731507293	32	32	0	25	0	0
CMASS_North_f1_g01_W1_SPECTRO_r20	CMASS	North	1	1	W1_SPECTRO	20	0.017057602882715236	0.095160875262461864	1.2674168252761533	0.044705461707862409	0.024869756948528415	29	29	0	27	0	0
CMASS_North_f1_g01_W2_IMAGING_r20	CMASS	North	1	1	W2_IMAGING	20	0.016418035826552137	0.093185563548188924	1.2252531561471289	0.043841370217971944	0.023801575872340833	31	31	0	25	0	0
CMASS_North_f1_g01_W3_OFFICIAL_OBS_r20	CMASS	North	1	1	W3_OFFICIAL_OBS	20	0.016725339152065651	0.094772268939833565	1.2647986454066544	0.044623059738304445	0.024696351623270978	29	29	0	29	0	0
CMASS_North_f1_g02_W0_UNIT_r5	CMASS	North	1	2	W0_UNIT	5	0.024229618564989768	0.10739398265577894	1.2945122096462689	0.048134568484062654	0.026887073865672378	29	29	0	20	0	0
CMASS_North_f1_g02_W1_SPECTRO_r5	CMASS	North	1	2	W1_SPECTRO	5	0.024861580598565077	0.10814628230934863	1.3051296868174975	0.04851297705072196	0.027495776881080371	28	28	0	18	0	0
CMASS_North_f1_g02_W2_IMAGING_r5	CMASS	North	1	2	W2_IMAGING	5	0.024383553088188705	0.10759399827674092	1.2954694813512129	0.048222323681226954	0.026899812882948192	30	30	0	22	0	0
CMASS_North_f1_g02_W3_OFFICIAL_OBS_r5	CMASS	North	1	2	W3_OFFICIAL_OBS	5	0.025044502231348326	0.1083076954062832	1.3044857607153246	0.048590225959490821	0.027515093489601173	29	29	0	16	0	0
CMASS_North_f1_g02_W0_UNIT_r10	CMASS	North	1	2	W0_UNIT	10	0.024444471372620843	0.10751822669239969	1.2783228262146624	0.048006990594206433	0.026990875075856492	27	27	0	22	0	0
CMASS_North_f1_g02_W1_SPECTRO_r10	CMASS	North	1	2	W1_SPECTRO	10	0.025044490587021677	0.10816778910718379	1.2841550730027953	0.048417341214253888	0.02765782384027347	27	27	0	16	0	0
CMASS_North_f1_g02_W2_IMAGING_r10	CMASS	North	1	2	W2_IMAGING	10	0.024591578753889898	0.10768460699275859	1.2791259911256738	0.048074254152042806	0.026977406810879009	27	27	0	22	0	0
CMASS_North_f1_g02_W3_OFFICIAL_OBS_r10	CMASS	North	1	2	W3_OFFICIAL_OBS	10	0.025220748649467738	0.10829646749314938	1.2845550572034301	0.04847287742292828	0.027646756601240462	28	28	0	20	0	0
CMASS_North_f1_g02_W0_UNIT_r20	CMASS	North	1	2	W0_UNIT	20	0.024318749010782823	0.10694834409351947	1.2750409909613241	0.047920118778959499	0.027279339088326662	30	30	0	18	0	0
CMASS_North_f1_g02_W1_SPECTRO_r20	CMASS	North	1	2	W1_SPECTRO	20	0.02489332933926006	0.1076142562692563	1.2900503275435189	0.048322762410809308	0.027937047634872432	29	29	0	16	0	0
CMASS_North_f1_g02_W2_IMAGING_r20	CMASS	North	1	2	W2_IMAGING	20	0.024455249098780673	0.10711621183985753	1.2756568119109337	0.047976970297621949	0.027256402965205557	29	29	0	20	0	0
CMASS_North_f1_g02_W3_OFFICIAL_OBS_r20	CMASS	North	1	2	W3_OFFICIAL_OBS	20	0.025059262890095541	0.10774350223358969	1.2904356967462542	0.048362532485315635	0.027907271554725176	29	29	0	16	0	0
CMASS_North_f1_g03_W0_UNIT_r5	CMASS	North	1	3	W0_UNIT	5	0.021355717210101946	0.10259505794243523	1.1815605915519833	0.042632306118313597	0.020583705115392831	30	30	0	28	0	0
CMASS_North_f1_g03_W1_SPECTRO_r5	CMASS	North	1	3	W1_SPECTRO	5	0.021489443311565541	0.10530203005113628	1.2274080941148491	0.044418825558198788	0.021997901134349799	30	30	0	26	0	0
CMASS_North_f1_g03_W2_IMAGING_r5	CMASS	North	1	3	W2_IMAGING	5	0.020945891646373949	0.10238132449377464	1.1822269923846349	0.042669146146773439	0.020619386737967569	29	29	0	28	0	0
CMASS_North_f1_g03_W3_OFFICIAL_OBS_r5	CMASS	North	1	3	W3_OFFICIAL_OBS	5	0.021103288081580546	0.10508339991711042	1.2278769927430389	0.044448244776818434	0.022038287064029018	29	29	0	26	0	0
CMASS_North_f1_g03_W0_UNIT_r10	CMASS	North	1	3	W0_UNIT	10	0.021349054187456182	0.1023288697198842	1.160086875081078	0.042604454989671067	0.020487504502460088	31	31	0	26	0	0
CMASS_North_f1_g03_W1_SPECTRO_r10	CMASS	North	1	3	W1_SPECTRO	10	0.021474967071794023	0.10492398665258941	1.2077206444411457	0.044342571364323784	0.021827210923500141	30	31	0	24	0	0
CMASS_North_f1_g03_W2_IMAGING_r10	CMASS	North	1	3	W2_IMAGING	10	0.020935921086995421	0.10213393372195377	1.1608522159378565	0.04264565257891189	0.020512872718881657	31	31	0	22	0	0
CMASS_North_f1_g03_W3_OFFICIAL_OBS_r10	CMASS	North	1	3	W3_OFFICIAL_OBS	10	0.021084760938037184	0.10472367568421573	1.2072782693143258	0.044376425298293658	0.021853139155948203	30	31	0	24	0	0
CMASS_North_f1_g03_W0_UNIT_r20	CMASS	North	1	3	W0_UNIT	20	0.021459798911179839	0.10256740246649253	1.1604492193638978	0.042383134464278195	0.020189026924502793	29	30	0	30	0	0
