premise_id	item	status	ownership	role	forbidden_promotion
R5P01	R2 parent curves	OBSERVED	pinned-by-THEORY:R2 contracts	complete central inputs	physical angular law
R5P02	R4 relation census	OBSERVED	pinned-by-THEORY:R4 contract	complete relation-incidence views	physical relation measure
R5P03	R3 covariance cells	OBSERVED	pinned-by-THEORY:R3 contracts	all-grid descriptive scale	exact sampling distribution
R5P04	CENTERED_UNIT transform	CONDITIONAL	category-A numerical descriptor	shape vector space	physical mode field
R5P05	FIRST_DIFFERENCE_UNIT transform	CONDITIONAL	category-A numerical descriptor	bin-change vector space	physical derivative law
R5P06	relation endpoint repetition	CHOSE	exact R4 incidence weighting	relation-conditioned ensemble	physical probability measure
R5P07	full SVD spectrum	CONDITIONAL	category-A numerical decomposition	complete angular-vector basis	physical eigenmodes
R5P08	all-rank projector overlap	CONDITIONAL	category-A subspace descriptor	no rank selection	replication theorem
R5P09	zero cross-cap covariance	CHOSE	R4 descriptive approximation	C_N+C_S mode scale	independence or significance
R5P10	transformed eigenthreshold	CHOSE	dimension-times-epsilon rule	range bookkeeping	physical cutoff
R5P11	mode projection-to-SD ratio	CONDITIONAL	descriptive covariance scale	all-grid annotation	sigma or p-value
R5P12	mode count or explained-variance cutoff	OPEN	not used	none	reduced-rank claim
R5P13	cosmological distance or ruler	OPEN	not used	none	BAO interpretation
R5P14	UDT observer response	OPEN	not used	none	UDT fit or validation
R5P15	X_max	WORKING_FOUNDATIONAL_FRAME	not used	none	numerical determination
