artifact	bytes	sha256
R2_PAIR_COMPONENT_ATLAS.tsv	40601899	c6f3f35726f9b71716ecb8ca29ebe82c6a2cb07f444cbe32b52606b0ae282290
R2_CURVE_ATLAS.tsv	68551672	32b592a85cbadbc080391353be6d0ee73a2d0d8a37c10aead28e041a7810f603
R2_DESCRIPTOR_ATLAS.tsv	422366	05ee38f3f08738fbfc597d4ce37f3e3a488618a396aca1d56275672e8e757196
R2_EXTREMA_CROSSING_ATLAS.tsv	15690548	9c9695272b0b0d21b466f0d86d5313572a140107d22a2fcffd4fad71255a4869
R2_DCT_ATLAS.tsv	16012570	879314039ec1628e5eaa0bd19d92dec9245ac505ea16521ddac051a2e947ff89
R2_LAG_ATLAS.tsv	49945691	1eb9478de71e1fb4288cf0b9e6129270b35396fbc05a378ac4dfc74339e3d1a6
R2_CONSISTENCY_SUMMARY.tsv	391304	8731cff74c6bc4f021974c7ac570674506046e8ecbbf5cd0c2790d271187dc43
R2_RESOURCE_OBSERVED.tsv	9429	596e1c139e116cc00304f9ae32290150dbe4b79597543c07ffb19de8eff210eb
R2_RESULT.json	405	5e0277283af249441ab7a6c6bd5471bb1a948cebfcfc21d2ee3c6a116567a792
R2_RUN.log	314254	86a3dcce7412b149dce04a0c133a619d6ab149bc183835a580747207d7405c4f
