artifact	bytes	sha256
R3_OUTPUT_MANIFEST.tsv	23075	3a38784ac248997bd987598308b98edbf60566759e4fdc35d54d98b161a11cfa
R3_RESULT.json	381	c59652f18fc9877bc0acdd3ab08fcb9d036e441ec1fb70b155ff119028e3ab49
R3_VERIFICATION_RESULT.json	7180	973795b9987fa63ef54e25be2a889d4d9b9b38816f12f017b7e8b4586b00fff0
R3_FINAL_STATUS.json	394	0196c6d92888a8890fa6de4505203f3f08752ff3db2da4d1f328c17662ee8864
R3_OUTCOME_REPORT.md	4755	6e0848a1ac4e4306f6dc807438d377ef7b7ff7c9cda87771a545370a59a773bb
verify_r3.py	18381	7ee7dfab9fc97df42ed1c8869791856ba101bb42fb6cccc20d660745afe10335
verify_r3_curve_ownership_correction.py	2888	930f5ddc4f156ccb5c57853ff3a7d60781d86f060b33f13fe4758c80a0293a53
verify_r3_final_package.py	1180	3a4284dc2d60489f7ff594b958ab88816283ce60fff4622a6e52af57a0670a57
R3_VERIFIER_CURVE_OWNERSHIP_CORRECTION_PREREGISTRATION.md	3914	4f6061e0d42b55054d37887717b03cf549ec7314503f4800ae02281d2a26d766
R3_VERIFIER_ANCHOR_OWNERSHIP_CORRECTION_PREREGISTRATION.md	2960	f65c56e81082603a00ba8043e015b056d0e981d8b1de308d42bc290a90fa9bb6
R3_VERIFIER_CURVE_OWNERSHIP_CORRECTION_RESULT.json	273	374bee77142f10e856d5431be5cb2c0040159a34dc34cac104a3c616d478b3cc
STATUS_LEDGER.tsv	2382	8939c9dfad9469ca2158049390eff53174b49a49a4e8b48011e0fbd292fcada0
