sample	factor	group	z_lo	z_hi	lane	nside	north_selection	south_selection	rank	rank_tau	positive_condition	difference_rms	covariance_rms_scale	difference_to_covariance_rms	range_fraction	unresolved_fraction	range_quadratic_per_rank	diagonal_standardized_rms	resolved_diagonal_bins	eigen_min	eigen_max
CMASS	1	0	0.42999999999999999	0.44	W0_UNIT	4	CMASS_North_f1_g00	CMASS_South_f1_g00	75	7.1688421088559819e-16	10679593.11226345	0.02426424321483419	0.027242334742309939	0.89068148689728532	0.84179204604920321	0.15820795395079679	547.38372802281037	1.0131312247534132	119	-1.0656738823016022e-18	0.027130751806824976
CMASS	1	0	0.42999999999999999	0.44	W0_UNIT	8	CMASS_North_f1_g00	CMASS_South_f1_g00	119	7.8547231414568967e-16	4651.9046798984173	0.02426424321483419	0.028044871254151529	0.86519360331320161	0.99999999999999944	5.5511151231257827e-16	3.570083145910536	0.97684310161462706	119	6.3901770010595483e-06	0.029726494296608143
CMASS	1	0	0.42999999999999999	0.44	W0_UNIT	16	CMASS_North_f1_g00	CMASS_South_f1_g00	119	7.1738792618321532e-16	773.2540411593576	0.02426424321483419	0.027622570531953237	0.87842089811177415	1	0	1.0743738013558228	1.0054164894424999	119	3.5111119575217766e-05	0.027149815101166565
CMASS	1	0	0.42999999999999999	0.44	W1_SPECTRO	4	CMASS_North_f1_g00	CMASS_South_f1_g00	75	7.3773694360226133e-16	10741813.90767525	0.026857207659589852	0.028230476469662889	0.9513550962716204	0.86153128713738758	0.13846871286261242	239.6500799636423	1.0285558859766835	119	-1.2491596260717135e-18	0.027919931296677251
CMASS	1	0	0.42999999999999999	0.44	W1_SPECTRO	8	CMASS_North_f1_g00	CMASS_South_f1_g00	119	8.1453681857245354e-16	4992.360761707253	0.026857207659589852	0.028981628022023025	0.92669768721002033	1	0	3.3270717078471064	0.98422778518383169	119	6.1747243113627335e-06	0.030826451366407152
CMASS	1	0	0.42999999999999999	0.44	W1_SPECTRO	16	CMASS_North_f1_g00	CMASS_South_f1_g00	119	7.2885678061636401e-16	683.25987185760846	0.026857207659589852	0.028481827864003523	0.94295941214970513	0.99999999999999989	1.1102230246251565e-16	1.0899489535138531	1.0173295502446067	119	4.0370961817565129e-05	0.027583858198237953
CMASS	1	0	0.42999999999999999	0.44	W2_IMAGING	4	CMASS_North_f1_g00	CMASS_South_f1_g00	75	7.351355084130194e-16	11191420.18199151	0.024594619319194364	0.02721469657832128	0.90372564869181671	0.8590502854310238	0.1409497145689762	280.3215224498158	1.0028730273858786	119	-1.1010108717805903e-18	0.027821479006350371
CMASS	1	0	0.42999999999999999	0.44	W2_IMAGING	8	CMASS_North_f1_g00	CMASS_South_f1_g00	119	7.9033759962309308e-16	4649.8694513424462	0.024594619319194364	0.027818780298954366	0.88410128175600888	0.99999999999999944	5.5511151231257827e-16	3.6022220325311243	0.97238320826036251	119	6.4325726051177771e-06	0.029910622850079449
CMASS	1	0	0.42999999999999999	0.44	W2_IMAGING	16	CMASS_North_f1_g00	CMASS_South_f1_g00	119	7.1843247628991465e-16	758.27895619164383	0.024594619319194364	0.027418116076937785	0.89702075993038954	0.99999999999999967	3.3306690738754696e-16	1.0382547809950127	0.99452233656929379	119	3.5856654427331882e-05	0.027189346491681702
CMASS	1	0	0.42999999999999999	0.44	W3_OFFICIAL_OBS	4	CMASS_North_f1_g00	CMASS_South_f1_g00	75	7.516099096079255e-16	10700367.233956005	0.027252982626849828	0.028178686179246362	0.9671488036557816	0.87581215020830894	0.12418784979169106	231.31480510903208	1.0185296612066181	119	-1.0555529390717868e-18	0.028444958897800215
CMASS	1	0	0.42999999999999999	0.44	W3_OFFICIAL_OBS	8	CMASS_North_f1_g00	CMASS_South_f1_g00	119	8.1189313470158091e-16	5073.8124980677603	0.027252982626849828	0.028766790971744723	0.94737653058411042	0.99999999999999933	6.6613381477509392e-16	3.2405145739154331	0.97963396714242867	119	6.0558801040797767e-06	0.030726400158879862
CMASS	1	0	0.42999999999999999	0.44	W3_OFFICIAL_OBS	16	CMASS_North_f1_g00	CMASS_South_f1_g00	119	7.2593197877371482e-16	679.11126055244608	0.027252982626849828	0.028307506846111382	0.96274754166821253	1	0	1.0551257659123412	1.0055605774885683	119	4.0454590538367687e-05	0.02747316797564394
CMASS	1	1	0.44	0.45000000000000001	W0_UNIT	4	CMASS_North_f1_g01	CMASS_South_f1_g01	74	4.7821596155856812e-16	135276.05513048967	0.023434862492778961	0.022523150398168181	1.040478888543271	0.95290466333949708	0.047095336660502918	30.801999302180285	0.79375032288963321	119	-9.4226894759622862e-19	0.01809826240569572
CMASS	1	1	0.44	0.45000000000000001	W0_UNIT	8	CMASS_North_f1_g01	CMASS_South_f1_g01	119	4.922401273610576e-16	6132.1519679258045	0.023434862492778961	0.022461571381647675	1.0433313900703545	1	0	2.0734424980266297	0.80086192038049098	119	3.0379240953700179e-06	0.018629012219832475
CMASS	1	1	0.44	0.45000000000000001	W0_UNIT	16	CMASS_North_f1_g01	CMASS_South_f1_g01	119	5.1822402961515128e-16	1207.6036526209386	0.023434862492778961	0.022653532974487356	1.0344904046168668	1	0	0.73237787808136634	0.81484907406774854	119	1.6240744802778297e-05	0.019612382745119599
CMASS	1	1	0.44	0.45000000000000001	W1_SPECTRO	4	CMASS_North_f1_g01	CMASS_South_f1_g01	74	4.3591376777536411e-16	81608.207054955419	0.0238087355508847	0.022675473077428569	1.0499774566813425	0.96029166938141075	0.039708330618589249	26.105096193340952	0.77966417229599461	119	-8.5048872089003094e-19	0.016497320017805031
CMASS	1	1	0.44	0.45000000000000001	W1_SPECTRO	8	CMASS_North_f1_g01	CMASS_South_f1_g01	119	4.8402178804308557e-16	5406.0507135833441	0.0238087355508847	0.022853063642694359	1.0418181090785983	1	0	2.3648449275980967	0.78818530430468214	119	3.3884229092185087e-06	0.018317986086302869
CMASS	1	1	0.44	0.45000000000000001	W1_SPECTRO	16	CMASS_North_f1_g01	CMASS_South_f1_g01	119	5.151014336764948e-16	1053.5853245309079	0.0238087355508847	0.02304794656893857	1.0330089702208629	1	0	0.75597380838972572	0.8027287801896329	119	1.8502732030236798e-05	0.019494206930785463
CMASS	1	1	0.44	0.45000000000000001	W2_IMAGING	4	CMASS_North_f1_g01	CMASS_South_f1_g01	74	5.0282889032085392e-16	133079.92946638563	0.023843745221660322	0.023117040156286357	1.03143590444369	0.9513773660401379	0.048622633959862105	29.218634257798779	0.7887098289494735	119	-8.3768607467477611e-19	0.019029747925043007
CMASS	1	1	0.44	0.45000000000000001	W2_IMAGING	8	CMASS_North_f1_g01	CMASS_South_f1_g01	119	5.1531434874596043e-16	6031.9622895072089	0.023843745221660322	0.022875978533009912	1.0423049307925309	0.99999999999999922	7.7715611723760958e-16	2.0407173454353797	0.80100061813269585	119	3.2331542946416616e-06	0.019502264781436782
CMASS	1	1	0.44	0.45000000000000001	W2_IMAGING	16	CMASS_North_f1_g01	CMASS_South_f1_g01	119	5.4040751798289281e-16	1250.6561497132307	0.023843745221660322	0.022894902304852794	1.0414434140916344	0.99999999999999922	7.7715611723760958e-16	0.75320358034901735	0.81991439529133459	119	1.6352956155324017e-05	0.020451925181646811
CMASS	1	1	0.44	0.45000000000000001	W3_OFFICIAL_OBS	4	CMASS_North_f1_g01	CMASS_South_f1_g01	74	4.5560453063328622e-16	74188.54361467417	0.024142515372165167	0.023307163188489095	1.0358410063430041	0.95965115063127637	0.040348849368723627	25.897495592805889	0.7745576913448492	119	-9.0795623095299416e-19	0.017242524322591407
CMASS	1	1	0.44	0.45000000000000001	W3_OFFICIAL_OBS	8	CMASS_North_f1_g01	CMASS_South_f1_g01	119	5.0559080941258365e-16	5559.5806909401044	0.024142515372165167	0.023284819424639617	1.036834983852954	0.99999999999999878	1.2212453270876722e-15	2.280630066870819	0.78905157671356674	119	3.4416757040734055e-06	0.019134273788844195
CMASS	1	1	0.44	0.45000000000000001	W3_OFFICIAL_OBS	16	CMASS_North_f1_g01	CMASS_South_f1_g01	119	5.3706802528228887e-16	1100.5769940598075	0.024142515372165167	0.023295218820510884	1.0363721224592344	1	0	0.7825070410456656	0.80892142485455043	119	1.8468077142916946e-05	0.020325540828016169
CMASS	1	2	0.45000000000000001	0.46000000000000002	W0_UNIT	4	CMASS_North_f1_g02	CMASS_South_f1_g02	73	5.7244995414102225e-16	184502.27824119339	0.015979235511765357	0.021972235421454378	0.72724669134769659	0.9199554459501148	0.080044554049885197	28.164565917679532	0.83701403538345809	119	-9.7862842697781523e-19	0.021664583194603071
CMASS	1	2	0.45000000000000001	0.46000000000000002	W0_UNIT	8	CMASS_North_f1_g02	CMASS_South_f1_g02	119	4.08629635607916e-16	9593.498016523683	0.015979235511765357	0.020752787558215934	0.76998019986183741	0.99999999999999989	1.1102230246251565e-16	2.58767334122652	0.89915816761671663	119	1.6120023975820576e-06	0.015464741803834892
CMASS	1	2	0.45000000000000001	0.46000000000000002	W0_UNIT	16	CMASS_North_f1_g02	CMASS_South_f1_g02	119	3.949652870992199e-16	1417.79003900729	0.015979235511765357	0.020407812974532643	0.78299597961360168	1	0	1.0091411155760417	0.93239377866311612	119	1.0542893516579111e-05	0.014947609410120402
CMASS	1	2	0.45000000000000001	0.46000000000000002	W1_SPECTRO	4	CMASS_North_f1_g02	CMASS_South_f1_g02	73	5.8387811285820722e-16	150965.58257962659	0.016660736345412784	0.022408442794514517	0.74350263863454424	0.93781193482112979	0.062188065178870211	25.953649545035326	0.86802521056736093	119	-7.6970514989727383e-19	0.022097086147042106
CMASS	1	2	0.45000000000000001	0.46000000000000002	W1_SPECTRO	8	CMASS_North_f1_g02	CMASS_South_f1_g02	119	4.2593804736286095e-16	7706.6578595565152	0.016660736345412784	0.021286711466527969	0.78268249051107575	1	0	2.2081087791119418	0.92291370726599908	119	2.0916700120157665e-06	0.016119785137699977
CMASS	1	2	0.45000000000000001	0.46000000000000002	W1_SPECTRO	16	CMASS_North_f1_g02	CMASS_South_f1_g02	119	4.0298447751549103e-16	1357.3507608254499	0.016660736345412784	0.020863850007591712	0.7985456346431965	0.99999999999999978	2.2204460492503131e-16	0.93307001288983593	0.95976657503472329	119	1.1235930401295561e-05	0.015251098678780332
CMASS	1	2	0.45000000000000001	0.46000000000000002	W2_IMAGING	4	CMASS_North_f1_g02	CMASS_South_f1_g02	73	5.6509918869015977e-16	197699.32496768495	0.016205826685470014	0.021929015232947539	0.73901297041015113	0.92369507517116245	0.07630492482883755	24.585088455311958	0.85070312955963512	119	-5.7653315010739697e-19	0.021386390719431707
CMASS	1	2	0.45000000000000001	0.46000000000000002	W2_IMAGING	8	CMASS_North_f1_g02	CMASS_South_f1_g02	119	4.220736908439055e-16	10294.254568006019	0.016205826685470014	0.020808681443492232	0.77880122916381478	0.99999999999999933	6.6613381477509392e-16	2.5446918283764575	0.90949278056393701	119	1.5516943952089855e-06	0.015973537116029436
CMASS	1	2	0.45000000000000001	0.46000000000000002	W2_IMAGING	16	CMASS_North_f1_g02	CMASS_South_f1_g02	119	4.098427108703084e-16	1448.9184241875437	0.016205826685470014	0.020476154988314777	0.79144872143809564	0.99999999999999956	4.4408920985006262e-16	0.99952630492531291	0.94195584594458315	119	1.0704985755678312e-05	0.015510651092067521
CMASS	1	2	0.45000000000000001	0.46000000000000002	W3_OFFICIAL_OBS	4	CMASS_North_f1_g02	CMASS_South_f1_g02	73	5.7338893066406906e-16	156105.2906406699	0.016745987995717457	0.022377577173942342	0.7483378502306044	0.93528245304686453	0.064717546953135474	21.745043696810324	0.88411951576369752	119	-8.2805815606489648e-19	0.021700119113252678
CMASS	1	2	0.45000000000000001	0.46000000000000002	W3_OFFICIAL_OBS	8	CMASS_North_f1_g02	CMASS_South_f1_g02	119	4.3381991047052499e-16	8804.4066030198901	0.016745987995717457	0.021304629114780347	0.78602579305638898	1	0	2.1319558485253136	0.93771002448940932	119	1.8647568136203335e-06	0.016418077202865197
CMASS	1	2	0.45000000000000001	0.46000000000000002	W3_OFFICIAL_OBS	16	CMASS_North_f1_g02	CMASS_South_f1_g02	119	4.1208079145073738e-16	1369.0953440171654	0.016745987995717457	0.020896471548993635	0.80137873786275349	0.99999999999999956	4.4408920985006262e-16	0.91521609285084227	0.97449995080755802	119	1.1390990524589152e-05	0.015595352090958655
CMASS	1	3	0.46000000000000002	0.46999999999999997	W0_UNIT	4	CMASS_North_f1_g03	CMASS_South_f1_g03	75	3.7381548309862789e-16	32573519.924816128	0.0096596693831215146	0.01915003516168769	0.50442045153248738	0.86521749433781647	0.13478250566218353	3165.9336050202833	0.53040279918529287	119	-4.7961017443187793e-19	0.014147187146120189
CMASS	1	3	0.46000000000000002	0.46999999999999997	W0_UNIT	8	CMASS_North_f1_g03	CMASS_South_f1_g03	119	2.9833685078769838e-16	10236.385363749258	0.0096596693831215146	0.018874056467427382	0.51179614725599953	0.99999999999999967	3.3306690738754696e-16	2.5590897475615697	0.51844486235864529	119	1.102993840023525e-06	0.011290670000322401
CMASS	1	3	0.46000000000000002	0.46999999999999997	W0_UNIT	16	CMASS_North_f1_g03	CMASS_South_f1_g03	119	3.2209746024851348e-16	1536.1557441953782	0.0096596693831215146	0.018532520953738262	0.52122802975560789	0.99999999999999967	3.3306690738754696e-16	0.8105866151231772	0.5450274265657199	119	7.9353276659156383e-06	0.012189899176068811
CMASS	1	3	0.46000000000000002	0.46999999999999997	W1_SPECTRO	4	CMASS_North_f1_g03	CMASS_South_f1_g03	75	3.8940481787584967e-16	30713706.229356587	0.010358464802212782	0.019520865103359927	0.53063554034958649	0.8804667845292562	0.1195332154707438	824.2481131094454	0.53668921350458643	119	-4.9223955009038289e-19	0.01473717136707523
CMASS	1	3	0.46000000000000002	0.46999999999999997	W1_SPECTRO	8	CMASS_North_f1_g03	CMASS_South_f1_g03	119	3.0510503840769846e-16	8408.550115742466	0.010358464802212782	0.019276418959654523	0.53736458124784547	1	0	2.4144709541385012	0.51860245854986564	119	1.3732230218130669e-06	0.011546814599006484
CMASS	1	3	0.46000000000000002	0.46999999999999997	W1_SPECTRO	16	CMASS_North_f1_g03	CMASS_South_f1_g03	119	3.3069200066472298e-16	1518.9598088278519	0.010358464802212782	0.018975995319050424	0.54587201504069138	1	0	0.78741419274082158	0.54047225192245929	119	8.2392981753097183e-06	0.01251516278124412
CMASS	1	3	0.46000000000000002	0.46999999999999997	W2_IMAGING	4	CMASS_North_f1_g03	CMASS_South_f1_g03	75	3.5422355849631398e-16	31647007.637086377	0.010487355156452936	0.018781662243992966	0.55838269372601246	0.88767715118364154	0.11232284881635846	2947.0871121854957	0.55123894758155501	119	-5.2519015053208863e-19	0.01340572341218362
CMASS	1	3	0.46000000000000002	0.46999999999999997	W2_IMAGING	8	CMASS_North_f1_g03	CMASS_South_f1_g03	119	2.8396532019132797e-16	9688.0307004155438	0.010487355156452936	0.018530653214834159	0.56594632875961426	0.99999999999999933	6.6613381477509392e-16	2.47723542625166	0.53918617194166274	119	1.1092836477935138e-06	0.010746774035292506
