comparison	sample	cap_or_pair	factor	group	lane_or_pair	ratio_or_pair	max_abs_difference	rms_difference
RANDOM_DENSITY	CMASS	North	1	0	W0_UNIT	5-20	0.011252555120516039	0.0037337789326716809
RANDOM_DENSITY	CMASS	North	1	0	W0_UNIT	10-20	0.0072155370350126492	0.0022462389953058328
RANDOM_DENSITY	CMASS	North	1	0	W1_SPECTRO	5-20	0.010595336858006205	0.0038612359956777726
RANDOM_DENSITY	CMASS	North	1	0	W1_SPECTRO	10-20	0.0072847162958435963	0.002318162167119278
RANDOM_DENSITY	CMASS	North	1	0	W2_IMAGING	5-20	0.011200185570428123	0.0036612728698217794
RANDOM_DENSITY	CMASS	North	1	0	W2_IMAGING	10-20	0.0069423106547129481	0.0021957826074220071
RANDOM_DENSITY	CMASS	North	1	0	W3_OFFICIAL_OBS	5-20	0.010391238756342326	0.0037831012891068635
RANDOM_DENSITY	CMASS	North	1	0	W3_OFFICIAL_OBS	10-20	0.0071418325099232849	0.0022650394096554297
WEIGHT_LANE	CMASS	North	1	0	W1_SPECTRO-W0_UNIT	5	0.031824336000582099	0.0034409572557307462
WEIGHT_LANE	CMASS	North	1	0	W2_IMAGING-W0_UNIT	5	0.0038472104219341441	0.00080068141433179568
WEIGHT_LANE	CMASS	North	1	0	W3_OFFICIAL_OBS-W0_UNIT	5	0.027819456282563548	0.0031174522261958491
WEIGHT_LANE	CMASS	North	1	0	W1_SPECTRO-W0_UNIT	10	0.034598078237015661	0.0036745244456609549
WEIGHT_LANE	CMASS	North	1	0	W2_IMAGING-W0_UNIT	10	0.0038770712283759945	0.00081818405286759042
WEIGHT_LANE	CMASS	North	1	0	W3_OFFICIAL_OBS-W0_UNIT	10	0.03061815094139142	0.0033077866976836006
WEIGHT_LANE	CMASS	North	1	0	W1_SPECTRO-W0_UNIT	20	0.0347076896552444	0.0037078701849442243
WEIGHT_LANE	CMASS	North	1	0	W2_IMAGING-W0_UNIT	20	0.0037948408718462279	0.00084322418883376162
WEIGHT_LANE	CMASS	North	1	0	W3_OFFICIAL_OBS-W0_UNIT	20	0.030846893622978433	0.0033307829681467611
RANDOM_DENSITY	CMASS	North	1	1	W0_UNIT	5-20	0.0093547852382959706	0.002425503299697446
RANDOM_DENSITY	CMASS	North	1	1	W0_UNIT	10-20	0.0048855947479723716	0.00135919039883171
RANDOM_DENSITY	CMASS	North	1	1	W1_SPECTRO	5-20	0.0095937587931883561	0.0025069299903461959
RANDOM_DENSITY	CMASS	North	1	1	W1_SPECTRO	10-20	0.0055758654387958462	0.0013873152601436103
RANDOM_DENSITY	CMASS	North	1	1	W2_IMAGING	5-20	0.0091572063321784247	0.0023990976563055487
RANDOM_DENSITY	CMASS	North	1	1	W2_IMAGING	10-20	0.0047776405183838355	0.001342618803830319
RANDOM_DENSITY	CMASS	North	1	1	W3_OFFICIAL_OBS	5-20	0.0093874111824366335	0.0024787334687805342
RANDOM_DENSITY	CMASS	North	1	1	W3_OFFICIAL_OBS	10-20	0.0054887652530829778	0.001370147628775898
WEIGHT_LANE	CMASS	North	1	1	W1_SPECTRO-W0_UNIT	5	0.01259120688361981	0.001891747426987352
WEIGHT_LANE	CMASS	North	1	1	W2_IMAGING-W0_UNIT	5	0.0024339476908276647	0.00061215779732850476
WEIGHT_LANE	CMASS	North	1	1	W3_OFFICIAL_OBS-W0_UNIT	5	0.0099979546160745558	0.0016307637216008083
WEIGHT_LANE	CMASS	North	1	1	W1_SPECTRO-W0_UNIT	10	0.014991187432183972	0.0020380735021723914
WEIGHT_LANE	CMASS	North	1	1	W2_IMAGING-W0_UNIT	10	0.0025333332409080145	0.00063645239902753543
WEIGHT_LANE	CMASS	North	1	1	W3_OFFICIAL_OBS-W0_UNIT	10	0.01264380831247025	0.0017625226558941388
WEIGHT_LANE	CMASS	North	1	1	W1_SPECTRO-W0_UNIT	20	0.014796297796236701	0.0020282886581000762
WEIGHT_LANE	CMASS	North	1	1	W2_IMAGING-W0_UNIT	20	0.0026412874704965505	0.00066747957995836682
WEIGHT_LANE	CMASS	North	1	1	W3_OFFICIAL_OBS-W0_UNIT	20	0.012122826915823226	0.0017401953899653668
RANDOM_DENSITY	CMASS	North	1	2	W0_UNIT	5-20	0.0052397621027884256	0.0016676888400558377
RANDOM_DENSITY	CMASS	North	1	2	W0_UNIT	10-20	0.0053219266791979525	0.0010939932086220618
RANDOM_DENSITY	CMASS	North	1	2	W1_SPECTRO	5-20	0.0057993437390088109	0.0016860300341299461
RANDOM_DENSITY	CMASS	North	1	2	W1_SPECTRO	10-20	0.0048621193620280723	0.0010779632240394824
RANDOM_DENSITY	CMASS	North	1	2	W2_IMAGING	5-20	0.0053443491883066185	0.0016688425345806803
RANDOM_DENSITY	CMASS	North	1	2	W2_IMAGING	10-20	0.0052333266462337713	0.0010943747549395483
RANDOM_DENSITY	CMASS	North	1	2	W3_OFFICIAL_OBS	5-20	0.0057582222291290286	0.0016876155787405062
RANDOM_DENSITY	CMASS	North	1	2	W3_OFFICIAL_OBS	10-20	0.0047268134050084676	0.0010784499238021589
WEIGHT_LANE	CMASS	North	1	2	W1_SPECTRO-W0_UNIT	5	0.0063849730860643383	0.001513584165677865
WEIGHT_LANE	CMASS	North	1	2	W2_IMAGING-W0_UNIT	5	0.0018072807305442584	0.00038006728161387902
WEIGHT_LANE	CMASS	North	1	2	W3_OFFICIAL_OBS-W0_UNIT	5	0.0078523938616704703	0.0016853222597324289
WEIGHT_LANE	CMASS	North	1	2	W1_SPECTRO-W0_UNIT	10	0.0059855240805201104	0.0014428714379227596
WEIGHT_LANE	CMASS	North	1	2	W2_IMAGING-W0_UNIT	10	0.0014769074864693366	0.000361452799939704
