selection_key	sample	cap	factor	group	z_lo	z_hi	active_blocks	data_block_cv	data_block_max	data_block_median	data_block_min	diag_max	diag_median	diag_min	eigen_max	eigen_min	lane	nside	positive_condition	random_block_cv	random_block_max	random_block_median	random_block_min	rank	rank_bound	rank_tau	symmetry_max_abs
CMASS_North_f1_g00	CMASS	North	1	0	0.43000000000000005	0.43999999999999995	51	0.60772649319924	318	192.0	1	0.003323877532143825	0.00011445489988358399	3.071900252415152e-05	0.004920627632390102	-3.835266979017262e-19	W0_UNIT	4	8305.69873288632	0.5703637040948821	5026	4406.0	35	50	50	1.3001925941545303e-16	0.0
CMASS_North_f1_g00	CMASS	North	1	0	0.43000000000000005	0.43999999999999995	169	0.5067801172948068	121	50.0	0	0.0034156638357376117	0.00010770895632847779	5.388751118093676e-05	0.005565387864274371	6.958435316885978e-07	W0_UNIT	8	7998.044978256663	0.4064734021310988	1316	1163.0	1	119	119	1.470559575997066e-16	0.0
CMASS_North_f1_g00	CMASS	North	1	0	0.43000000000000005	0.43999999999999995	617	0.5902353081328405	45	12.0	0	0.003637060349615734	9.185302968324457e-05	5.350945492713429e-05	0.006035219023453532	9.254051487174423e-06	W0_UNIT	16	652.1704608860233	0.3001320808768468	356	294.0	1	119	119	1.5947045102015396e-16	0.0
CMASS_North_f1_g00	CMASS	North	1	0	0.43000000000000005	0.43999999999999995	51	0.60772649319924	318	192.0	1	0.004324418473423596	0.00012140959917371157	3.767346620999953e-05	0.006058995702458216	-5.574323511353741e-19	W1_SPECTRO	4	10804.659152482622	0.5703637040948821	5026	4406.0	35	50	50	1.6009870953238085e-16	0.0
CMASS_North_f1_g00	CMASS	North	1	0	0.43000000000000005	0.43999999999999995	169	0.5067801172948068	121	50.0	0	0.003997513743040587	0.00011627743779423744	5.8298743224740476e-05	0.006242646866800044	5.446115102452053e-07	W1_SPECTRO	8	11462.568729018161	0.4064734021310988	1316	1163.0	1	119	119	1.6495138080978694e-16	0.0
CMASS_North_f1_g00	CMASS	North	1	0	0.43000000000000005	0.43999999999999995	617	0.5902353081328405	45	12.0	0	0.004286684796827288	9.749735141773742e-05	5.5163963442116085e-05	0.00667206308457532	1.0132071311608674e-05	W1_SPECTRO	16	658.509289895236	0.3001320808768468	356	294.0	1	119	119	1.762979777862801e-16	0.0
CMASS_North_f1_g00	CMASS	North	1	0	0.43000000000000005	0.43999999999999995	51	0.60772649319924	318	192.0	1	0.00332057254800673	0.00011217927158663629	3.0294055192291714e-05	0.004879999818262112	-4.2862144336635127e-19	W2_IMAGING	4	7688.854203004316	0.5703637040948821	5026	4406.0	35	50	50	1.28945738169948e-16	0.0
CMASS_North_f1_g00	CMASS	North	1	0	0.43000000000000005	0.43999999999999995	169	0.5067801172948068	121	50.0	0	0.003439756563844133	0.00010413748100459498	5.2975952103433495e-05	0.005481739072263254	7.154466964012039e-07	W2_IMAGING	8	7661.981108917214	0.4064734021310988	1316	1163.0	1	119	119	1.4484567980573343e-16	0.0
CMASS_North_f1_g00	CMASS	North	1	0	0.43000000000000005	0.43999999999999995	617	0.5902353081328405	45	12.0	0	0.003622450930830092	9.042721714109695e-05	5.2608072726981984e-05	0.005873534160878144	9.191781999963459e-06	W2_IMAGING	16	638.9984184678764	0.3001320808768468	356	294.0	1	119	119	1.5519820209963767e-16	0.0
CMASS_North_f1_g00	CMASS	North	1	0	0.43000000000000005	0.43999999999999995	51	0.60772649319924	318	192.0	1	0.0042796444122667945	0.00011942280634865867	3.6689330447566805e-05	0.005940549446478838	-5.777027202186976e-19	W3_OFFICIAL_OBS	4	9887.62858774163	0.5703637040948821	5026	4406.0	35	50	50	1.5696896763083983e-16	0.0
