curve_id	kind	bin_start	bin_end	theta_deg	value
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MIN	13	13	3.625	-9.1412391178317059e-05
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MAX	14	14	3.875	0.010222047245602913
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MIN	16	16	4.375	-0.016538151074892735
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MAX	18	18	4.875	0.028109126135216874
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MIN	19	19	5.125	0.0074308029091567206
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MAX	20	20	5.375	0.019698701888972183
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MIN	21	21	5.625	-0.0028271500188450423
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MAX	22	22	5.875	0.0040930348296648487
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MIN	24	24	6.375	-0.01069231377537215
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MAX	26	26	6.875	0.010928949168754589
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MIN	27	27	7.125	-0.00088736640090114399
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MAX	28	28	7.375	0.0064695366113674425
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MIN	32	32	8.375	-0.015555896763405319
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MAX	33	33	8.625	0.002528570546770771
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MIN	34	34	8.875	-0.0077814517543465262
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MAX	35	35	9.125	-0.00048907613331567465
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MIN	36	36	9.375	-0.0075914151785902283
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MAX	37	37	9.625	0.0027656119973165504
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MIN	38	38	9.875	-0.0070358880175360001
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MAX	41	41	10.625	0.014820360373792267
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MIN	42	42	10.875	0.0084142724084342244
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MAX	43	43	11.125	0.008450313878793329
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MIN	44	44	11.375	-0.003572272405723336
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MAX	45	45	11.625	0.0086856802884091866
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MIN	46	46	11.875	0.0043166876796575391
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MAX	47	47	12.125	0.014323252935365328
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MIN	49	49	12.625	0.0050592093695718352
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MAX	50	50	12.875	0.0055460486440838397
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MIN	52	52	13.375	-0.0012063840820670799
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MAX	53	53	13.625	0.0045128968217283908
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MIN	54	54	13.875	-0.0014703180543932614
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MAX	55	55	14.125	0.010929766132433207
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MIN	56	56	14.375	-0.0039123862879742359
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MAX	58	58	14.875	-0.00081577026038918011
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MIN	59	59	15.125	-0.0042642118302877244
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MAX	60	60	15.375	0.0092464040076344883
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MIN	61	61	15.625	-0.0024411933390789888
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MAX	63	63	16.125	0.010939273155192502
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MIN	64	64	16.375	-0.0014326827231384215
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MAX	65	65	16.625	0.0049951783153317792
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MIN	66	66	16.875	0.00010779897902794484
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MAX	68	68	17.375	0.002562042632774526
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MIN	70	70	17.875	-0.0026438035942562585
CMASS_North_f1_g00_W0_UNIT_r5	STRICT_MAX	72	72	18.375	0.0062441712335219481
