artifact	bytes	sha256
R5_PREREGISTRATION.md	7921	fcb8bc31ebdb7e99cbca4da5b458ef6e3dc1720c923641d267e0dbb57130136e
R5_PREMISE_LEDGER.tsv	1649	9b5ff59a80f8cb02a8fd1f0ae30574cf067307882ce700e6b57bc0739b2efb06
R5_FALSIFICATION_CONTRACT.tsv	1188	544c6e05b3e68430b5182b27b301fd08b43b04b814130a8206facc53d482ec9d
run_r5_common_subspace_atlas.py	26782	9f0f10a0e6b2bc9e0f94f73ce671b34364f5c5eec852279042de33608368b919
verify_r5_preregistration.py	3054	b9c7da20080e01c4033a62f397b77b4c87e4018d761411ddb1a1f81716ec634c
R5_FIRST_ASSEMBLY_METHOD_FAILURE.json	699	881559f10c358c05766e8fbe855acde007a19946f2ca467a5bb6896db40801f4
R5_COVARIANCE_SUBSPACE_CORRECTION_PREREGISTRATION.md	2861	0bf0e18505a404f820cde2b82f4d0f8d928b34c6af12a3fd787b4d89d1cbfa5e
verify_r5_subspace_correction_preregistration.py	1696	8070fb4ea727107f79a0b4cc549d17b18e9c1d2f31a6842282c09fb9a525be75
R5_VIEW_SPECTRA.tsv	499029	39e6c2926686152f8d89a2867cf35ae962cac5c5c57beb70fd3b2b27ba22aaf9
R5_RANKED_SUBSPACE_OVERLAPS.tsv	783033	280d317bbbe6b30cc07bf08261a9280797545db6e75b856eff93711546f3328e
R5_COVARIANCE_SUBSPACE_ATLAS.tsv	67557727	bfa938cb1ac771bd80c6cf0f86744976d78976186d091c87f4628d4668f838d0
R5_COVARIANCE_SUBSPACE_SUMMARY.tsv	576691	c0fa3ba4347b45280b232698a7e32af061adb2d88880045eb6c24c99ae8bfbae
R5_RESULT.json	688	fe467d75fd293664b767803aa0054dccd981bb4c665362fce1e5375e35db4466
R5_OUTPUT_MANIFEST.tsv	516	a60e62be5478732f18123c2e5cdaffff34429240427e3119f36ebd0e906bd3ca
R5_VERIFICATION_PREREGISTRATION.md	2901	afc6606c82625298247a79c721134f8cebe94b36a8d339747123bf5bb8ed9154
verify_r5.py	26331	e10337567b9e324719cd051352dd5c993083457b04b275676b1ce82ffd291a34
R5_VERIFIER_FIRST_FAILURE.json	622	5e5b2844e8f5d05719f43c0a22f9d42e7396ec6fe727ddc62bbe35a86779f74c
R5_VERIFIER_CHORD_CORRECTION_PREREGISTRATION.md	1228	6ed7ee8e33c784857c33725e5ec12917a54a1c4c0b8e9442d95b3587982684a0
R5_VERIFIER_SECOND_FAILURE.json	820	d19cbf42ec5f53c344ebd09b682179f9e9c177380a572a5a506ad73f39d99899
R5_VERIFIER_FULLSPACE_TOLERANCE_CORRECTION_PREREGISTRATION.md	1370	d5e71e93060d47d8b8d46bd98978ffb102657bcd28b1a5f92f75dfc33efb4bf2
R5_VERIFICATION_RESULT.json	1030	1c7e8f92dcfc0788b30f3f751be3fb36bc61ccada7b2df0f728644e6b18470ff
catch_proof_r5_verifier.py	5166	c3e4cd11d6f45555388427326174e997eda325fceff3ec70589f4e7799699b7a
R5_VERIFIER_CATCH_PROOF_RESULT.json	915	5a143553c3623475f209b3e06c12d16861bb461f63948ff3b45e4f42ac13e842
R5_COVARIANCE_RANGE_OWNERSHIP_REPAIR_PREREGISTRATION.md	2121	3eb52710c00f9bb17dba0b2cdb55bb84dd6c7866a271950383b546dce0f5c78a
R5_ADVERSARIAL_REVIEW_REQUEST.md	1725	bd4e4bd84c1d3c434ceded87325f204378ab06f048b0337805869bf327c65e35
R5_EXTERNAL_ADVERSARIAL_REVIEW.md	2550	77352d4c43d4bbb7cb09e14d98d98dbe6b3468bfec91000be01adfcdff59ce51
R5_EXTERNAL_REVIEW_REPAIR_RESULT.json	848	6969949779c24086d5f9311f1e6964e2b16756887a23f598b6e86127615ebf19
R5_FOLLOWUP_ADVERSARIAL_REVIEW_REQUEST.md	1570	c79888e0370380148de5eaf8f1bb4e6eec62be65e2419f63412b367467f1fd96
R5_EXTERNAL_FOLLOWUP_REVIEW.md	1579	543cbc927ef674f519bc3a24d593895ef1ba81f633fd596d37be0e981d75ce2a
R5_OUTCOME_REPORT.md	7354	9c5fd9e39b81ca547474c491ba6df5f6920dcfb80fc1f11599b2ce7a6fb02500
R5_FINAL_STATUS.json	881	2f068ad4043138e832099f8ac7a4d31334246643656f1adb094c9df50d5d192b
STATUS_LEDGER.tsv	3567	0560e500b3b0ae740c5deb857f0a2184e2c006c03ffe10fcfda59f8745f738f9
finalize_r5_package.py	2652	233b1037ea740be1d17d650fd557922d952ebc19f7d9345023964581ee33a718
verify_r5_final_package.py	4169	8cdab141b1f6f28250f141eac6ec45a58063f2e4e059292241d4ebcb363392a0
