surface	grouping	group_key	metric	count	min	q25	median	q75	q90	q95	max
RELATION	relation_type	ADJACENT_SHELL	raw_rms_difference	2184	0.0018739153249618514	0.0093171824721567584	0.01375278660769432	0.022354814485133826	0.03606535149013855	0.044809774551902569	0.084330989880271282
RELATION	relation_type	ADJACENT_SHELL	raw_max_abs_difference	2184	0.0059035752349440923	0.034258803467098808	0.06430239040849417	0.11031727776593238	0.18739474673282785	0.24508541852953558	0.42548526998598968
RELATION	relation_type	ADJACENT_SHELL	raw_relative_l2	2184	0.041239228679630001	0.087974586245930159	0.11529720007938025	0.14361874445433168	0.18534601006853713	0.21459310188519329	0.32013062101968354
RELATION	relation_type	ADJACENT_SHELL	centered_rms_difference	2184	0.0018573355367717001	0.0088223293712048519	0.013366950290472007	0.022015249518688013	0.03584882776458985	0.043456491976966612	0.083199290075926621
RELATION	relation_type	ADJACENT_SHELL	centered_relative_l2	2184	0.041992347669296208	0.086810558858396822	0.1135275215728381	0.14221764959272265	0.18422654300853369	0.21578520391973369	0.32462860110998742
RELATION	relation_type	ADJACENT_SHELL	centered_cosine	2184	0.93296317126339889	0.98559939489260118	0.99126306624016547	0.99473432321808719	0.99653716990391006	0.99697582810891494	0.99840694566040589
RELATION	relation_type	ADJACENT_SHELL	difference_rms_difference	2184	0.001111021988721973	0.0058533923352047674	0.0099208344245334309	0.01608550368983375	0.023377420224368641	0.028874945090267876	0.039938251702862068
RELATION	relation_type	ADJACENT_SHELL	difference_relative_l2	2184	0.066601132101473282	0.1515097495516966	0.1912173575108996	0.25255277299555817	0.30948020003696047	0.36881694181764735	0.56124277180050031
RELATION	relation_type	ADJACENT_SHELL	difference_cosine	2184	0.78936375385464541	0.94722805286149769	0.96810209335906172	0.98072890517164568	0.9908931873550415	0.99325350025395709	0.995640305234615
RELATION	relation_type	CAP	raw_rms_difference	1164	0.0030292394608461785	0.0095247432631163399	0.013941187239825556	0.024765147478439772	0.034677721530305315	0.036579800343297601	0.056032642848378444
RELATION	relation_type	CAP	raw_max_abs_difference	1164	0.0091721219757915778	0.033750340672363127	0.054746905828115117	0.097720395503827648	0.15299528595960854	0.18103875413243131	0.26613318915976858
