item	status	scope
raw_input_identity	OBSERVED_HASH_PINNED	Eight declared BOSS DR12 files only
observer_coordinates	OBSERVED	Catalog RA DEC Z fields
sample_and_grid_design	CHOSE	Frozen R0 LOWZ CMASS caps shells and angular bins
weight_ensemble	CHOSE_FREE_AND_EXPLORED	W0 W1 W2 W3 all retained
angular_estimator	CHOSE_BORROWED_NUMERICAL_METHOD	Landy-Szalay only; no cosmological mechanism
r1_implementation	VERIFIED_WITH_CAVEATS	Complete 110-cell random-only run; estimator algebra independently replayed and 12 compact real-catalog pair anchors exact
r1_random_null_controls	OBSERVED_PASS	220 random-only curves and 330 registered guards pass; proxy is numerical not physical covariance
r2_central_pattern_atlas	VERIFIED_WITH_CAVEATS	All 194 selections and 2328 curves assembled; full replay plus 9 TreeCorr and 12 direct anchors pass after disclosed verifier-ownership repair
r2_primary_engine	CHOSE_BORROWED_NUMERICAL_METHOD	Corrfunc 2.5.3 exact angular counts; TreeCorr 5.1.3 and brute force are independent anchors
primary_covariance	OBSERVED_VERIFIED_WITH_CAVEATS_RESOLUTION_DEPENDENT	R3 supplies the complete frozen data-only delete-one-spatial-block covariance atlas; rank and scale vary by NSIDE, no preferred grid or inverse is selected, and it is not claimed as an exact sampling distribution
central_pattern	OBSERVED_VERIFIED_WITH_CAVEATS	Complete bounded raw observer-coordinate atlas; no feature significance or physical origin
feature_descriptor	OBSERVED_VERIFIED_WITH_CAVEATS	Complete outcome-blind extrema DCT and lag vocabulary; no individual feature selected
r3_block_geometry	VERIFIED_RANDOM_ONLY	2351 occupied nested HEALPix records across NSIDE 4 8 16; independently replayed without galaxy or R2 curve input
r3_covariance_atlas	OBSERVED_VERIFIED_WITH_CAVEATS_COVARIANCE_RESOLUTION_OR_RANK_LIMITED	All 194 cells and 2328 covariances completed; all central/support/covariance/rank identities and eight independent deletion anchors pass after two disclosed verifier-ownership repairs; NSIDE 4 is wholly rank-limited, NSIDE 8 is half full-rank, and NSIDE 16 is wholly full-rank; no preferred grid or feature is selected
r4_empirical_relation_atlas	OBSERVED_VERIFIED_WITH_CAVEATS_BROAD_SHAPE_PERSISTENCE_WITHOUT_FEATURE_SELECTION	All 9286 typed relations and 4.38 million full-lag entries verify; broad complete-curve shape persists across every registered relation class while amplitude and fine structure vary; no individual feature or physical origin is selected
r4_cap_covariance_readout	OBSERVED_VERIFIED_WITH_CAVEATS_FULL_COVARIANCE_METRIC_GRID_DEPENDENT	All 1164 all-grid cap records verify; diagonal covariance scale is comparatively consistent but full range-quadratic readouts and conditioning vary strongly by NSIDE; no inverse-covariance significance or preferred grid
udt_comparison	OPEN	Outside R0 through R4
physical_origin	OPEN	No acoustic or UDT origin assigned
xmax	OPEN	No value or estimate
download_budget	OBSERVED_WITHIN_CEILING	Approximately 14.4 MB new temporary reconnaissance; hard ceiling below 2 TB
