sample	cap	shell_id	z_lo	z_hi	data_count	random_count	r1_status	W0_UNIT_sumw	W0_UNIT_sumw2	W1_SPECTRO_sumw	W1_SPECTRO_sumw2	W2_IMAGING_sumw	W2_IMAGING_sumw2	W3_OFFICIAL_OBS_sumw	W3_OFFICIAL_OBS_sumw2
CMASS	North	28	0.43	0.44	8228	417615	SAMPLED	8228	8228	8588.6161187887192	9339.3186063781286	8208.7868137955666	8199.2156720439416	8568.9400498184696	9309.1383694595297
CMASS	North	29	0.44	0.45	13540	697339	SAMPLED	13540	13540	14267.858203411102	15868.239823554282	13507.867079973221	13489.504069529679	14234.655524390464	15817.993273870194
CMASS	North	30	0.45	0.46	18166	934534	SAMPLED	18166	18166	19197.961205840111	21489.389261657194	18119.881109535694	18091.538762096425	19148.717225390235	21409.099275447661
CMASS	North	31	0.46	0.47	22551	1162620	SAMPLED	22551	22551	23903.979882121086	26821.530979118845	22483.808149933815	22440.498986008759	23833.601463196101	26695.551335545108
CMASS	North	32	0.47	0.48	27319	1418654	SAMPLED	27319	27319	29174.103793144226	33296.044002842871	27217.388418197632	27147.467576336167	29063.433886226492	33069.205122619533
CMASS	North	33	0.48	0.49	29251	1524778	SAMPLED	29251	29251	31321.948853969574	36131.119604970729	29128.269659698009	29041.693403110752	31192.501958258956	35880.823135800383
CMASS	North	34	0.49	0.50	31763	1659866	SAMPLED	31763	31763	34195.870122671127	39656.650716992866	31614.34371560812	31507.537335685935	34040.968982963474	39378.052847813713
CMASS	North	35	0.50	0.51	33107	1730055	SAMPLED	33107	33107	35601.195345282555	41323.817130399511	32950.220307230949	32839.485343401444	35433.496653371541	40994.488202220666
CMASS	North	36	0.51	0.52	32887	1722047	SAMPLED	32887	32887	35410.02526986599	41126.357500238984	32742.837905228138	32649.418099732429	35261.401901067184	40882.475106466103
CMASS	North	37	0.52	0.53	32794	1715143	SAMPLED	32794	32794	35349.008163690567	41278.623449538856	32613.718229949474	32487.982096439217	35150.458028820256	40854.09941178804
CMASS	North	38	0.53	0.54	31995	1667248	SAMPLED	31995	31995	34374.640091657639	39842.462955735427	31788.951903760433	31639.231751973439	34155.483694226867	39415.002035202662
CMASS	North	39	0.54	0.55	31355	1637455	SAMPLED	31355	31355	33795.112320780754	39447.034733792229	31148.300636291504	31001.688511730368	33573.033344593743	39014.956912803333
CMASS	North	40	0.55	0.56	29486	1539656	SAMPLED	29486	29486	31730.68548810482	37090.864724271371	29318.751359224319	29210.622059086345	31557.947344392975	36850.0534780214
CMASS	North	41	0.56	0.57	28995	1518567	SAMPLED	28995	28995	31269.640545248985	36799.990008748791	28818.492892384529	28705.355652802529	31080.134130539489	36450.51504553375
CMASS	North	42	0.57	0.58	25289	1323908	SAMPLED	25289	25289	27271.002997517586	32039.007373789758	25138.664538741112	25045.593966698383	27111.243918769585	31769.31608911906
CMASS	North	43	0.58	0.59	23997	1247641	SAMPLED	23997	23997	25798.712569713593	30315.711809630098	23814.581520617008	23688.188653400579	25600.899428724413	29898.041298709813
CMASS	North	44	0.59	0.60	22568	1176033	SAMPLED	22568	22568	24283.060816764832	28964.652851210638	22369.761346817017	22225.417326274288	24069.027786102255	28560.763665230192
CMASS	North	45	0.60	0.61	20595	1064744	SAMPLED	20595	20595	22046.406206488609	25752.963580883312	20407.205848157406	20271.707360181197	21844.588602900076	25339.624434383033
CMASS	North	46	0.61	0.62	18799	978170	SAMPLED	18799	18799	20176.959414362907	24020.01283203534	18663.555711150169	18582.010141984931	20036.602341246999	23810.55002689235
CMASS	North	47	0.62	0.63	16357	845441	SAMPLED	16357	16357	17463.694096326828	20463.837663334616	16240.153296649456	16168.238488048119	17346.385774044378	20348.119296893034
CMASS	North	48	0.63	0.64	14810	764469	SAMPLED	14810	14810	15781.727199673653	18367.765024662855	14698.894710898399	14627.819664032919	15663.40040642573	18139.529933396261
CMASS	North	49	0.64	0.65	12899	670511	SAMPLED	12899	12899	13862.574144601822	16497.151848242138	12785.762185394764	12708.074474888985	13737.663198873051	16214.86572347049
