phase	sample	cap	factor	group	wall_seconds	max_rss_gib	threads
components	CMASS	North	1	0	12.898058	1.634430	8
components	CMASS	North	1	1	34.747480	1.634430	8
components	CMASS	North	1	2	62.142031	1.634430	8
components	CMASS	North	1	3	96.571464	1.634430	8
components	CMASS	North	1	4	143.136447	1.634430	8
components	CMASS	North	1	5	162.375231	1.634430	8
components	CMASS	North	1	6	191.906876	1.634430	8
components	CMASS	North	1	7	206.600727	1.634430	8
components	CMASS	North	1	8	203.932564	1.634430	8
components	CMASS	North	1	9	200.987098	1.634430	8
components	CMASS	North	1	10	191.509447	1.634430	8
components	CMASS	North	1	11	182.961755	1.634430	8
components	CMASS	North	1	12	161.057929	1.634430	8
components	CMASS	North	1	13	156.962530	1.634430	8
components	CMASS	North	1	14	119.058513	1.634430	8
components	CMASS	North	1	15	108.650904	1.634430	8
components	CMASS	North	1	16	95.692084	1.634430	8
components	CMASS	North	1	17	80.891334	1.634430	8
components	CMASS	North	1	18	67.112757	1.634430	8
components	CMASS	North	1	19	50.448604	1.634430	8
components	CMASS	North	1	20	41.381366	1.634430	8
components	CMASS	North	1	21	31.342222	1.634430	8
components	CMASS	North	1	22	23.381125	1.634430	8
components	CMASS	North	1	23	17.881019	1.634430	8
components	CMASS	North	1	24	12.970644	1.634430	8
components	CMASS	North	1	25	9.229022	1.634430	8
components	CMASS	North	1	26	6.827515	1.634430	8
components	CMASS	North	2	0	88.101316	1.634430	8
components	CMASS	North	2	1	310.858047	1.634430	8
components	CMASS	North	2	2	596.878526	1.634430	8
components	CMASS	North	2	3	787.239162	1.634430	8
components	CMASS	North	2	4	806.162437	1.634430	8
components	CMASS	North	2	5	743.071046	1.634430	8
components	CMASS	North	2	6	630.042722	1.634430	8
components	CMASS	North	2	7	454.134848	1.634430	8
components	CMASS	North	2	8	347.624771	1.634430	8
components	CMASS	North	2	9	232.448741	1.634430	8
components	CMASS	North	2	10	143.555436	1.634430	8
components	CMASS	North	2	11	81.356812	1.634430	8
components	CMASS	North	2	12	44.277734	1.634430	8
components	CMASS	North	2	13	6.820447	1.634430	8
components	CMASS	North	4	0	723.383104	1.634430	8
components	CMASS	North	4	1	2724.700910	1.634430	8
components	CMASS	North	4	2	3071.135084	1.634430	8
components	CMASS	North	4	3	2145.486537	1.634430	8
components	CMASS	North	4	4	1136.745337	1.634430	8
components	CMASS	North	4	5	437.845120	1.634430	8
components	CMASS	North	4	6	83.754054	1.634430	8
components	CMASS	South	1	0	4.929742	1.634430	8
components	CMASS	South	1	1	11.095008	1.634430	8
components	CMASS	South	1	2	22.138253	1.634430	8
components	CMASS	South	1	3	31.131368	1.634430	8
components	CMASS	South	1	4	38.274175	1.634430	8
components	CMASS	South	1	5	51.781500	1.634430	8
components	CMASS	South	1	6	55.660183	1.634430	8
components	CMASS	South	1	7	54.312235	1.634430	8
components	CMASS	South	1	8	50.580480	1.634430	8
components	CMASS	South	1	9	53.043149	1.634430	8
components	CMASS	South	1	10	47.995847	1.634430	8
components	CMASS	South	1	11	46.874449	1.634430	8
components	CMASS	South	1	12	51.811428	1.634430	8
components	CMASS	South	1	13	43.342914	1.634430	8
components	CMASS	South	1	14	41.599125	1.634430	8
components	CMASS	South	1	15	31.720462	1.634430	8
components	CMASS	South	1	16	31.098113	1.634430	8
components	CMASS	South	1	17	23.554458	1.634430	8
components	CMASS	South	1	18	20.669939	1.634430	8
components	CMASS	South	1	19	16.337173	1.634430	8
components	CMASS	South	1	20	11.659565	1.634430	8
components	CMASS	South	1	21	8.728601	1.634430	8
components	CMASS	South	1	22	6.942172	1.634430	8
components	CMASS	South	1	23	5.526101	1.634430	8
components	CMASS	South	1	24	3.884096	1.634430	8
components	CMASS	South	1	25	2.891743	1.634430	8
components	CMASS	South	1	26	2.055426	1.634430	8
components	CMASS	South	2	0	30.260446	1.634430	8
components	CMASS	South	2	1	104.835425	1.634430	8
components	CMASS	South	2	2	177.663983	1.634430	8
components	CMASS	South	2	3	218.519650	1.634430	8
components	CMASS	South	2	4	205.593644	1.634430	8
components	CMASS	South	2	5	187.307634	1.634430	8
components	CMASS	South	2	6	188.292266	1.634430	8
components	CMASS	South	2	7	144.762639	1.634430	8
components	CMASS	South	2	8	107.548335	1.634430	8
components	CMASS	South	2	9	72.831097	1.634430	8
components	CMASS	South	2	10	39.791158	1.634430	8
components	CMASS	South	2	11	24.362760	1.634430	8
components	CMASS	South	2	12	13.249595	1.634430	8
components	CMASS	South	2	13	1.991539	1.634430	8
components	CMASS	South	4	0	247.710801	1.634430	8
components	CMASS	South	4	1	785.896146	1.634430	8
components	CMASS	South	4	2	781.279169	1.634430	8
components	CMASS	South	4	3	660.586862	1.634430	8
components	CMASS	South	4	4	357.946303	1.634430	8
components	CMASS	South	4	5	127.026494	1.634430	8
components	CMASS	South	4	6	25.072899	1.634430	8
components	LOWZ	North	1	0	5.442766	1.634430	8
components	LOWZ	North	1	1	6.440756	1.634430	8
components	LOWZ	North	1	2	7.012093	1.634430	8
components	LOWZ	North	1	3	7.110676	1.634430	8
components	LOWZ	North	1	4	7.889950	1.634430	8
components	LOWZ	North	1	5	7.847331	1.634430	8
components	LOWZ	North	1	6	8.017836	1.634430	8
components	LOWZ	North	1	7	11.644961	1.634430	8
