artifact	bytes	sha256
R3_BLOCK_ATLAS.tsv	269273	28c32fa61ddde4fad13893c1e488dca4638d7bbc5470f5bf47b993732ca170ff
R3_BLOCK_RESULT.json	3811	9d127e4a2404fecd766b4cd758c3e862d9deb4f61271236ac120da5130c2f678
R3_COVARIANCE_SUMMARY.tsv	686259	f484aa263171a3d54ae66ca0354b2405cea87c25fccdf1ecbb3648a144302e0d
R3_CENTRAL_ENGINE_COMPARISON.tsv	146740	a2beb442b432128437a19a8b3833e85c766c8c859161a8d194d8bda50bde0247
R3_RESOURCE_OBSERVED.tsv	13141	3dd74f5bfce65a4d7546f06debb5208cf5cdeb1f74dc936b88e441ef715edec3
R3_RESULT.json	381	c59652f18fc9877bc0acdd3ab08fcb9d036e441ec1fb70b155ff119028e3ab49
R3_RUN.log	21973	0fa238023bca1ce4b9cd8e59350632a7581cb1346d064a67d3a27bc8a31f4242
R3_COVARIANCE_CELLS/CMASS_North_f1_g00.npz	1786506	1c74fc7625bb992eb7f523b0fc2a4957a95acee500fb2fa2eee31c1072a984a0
R3_COVARIANCE_CELLS/CMASS_North_f1_g01.npz	1176577	ccc28a3fcdde61ee68d60d58d4cbbea595523c5cf1241aeb5dc71b0fd0cb5000
R3_COVARIANCE_CELLS/CMASS_North_f1_g02.npz	1177441	598a3e20063d1435b7917b5a69e8abc2c93bdc2c7233c84ed6fe84bf90dc238c
R3_COVARIANCE_CELLS/CMASS_North_f1_g03.npz	1181806	12a6443df3dfc51edfa2dcff952e190b1aa3504cfc7374ab38d91c0093846e35
R3_COVARIANCE_CELLS/CMASS_North_f1_g04.npz	1181210	dee0f01de199b7ccc26d586a1d35c30a35fc2b3675306eb2d0749393d296c5ce
R3_COVARIANCE_CELLS/CMASS_North_f1_g05.npz	1181514	8ca748270502925b5b16837370fe616e3703c5ffd4764f946867da9d95072c9a
R3_COVARIANCE_CELLS/CMASS_North_f1_g06.npz	1181093	c378af9bebb7d55bacfb5ef84845f76b4f82be013edbb2d0ea36f8832a25344a
R3_COVARIANCE_CELLS/CMASS_North_f1_g07.npz	1180764	97b5170ebca6440d937975e62b03d360a48bcf21d3f32e2cf220e13fa66cd516
R3_COVARIANCE_CELLS/CMASS_North_f1_g08.npz	1181055	d6a28aa2ef6241fa74fbc9726b545a0c590600e42c0b593279bf96f0702942ed
