sample	cap	phase	wall_seconds	max_rss_gib
CMASS	North	data_ingest	0.908369	0.178085
CMASS	South	data_ingest	0.332356	0.178085
LOWZ	North	data_ingest	0.460333	0.178085
LOWZ	South	data_ingest	0.201151	0.178085
CMASS	North	random_null_shell_28	22.241161	1.627399
CMASS	North	random_null_shell_29	54.658988	1.627399
CMASS	North	random_null_shell_30	92.117990	1.627399
CMASS	North	random_null_shell_31	133.843849	1.627399
CMASS	North	random_null_shell_32	196.090283	1.627399
CMASS	North	random_null_shell_33	222.584405	1.627399
CMASS	North	random_null_shell_34	256.558316	1.627399
CMASS	North	random_null_shell_35	274.629294	1.627399
CMASS	North	random_null_shell_36	270.747082	1.627399
CMASS	North	random_null_shell_37	269.689551	1.627399
CMASS	North	random_null_shell_38	258.331893	1.627399
CMASS	North	random_null_shell_39	249.169856	1.627399
CMASS	North	random_null_shell_40	224.511275	1.627399
CMASS	North	random_null_shell_41	218.438037	1.627399
CMASS	North	random_null_shell_42	163.082621	1.627399
CMASS	North	random_null_shell_43	149.042197	1.627399
CMASS	North	random_null_shell_44	134.386141	1.627399
CMASS	North	random_null_shell_45	114.497161	1.627399
CMASS	North	random_null_shell_46	97.713981	1.627399
CMASS	North	random_null_shell_47	76.536436	1.627399
CMASS	North	random_null_shell_48	64.714453	1.627399
CMASS	North	random_null_shell_49	48.618006	1.627399
CMASS	North	random_null_shell_50	37.179842	1.627399
CMASS	North	random_null_shell_51	29.614984	1.627399
CMASS	North	random_null_shell_52	22.317962	1.627399
CMASS	North	random_null_shell_53	16.694707	1.627399
CMASS	North	random_null_shell_54	12.146191	1.627399
CMASS	North	random_file_total	3726.825874	1.627399
CMASS	South	random_null_shell_28	5.913033	1.627399
CMASS	South	random_null_shell_29	12.065963	1.627399
CMASS	South	random_null_shell_30	22.731307	1.627399
CMASS	South	random_null_shell_31	30.666673	1.627399
CMASS	South	random_null_shell_32	36.977574	1.627399
CMASS	South	random_null_shell_33	47.294527	1.627399
CMASS	South	random_null_shell_34	50.938740	1.627399
CMASS	South	random_null_shell_35	50.454844	1.627399
CMASS	South	random_null_shell_36	47.530737	1.627399
CMASS	South	random_null_shell_37	49.579238	1.627399
CMASS	South	random_null_shell_38	44.519250	1.627399
CMASS	South	random_null_shell_39	44.069651	1.627399
CMASS	South	random_null_shell_40	48.279002	1.627399
CMASS	South	random_null_shell_41	41.395024	1.627399
CMASS	South	random_null_shell_42	39.823422	1.627399
CMASS	South	random_null_shell_43	31.719809	1.627399
CMASS	South	random_null_shell_44	31.125122	1.627399
CMASS	South	random_null_shell_45	24.553409	1.627399
CMASS	South	random_null_shell_46	21.655756	1.627399
CMASS	South	random_null_shell_47	17.336479	1.627399
CMASS	South	random_null_shell_48	12.668678	1.627399
CMASS	South	random_null_shell_49	9.891953	1.627399
CMASS	South	random_null_shell_50	7.967687	1.627399
CMASS	South	random_null_shell_51	6.622015	1.627399
CMASS	South	random_null_shell_52	4.709008	1.627399
CMASS	South	random_null_shell_53	3.602448	1.627399
CMASS	South	random_null_shell_54	2.560273	1.627399
CMASS	South	random_file_total	752.691807	1.627399
LOWZ	North	random_null_shell_00	9.584988	1.627399
LOWZ	North	random_null_shell_01	11.315094	1.627399
LOWZ	North	random_null_shell_02	11.818785	1.627399
LOWZ	North	random_null_shell_03	12.118608	1.627399
LOWZ	North	random_null_shell_04	13.322200	1.627399
LOWZ	North	random_null_shell_05	13.347458	1.627399
