sample	cap	nside	block_order	nested_pixel	full_random_rows	full_random_fraction	source_sha256
CMASS	North	4	0	16	843564	0.028509525903459502	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	1	17	861104	0.029102316829040346	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	2	18	835443	0.028235064380845932	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	3	19	846616	0.02861267287637129	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	4	20	883046	0.02984388002682227	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	5	21	880925	0.029772197612161096	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	6	22	849400	0.028706762382461202	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	7	23	875256	0.02958060515166407	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	8	24	395512	0.013366928424078167	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	9	25	832915	0.028149626783361987	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	10	26	17981	0.000607695190015346	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	11	27	46641	0.0015763033956679691	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	12	28	800869	0.027066583567788228	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	13	29	407165	0.013760759248239716	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	14	30	6347	0.00021450649969564545	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	15	32	870438	0.029417773527978294	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	16	33	878109	0.029677026617495435	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	17	34	870055	0.029404829461587335	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	18	35	848534	0.028677494597880073	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	19	36	856354	0.02894178336857803	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	20	37	391194	0.013220995059388424	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	21	38	837297	0.028297723125203223	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	22	39	299484	0.010121516394336014	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	23	40	868333	0.029346631857604995	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	24	41	846387	0.028604933473751107	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	25	42	865051	0.029235711685555034	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	26	43	874294	0.029548092901355703	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	27	44	806286	0.027249659305751253	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	28	45	104499	0.003531702333652947	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	29	46	488655	0.01651483749941321	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	30	85	328032	0.011086339389973526	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	31	87	121876	0.004118984426801085	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	32	99	26309	0.000889152591853275	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	33	100	60575	0.0020472240773694223	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	34	101	683853	0.023111850218428584	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	35	102	637609	0.021548964040403466	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	36	103	873370	0.029516864918731033	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	37	104	45900	0.0015512601758358479	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	38	105	560772	0.01895214098744706	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	39	106	608258	0.020557002440818328	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	40	107	847033	0.02862676602437398	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	41	108	856827	0.02895776912158828	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	42	109	872536	0.02948867862272565	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	43	110	861458	0.02911428079640954	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	44	111	863792	0.02919316186940302	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	45	122	386925	0.013076717724080292	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	46	123	435971	0.014734301745519181	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	47	126	319572	0.010800420847760644	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	48	127	57088	0.0019293756191310868	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	49	159	14220	0.00048058648584718423	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	4	50	175	39117	0.0013220183942956616	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	8	0	64	210710	0.007121264306108312	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	8	1	65	217119	0.007337866189919465	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	8	2	66	206882	0.006991891235234682	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	8	3	67	208853	0.007058504172197044	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	8	4	68	219652	0.00742347276999337	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	8	5	69	217152	0.007338981475013204	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	8	6	70	220594	0.007455309089941896	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	8	7	71	203706	0.006884553494091878	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	8	8	72	214961	0.007264933304092586	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	8	9	73	194978	0.006589577485057123	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	8	10	74	208670	0.007052319409404496	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	8	11	75	216834	0.007328234182291726	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	8	12	76	215095	0.007269462037503523	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	8	13	77	220365	0.007447569687321713	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	8	14	78	209702	0.007087197415972309	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	8	15	79	201454	0.006808443735573745	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	8	16	80	218417	0.0073817340702731675	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	8	17	81	221058	0.007470990674290215	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
CMASS	North	8	18	82	221300	0.007479169431644295	dc8a37e1310d47c6ba696744ad30cf2fae506a42d2ec50040bb2f775ab06d8b6
