artifact	bytes	sha256
R4_PREREGISTRATION.md	7805	cff794abd0d4a77d79b24a277a0c5cd2776223d91199b81b5e838cb952925276
R4_PREMISE_LEDGER.tsv	1389	7c85655c3bc1a8bc769334a06fd9d965c1ccc1694e98b47c9a3883750c5b353f
R4_FALSIFICATION_CONTRACT.tsv	940	e02781a7495a72b7d2cd963d8dcb2c2819807005b8236a11e3b1a70c410c1cd2
run_r4_empirical_relation_atlas.py	22000	67189cc2578acc013c59a784eedd5cba7663a21156d5eaa02ed16615cedeb955
verify_r4_preregistration.py	3391	39349bd85f9aea7e41ff42fd6df1ac5d3ea78502c3bad0a4e03e5883753dba95
R4_RELATION_ATLAS.tsv	4443432	1badac0c2eeedb2932a8d53f6116d4bfa247774c76f5750ad652da9f35696184
R4_CROSS_LAG_ATLAS.npz	25239128	bd9ee5f97292db11bf215b415856ca6dc8f3da95f76dde75d78829682671983e
R4_CAP_COVARIANCE_ATLAS.tsv	369697	22cd3100e456968ce5f89269c0b2bcce6194f77979b27063e0de5dad6e733c44
R4_SUMMARY.tsv	201674	452ece2978771a2c2970d979f64ae1335b8f30dda910f3183dd4a3c33d5eecb5
R4_RESULT.json	836	0c3cbaf8579fc8587cd59a9964e3e87e2bd2fa8a4a09231ffd7c2b22f3e8dd8f
R4_OUTPUT_MANIFEST.tsv	485	33e79a8b9f3fdd22cde99ed507b0a71b06309bb22190feef88b19bf433ae8092
verify_r4.py	19779	58d6bb7933a3469cb4dddf44d8f8850de0f21e09906ea2cd855226e1f1f1f298
catch_proof_r4_verifier.py	4912	a119aa6c83c80138a98a8ba9a028a10574c885f3518274a20dbb53ed79884f8c
R4_VERIFICATION_RESULT.json	1077	1028f4f80578995c20e5f020db4fbfafc9b73e64589e2fd055f0f3763469b05b
R4_VERIFIER_CATCH_PROOF_RESULT.json	524	53421dd9d9e08e89e1b695576b64b35e890598545ee54f20b63062951d99e682
R4_VERIFIER_FIRST_FAILURE.json	612	f3bcb66fbe64d4a898f4bd5b7be7acdef6efb8198b90c9413da9a726b84f5392
R4_VERIFIER_METHOD_CORRECTION_PREREGISTRATION.md	2649	18d56bf7f2527806aa377646b464348eadc7710fef386f19e6c7b0b98236aa68
R4_VERIFIER_SECOND_FAILURE.json	619	3bf58a7ad30a2cfc3051cd0bf81c6afb57561a38f477fa980a8b1f1573fa6472
R4_VERIFIER_RANGE_PROJECTOR_CORRECTION_PREREGISTRATION.md	2029	568f0bbf3d696971a2550c10d4d98c021f3e45b029c1c1d02ce3f8ae4388eaed
R4_VERIFIER_THIRD_FAILURE.json	609	0d8037e0fea251aa37fbbacdc0cefc8579eaf01c71c895d452e34f24f161c7f2
R4_VERIFIER_EIGENCONDITION_CORRECTION_PREREGISTRATION.md	1546	ad9f4a47bd7f91adcafefa348fc827f7eca5d5eeed5f2415cdb250d90d081f8e
R4_ADVERSARIAL_REVIEW_REQUEST.md	1971	c111a41fdef2f4d74aa493867c35cadf68f15842e37b37452e94ee929875d3b6
R4_EXTERNAL_ADVERSARIAL_REVIEW.md	2055	15452dbf429e0c48ac03529d9000fee36c4bb90886c913fdd168269091b3e86c
R4_OUTCOME_REPORT.md	6978	7ad31252e8b7cb2686bde9d5414d7cb9364e12fea5438ba498d7a03ad1ca0e78
R4_FINAL_STATUS.json	517	4365ece4310ce0e0684f3b89e15863a096ff9a89b49c9bd066986053500a27f4
STATUS_LEDGER.tsv	3042	05bbe3c9568cbfd87489742ec5363f39eee618d6585f19d78c62b2ff12e47ca7
finalize_r4_package.py	2251	a533dfd6bc60044b3ef5692dddd816ba6ea6ca1e84d390460b9a28adef0876a3
verify_r4_final_package.py	1913	98b8f5e293b40551a192de16a4ea4bef290b0f1da5376add862691b358bb680c
