premise_id	item	status	ownership	role	forbidden_promotion
R4P01	R2 parent curves	OBSERVED	pinned-by-THEORY:R2 contracts	complete central inputs	physical correlation law
R4P02	R3 delete-one covariances	OBSERVED	pinned-by-THEORY:R3 contracts	data-only scale estimates	exact sampling distribution
R4P03	NSIDE 4/8/16	CHOSE	frozen R3 design	all retained covariance resolutions	preferred grid
R4P04	five typed relation classes	CHOSE	exact registered control/adjacency/containment axes	complete bounded relation space	physical relation family
R4P05	Euclidean norms and centering	CONDITIONAL	category-A numerical descriptor	shape comparison	feature detector
R4P06	first angular difference	CONDITIONAL	category-A numerical descriptor	bin-to-bin shape comparison	physical derivative
R4P07	full normalized linear cross-correlation	CONDITIONAL	category-A numerical descriptor	all-lag displacement map	preferred lag or period
R4P08	zero cross-cap covariance	CHOSE	disjoint-cap descriptive approximation	C_N+C_S scale	independence theorem or significance
R4P09	R3 numerical eigenthreshold	CHOSE	frozen R3 rule	range/null bookkeeping	physical mode cutoff
R4P10	cosmological distance/acoustic ruler	OPEN	not used	none	BAO interpretation
R4P11	UDT observer-pair response	OPEN	not used	none	UDT fit or validation
R4P12	X_max	WORKING_FOUNDATIONAL_FRAME	not used	none	numerical or observational determination
