object	status	role	guard
G119_d_A_equals_R	DERIVED	metric screen law on declared central spherical radial point-observer class	do not extend to displaced nonspherical extended or aggregated queries
G94_Z3_factorization	DERIVED_CONDITIONAL	geometry clock and reverse-screen factorization on one supplied regular branch	does not derive transfer or source
eta_equals_one	IMPORTED_CONDITIONAL	conserved carried amount in temporary radiative bridge	not native UDT current theory
epsilon_equals_one_over_Z	IMPORTED_CONDITIONAL	frequency-scaled carried energy in temporary radiative bridge	not metric identity
transfer_product	IMPORTED_CONDITIONAL	T equals eta epsilon equals one over Z	T equals one is a different theory
source_standardization	IMPORTED_CONDITIONAL	maps released standardized magnitudes to one profiled source scale	does not derive source population
processed_frequency_slot	OBSERVED_CONDITIONAL	Z equals one plus zCMB or zHD for declared catalog query	not raw universal one-ray ratio or terminal depth
P1_family	OBSERVED_CONDITIONAL_FROZEN	registered Pantheon calibration family	not metric-selected complete history
n	OBSERVED_FROZEN	P1 shape 1.0559332414320268	no refit
X_eff	OBSERVED_CONDITIONAL	absolute scale conditional on source calibration	not a native Xmax scale
additive_offsets	CHOSE_NUISANCE	one analytically profiled magnitude offset per likelihood	no shape freedom
R_P1_of_Z	DERIVED_CONDITIONALLY	follows from frozen dL G119 screen and imported transfer on outgoing Z at least one branch	one history component only; do not extend into zero less than Z less than one
formal_R_limit	DERIVED_FAMILY_PROPERTY	n X_eff limit of extrapolated P1 form	not measured and not Xmax
complete_metric_history	OPEN	orbit metric affine map terminal depth and global branch family unowned	SNe radius curve must not be promoted
copresent_global_selector	OPEN_NEXT_GATE	possible reciprocal compositional causal history condition	not used to obtain G120
