source_id	path	source_ref	git_blob	sha256	size	role
S01	CURRENT_SCIENTIFIC_PREMISES.tsv	9eb88898141dc7ada96bdf5a3aca450e1a2b5a46:CURRENT_SCIENTIFIC_PREMISES.tsv	d5f7cf098cd45d9981cf82742dd49329350d9af0	745c735a8824051dbd3dd2b3675af3ff8f4db67fa110b04a1f788e97f1b93f53	28919	current G44 precedence and exclusions
S02	udt_reciprocal_scalar_calibration_bitorsor_descent_audit_2026-08-10/AUDIT_REPORT.md	9eb88898141dc7ada96bdf5a3aca450e1a2b5a46:udt_reciprocal_scalar_calibration_bitorsor_descent_audit_2026-08-10/AUDIT_REPORT.md	1c894c911f37d962776b5aa5a55fde163c925ed5	c398879f1d0c5b80bd10076990f851897bf2b4311c5a61ee98c67271e70ffbf4	3037	controlling scalar-descent and open-owner result
S03	udt_reciprocal_scalar_calibration_bitorsor_descent_audit_2026-08-10/EXACT_DERIVATION.md	9eb88898141dc7ada96bdf5a3aca450e1a2b5a46:udt_reciprocal_scalar_calibration_bitorsor_descent_audit_2026-08-10/EXACT_DERIVATION.md	fed12c71b30a3a1a1bb412e882643ef3135eca9d	6fd2a2d4167b92ac62b060479fa8d6e5faf0f080a1f6a63b861cfff8f095b412	7055	density descent and zero-generation algebra
S04	udt_reciprocal_scalar_calibration_bitorsor_descent_audit_2026-08-10/DERIVATION_RESULT.json	9eb88898141dc7ada96bdf5a3aca450e1a2b5a46:udt_reciprocal_scalar_calibration_bitorsor_descent_audit_2026-08-10/DERIVATION_RESULT.json	8c13ecaa3cc4af9c8d2517ea0ae28fca4ac918e1	20115f6d16f890367c16c96bbd3ca236584368cde18fc9e05ee176f24760cbd1	1601	machine-readable G44 result
S05	udt_carried_intrinsic_middle_morphism_ownership_audit_2026-08-10/AUDIT_REPORT.md	9eb88898141dc7ada96bdf5a3aca450e1a2b5a46:udt_carried_intrinsic_middle_morphism_ownership_audit_2026-08-10/AUDIT_REPORT.md	5edec9d069f0936f286678c6694aa1465d3f1cd8	568752d1e4d9a9c26c2eb7a7a17dd444a3be3824bedf9e6bc9d36a292c58d45f	3477	alignment-bitorsor ownership scope
S06	udt_carried_intrinsic_middle_morphism_ownership_audit_2026-08-10/EXACT_DERIVATION.md	9eb88898141dc7ada96bdf5a3aca450e1a2b5a46:udt_carried_intrinsic_middle_morphism_ownership_audit_2026-08-10/EXACT_DERIVATION.md	688656b59fd2d2883a8c5edd30ef4f2c9d895259	925ca9fce8872392240fe390f2c10ec81685fea7e289d2286b1b8d3fa49dba87	11131	alignment and balanced-composition algebra
S07	udt_global_relation_family_branch_classification_2026-08-10/AUDIT_REPORT.md	9eb88898141dc7ada96bdf5a3aca450e1a2b5a46:udt_global_relation_family_branch_classification_2026-08-10/AUDIT_REPORT.md	633585e8aa4f28abbc626558724ac81d6e2988f0	21f9dc0e9e390383ad8a3ce88f9d16bb1dab2553db8fc940ffb6b9e28f8a2a71	4490	complete-branch relation-family ruling
S08	udt_global_relation_family_branch_classification_2026-08-10/EXACT_DERIVATION.md	9eb88898141dc7ada96bdf5a3aca450e1a2b5a46:udt_global_relation_family_branch_classification_2026-08-10/EXACT_DERIVATION.md	c99cfe4a5dad90be10d6082bca14e5cbfe0a6ac4	bf328179f5e82ad5f133aab84e50f50774f30f82e80d442ebd2d77aa5fffd9fd	5404	global relation-family derivation
S09	udt_global_relation_family_branch_classification_2026-08-10/BRANCH_UNIVERSE.tsv	9eb88898141dc7ada96bdf5a3aca450e1a2b5a46:udt_global_relation_family_branch_classification_2026-08-10/BRANCH_UNIVERSE.tsv	f0927ddfdb69c1f0597ce0ed4a833eaa865d008e	4a5505c35c5c154eb65228f5880970d50dbecd03628776df1e722db7cb5cfd0f	4218	24 stable identities
S10	udt_global_relation_family_branch_classification_2026-08-10/GLOBAL_RELATION_FAMILY_CLASSIFICATION.tsv	9eb88898141dc7ada96bdf5a3aca450e1a2b5a46:udt_global_relation_family_branch_classification_2026-08-10/GLOBAL_RELATION_FAMILY_CLASSIFICATION.tsv	d5b1c920f116d5b0f56478fc489909e53e3dbdcc	5ea123f9bb7407b840270dfb51aa4fc080f85a9a17b0538dfd1abf8960d5dc15	13106	branch relation classifications
