branch_id	stable_identity	conditional_magnitude_owner_families	complete_physical_magnitude_owner	remaining_joint
R01	FC01_BOUNDARY_BOUNDARY	NONE	NONE	NO_CURRENT_COMPLETE_OWNER
R02	FC02_ONE_CAP_BOUNDARY	NONE	NONE	NO_CURRENT_COMPLETE_OWNER
R03	FC03_TWO_CAP_P0	NONE	NONE	NO_CURRENT_COMPLETE_OWNER
R04	FC04_TWO_CAP_P1	NONE	NONE	NO_CURRENT_COMPLETE_OWNER
R05	FC05_TWO_CAP_P_GT1	NONE	NONE	NO_CURRENT_COMPLETE_OWNER
R06	FC06_NONPRIMITIVE_CAP	NONE	NONE	NO_CURRENT_COMPLETE_OWNER
R07	FC07_PERIODIC_TORUS_BUNDLE	NONE	NONE	NO_CURRENT_COMPLETE_OWNER
R08	FC08_MIRROR_DOUBLE	NONE	NONE	NO_CURRENT_COMPLETE_OWNER
R09	FC09_NONORIENTABLE_GLUE	NONE	NONE	NO_CURRENT_COMPLETE_OWNER
R10	FC10_STRATIFIED_PROJECTOR	NONE	NONE	NO_CURRENT_COMPLETE_OWNER
R11	FC11_NONINTEGRABLE_DISTRIBUTION	NONE	NONE	NO_CURRENT_COMPLETE_OWNER
R12	FC12_RECIPROCAL_TORIC_DIAGONAL	NONE	NONE	NO_CURRENT_COMPLETE_OWNER
R13	Q01_ROUND_S3_B19	NONE	NONE	NO_CURRENT_COMPLETE_OWNER
R14	Q02_SQUASHED_S3_OFF_SHELL	NONE	NONE	NO_CURRENT_COMPLETE_OWNER
R15	Q03_WRL_LOCAL	NONE	NONE	NO_CURRENT_COMPLETE_OWNER
R16	Q04_PHYSICAL_XMAX_JOIN	NONE	NONE	NO_CURRENT_COMPLETE_OWNER
R17	W01_TWISTED_RECIPROCAL_S3	F02_ENDPOINT_STATIONARY_CLOCK	NONE	SELECT_RECIPROCAL_LIFT_AND_PAIR_SURFACE
R18	W02_STATIC_GENERIC_LAPSE_ROUND_S3	F02_ENDPOINT_STATIONARY_CLOCK	NONE	DERIVE_INTRINSIC_RULER_OR_RECIPROCAL_COMPLETION
R19	W03_ULTRASTATIC_S3	NONE	NONE	NO_CURRENT_COMPLETE_OWNER
R20	W04_MULTIPLE_KILLING_CONTROL	NONE	NONE	NO_CURRENT_COMPLETE_OWNER
R21	W05_CAUSAL_SLICE_BOUNDARY	NONE	NONE	NO_CURRENT_COMPLETE_OWNER
R22	W06_TWIST_FREE_NONCONSTANT_CLOCK	NONE	NONE	NO_CURRENT_COMPLETE_OWNER
R23	GENERAL_SCREEN_S3_REGULAR_FAMILY	NONE	NONE	NO_CURRENT_COMPLETE_OWNER
R24	TORIC_DUAL_SYSTOLE_SET_VALUED_FAMILY	NONE	NONE	NO_CURRENT_COMPLETE_OWNER
