branch_id	stable_identity	family_id	family	existence_gate	nonisometry_gate	typing_gate	composition_gate	gauge_descent_gate	branch_ownership_gate	terminal_compatibility_gate	disposition	reason	evidence
R01	FC01_BOUNDARY_BOUNDARY	F01_PAIR_SURFACE_JACOBIAN	pair_surface_jacobian	FAIL_NO_COMPLETE_TYPED_BRANCH	UNTESTABLE	FAIL	UNTESTABLE	UNTESTABLE	FAIL_CURRENT_EVIDENCE_INSUFFICIENT	OPEN	INSUFFICIENT_TYPED_EVIDENCE	Parent branch status is INSUFFICIENT_TYPED_EVIDENCE; a schema or incomplete branch cannot own the audited magnitude.	udt_global_relation_family_branch_classification_2026-08-10/GLOBAL_RELATION_FAMILY_CLASSIFICATION.tsv::R01
R01	FC01_BOUNDARY_BOUNDARY	F02_ENDPOINT_STATIONARY_CLOCK	endpoint_stationary_clock	FAIL_NO_COMPLETE_TYPED_BRANCH	UNTESTABLE	FAIL	UNTESTABLE	UNTESTABLE	FAIL_CURRENT_EVIDENCE_INSUFFICIENT	OPEN	INSUFFICIENT_TYPED_EVIDENCE	Parent branch status is INSUFFICIENT_TYPED_EVIDENCE; a schema or incomplete branch cannot own the audited magnitude.	udt_global_relation_family_branch_classification_2026-08-10/GLOBAL_RELATION_FAMILY_CLASSIFICATION.tsv::R01
R01	FC01_BOUNDARY_BOUNDARY	F03_PATH_GLOBAL_COMPLETION	path_global_completion	FAIL_NO_COMPLETE_TYPED_BRANCH	UNTESTABLE	FAIL	UNTESTABLE	UNTESTABLE	FAIL_CURRENT_EVIDENCE_INSUFFICIENT	OPEN	INSUFFICIENT_TYPED_EVIDENCE	Parent branch status is INSUFFICIENT_TYPED_EVIDENCE; a schema or incomplete branch cannot own the audited magnitude.	udt_global_relation_family_branch_classification_2026-08-10/GLOBAL_RELATION_FAMILY_CLASSIFICATION.tsv::R01
R01	FC01_BOUNDARY_BOUNDARY	F04_NATIVE_DYNAMICAL_BOOTSTRAP	native_dynamical_bootstrap	FAIL_NO_FROZEN_NATIVE_LAW	OPEN	OPEN_VARIATION_AND_STATE_OWNER	OPEN	OPEN	FAIL_NOT_IN_CURRENT_KINEMATIC_FOUNDATION	OPEN	BLOCKED_MISSING_DYNAMIC_LAW	No frozen native dynamics or bootstrap return supplies a calibration-line magnitude; none is invented.	CURRENT_SCIENTIFIC_PREMISES.tsv::G44
R01	FC01_BOUNDARY_BOUNDARY	F05_NO_CURRENT_KINEMATIC_OWNER	no_current_kinematic_owner	SUPPORTED_BY_COMPLETE_F01_F04_CENSUS	NO_COMPLETE_NONZERO_OWNER	NO_COMPLETE_PHYSICAL_PAIR_OWNER	UNOWNED_OR_ZERO	SUPPLIED_READOUT_DESCENT_ONLY	NO_COMPLETE_OWNER_IN_CURRENT_RECORD	OPEN	SUPPORTED_NO_COMPLETE_PHYSICAL_OWNER	No family in the current frozen kinematic record owns a complete physical non-isometric magnitude on this identity.	udt_reciprocal_scalar_calibration_bitorsor_descent_audit_2026-08-10/AUDIT_REPORT.md
R02	FC02_ONE_CAP_BOUNDARY	F01_PAIR_SURFACE_JACOBIAN	pair_surface_jacobian	FAIL_NO_COMPLETE_TYPED_BRANCH	UNTESTABLE	FAIL	UNTESTABLE	UNTESTABLE	FAIL_CURRENT_EVIDENCE_INSUFFICIENT	OPEN	INSUFFICIENT_TYPED_EVIDENCE	Parent branch status is INSUFFICIENT_TYPED_EVIDENCE; a schema or incomplete branch cannot own the audited magnitude.	udt_global_relation_family_branch_classification_2026-08-10/GLOBAL_RELATION_FAMILY_CLASSIFICATION.tsv::R02
R02	FC02_ONE_CAP_BOUNDARY	F02_ENDPOINT_STATIONARY_CLOCK	endpoint_stationary_clock	FAIL_NO_COMPLETE_TYPED_BRANCH	UNTESTABLE	FAIL	UNTESTABLE	UNTESTABLE	FAIL_CURRENT_EVIDENCE_INSUFFICIENT	OPEN	INSUFFICIENT_TYPED_EVIDENCE	Parent branch status is INSUFFICIENT_TYPED_EVIDENCE; a schema or incomplete branch cannot own the audited magnitude.	udt_global_relation_family_branch_classification_2026-08-10/GLOBAL_RELATION_FAMILY_CLASSIFICATION.tsv::R02
R02	FC02_ONE_CAP_BOUNDARY	F03_PATH_GLOBAL_COMPLETION	path_global_completion	FAIL_NO_COMPLETE_TYPED_BRANCH	UNTESTABLE	FAIL	UNTESTABLE	UNTESTABLE	FAIL_CURRENT_EVIDENCE_INSUFFICIENT	OPEN	INSUFFICIENT_TYPED_EVIDENCE	Parent branch status is INSUFFICIENT_TYPED_EVIDENCE; a schema or incomplete branch cannot own the audited magnitude.	udt_global_relation_family_branch_classification_2026-08-10/GLOBAL_RELATION_FAMILY_CLASSIFICATION.tsv::R02
R02	FC02_ONE_CAP_BOUNDARY	F04_NATIVE_DYNAMICAL_BOOTSTRAP	native_dynamical_bootstrap	FAIL_NO_FROZEN_NATIVE_LAW	OPEN	OPEN_VARIATION_AND_STATE_OWNER	OPEN	OPEN	FAIL_NOT_IN_CURRENT_KINEMATIC_FOUNDATION	OPEN	BLOCKED_MISSING_DYNAMIC_LAW	No frozen native dynamics or bootstrap return supplies a calibration-line magnitude; none is invented.	CURRENT_SCIENTIFIC_PREMISES.tsv::G44
R02	FC02_ONE_CAP_BOUNDARY	F05_NO_CURRENT_KINEMATIC_OWNER	no_current_kinematic_owner	SUPPORTED_BY_COMPLETE_F01_F04_CENSUS	NO_COMPLETE_NONZERO_OWNER	NO_COMPLETE_PHYSICAL_PAIR_OWNER	UNOWNED_OR_ZERO	SUPPLIED_READOUT_DESCENT_ONLY	NO_COMPLETE_OWNER_IN_CURRENT_RECORD	OPEN	SUPPORTED_NO_COMPLETE_PHYSICAL_OWNER	No family in the current frozen kinematic record owns a complete physical non-isometric magnitude on this identity.	udt_reciprocal_scalar_calibration_bitorsor_descent_audit_2026-08-10/AUDIT_REPORT.md
