id	path	role	authority	affirmative_use	prohibition	audit_ruling
R001	CANON.md	canon/control ledger	MIXED_DATE_CONTROL	current owner locks only after later controls	pre-July science cannot affirm post-firewall physics	SCOPE_HISTORY_ONLY
R002	LIVE.md	controlling state	CURRENT_CONTROL	frontier and authority boundary	not load-bearing algebra	CONTROLLING_SCOPE
R003	UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	CSN postulate	OWNER_LOCKED_FOUNDATION	pre-scale conformal equivalence	does not select a representative or action	FOUNDING_SELECTOR
R004	UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	bootstrap principle	OWNER_STATED_WORKING	on-shell consistency	cannot become a missing local EOM	ON_SHELL_ONLY
R005	UDT_GR_TO_UDT_SELECTOR_AUDIT_2026-07-18.md	action selector audit	POST_FIREWALL_EVIDENCE	pre/post-scale action distinctions	no C2 completion promotion	ACTION_BRANCH_SCOPE
R006	UDT_NATIVE_ACTION_COLD_ARM_DISPATCH.md	C0 foundation	HARD_FROZEN_OWNER_PACKET	exact supplied foundation	no historical import	FOUNDATION_INPUT
R007	UDT_NATIVE_ACTION_COLD_PACKET.md	C1 clarification	HARD_FROZEN_OWNER_PACKET	seal/carrier/bootstrap/Xmax statuses	no action or boundary completion	FOUNDATION_INPUT
R008	UDT_S2_CARRIER_STATUS_CLARIFICATION_2026-07-15.md	carrier clarification	OWNER_CURRENT_CLARIFICATION	S2 reopened as posit	no carrier/action assumption	CARRIER_EXCLUSION
R009	UDT_XMAX_STATUS_CLARIFICATION_2026-07-15.md	Xmax clarification	OWNER_CURRENT_CLARIFICATION	working global posit	no local insertion or value	GLOBAL_STATUS
R010	angular_derivative_weight_selector_2026-07-20/AUDIT_REPORT.md	derivative-weight audit	CURRENT_EVIDENCE	order separation	no L2/L4 import	DERIVATIVE_SCOPE
R011	angular_derivative_weight_selector_2026-07-20/DERIVATION_RESULT.json	derivative exact algebra	CURRENT_EVIDENCE	CSN order algebra	bounded premises	CONDITIONAL_ALGEBRA
R012	angular_derivative_weight_selector_2026-07-20/STATUS_LEDGER.tsv	derivative ledger	CURRENT_EVIDENCE	route labels	no material weighting	STATUS_SCOPE
R013	angular_toric_closure_selector_2026-07-19/AUDIT_REPORT.md	toric closure audit	CURRENT_EVIDENCE	conditional S3 family	premises not founded	CONDITIONAL_GLOBAL_GEOMETRY
R014	angular_toric_closure_selector_2026-07-19/DERIVATION_RESULT.json	toric exact algebra	CURRENT_EVIDENCE	cap/lattice calculations	inherits premises	CONDITIONAL_ALGEBRA
R015	angular_toric_closure_selector_2026-07-19/STATUS_LEDGER.tsv	toric status ledger	CURRENT_EVIDENCE	conditional/open distinctions	no topology promotion	STATUS_SCOPE
R016	bootstrap_csn_phi_angular_selector_2026-07-19/AUDIT_REPORT.md	phi-angular audit	CURRENT_EVIDENCE	selectors fail to force local equation	no invented equation	NEGATIVE_SELECTOR_EVIDENCE
R017	bootstrap_csn_phi_angular_selector_2026-07-19/STATUS_LEDGER.tsv	phi-angular ledger	CURRENT_EVIDENCE	underdetermination labels	no equation promotion	STATUS_SCOPE
R018	boundary_bootstrap_representative_selector_audit_2026-07-19/AUDIT_REPORT.md	boundary audit	CURRENT_EVIDENCE	boundary/bootstrap limits	future completion remains open	BOUNDARY_SELECTOR_NEGATIVE
R019	boundary_bootstrap_representative_selector_audit_2026-07-19/STATUS_LEDGER.tsv	boundary ledger	CURRENT_EVIDENCE	selector statuses	no boundary action promotion	STATUS_SCOPE
R020	c2_angular_reduction_selector_2026-07-20/AUDIT_REPORT.md	immediate parent audit	CURRENT_EVIDENCE	compact round-shape theorem	product and boundary caveats remain	PARENT_RESULT
R021	c2_angular_reduction_selector_2026-07-20/COMPLETENESS_SCOPE.tsv	parent scope	CURRENT_EVIDENCE	omitted lapse/shift/boundary layers	omissions stay open	SCOPE_GATE
R022	c2_angular_reduction_selector_2026-07-20/DERIVATION_RESULT.json	parent exact output	CURRENT_EVIDENCE	curvature roots and coefficients	inherits product premises	PARENT_ALGEBRA
R023	c2_angular_reduction_selector_2026-07-20/EQUATION_LEDGER.tsv	parent equations	CURRENT_EVIDENCE	product Bach and shape identities	constant-lapse limitation	PARENT_ALGEBRA
R024	c2_angular_reduction_selector_2026-07-20/NEXT_SCIENTIFIC_DECISION.md	authorized seam	CURRENT_NAVIGATION	defines variable-lapse question	not outcome evidence	QUESTION_ONLY
R025	c2_angular_reduction_selector_2026-07-20/STATUS_LEDGER.tsv	parent status ledger	CURRENT_EVIDENCE	exact conditional labels	no scale/matter promotion	STATUS_SCOPE
R026	c2_finite_cell_boundary_variation_2026-07-20/AUDIT_REPORT.md	immediate parent audit	CURRENT_EVIDENCE	exact boundary phase-space and selector negative	conditional C2 and non-null fixed-wall caveats	PARENT_PHASE_SPACE
R027	c2_finite_cell_boundary_variation_2026-07-20/BOUNDARY_CLASS_LEDGER.tsv	parent class census	CURRENT_EVIDENCE	inequivalent differentiable classes	none selected	CLASS_FORK
R028	c2_finite_cell_boundary_variation_2026-07-20/COMPLETENESS_SCOPE.tsv	parent scope census	CURRENT_EVIDENCE	decomposition omissions	omissions remain open	SCOPE_GATE
R029	c2_finite_cell_boundary_variation_2026-07-20/CONVENTION_LEDGER.tsv	parent convention ledger	CURRENT_EVIDENCE	normal/gauge/K conventions	null and moving walls open	CONVENTION_SCOPE
R030	c2_finite_cell_boundary_variation_2026-07-20/DERIVATION_RESULT.json	parent exact output	CURRENT_EVIDENCE	machine-readable phase-space identities	not physical wall rule	PARENT_ALGEBRA
R031	c2_finite_cell_boundary_variation_2026-07-20/EQUATION_LEDGER.tsv	parent equations	CURRENT_EVIDENCE	h/K momenta, corner, CSN, Q	conventions and action conditional	PARENT_ALGEBRA
