catch	result
action_overclaim_rejected	PASS
ansatz_overclaim_rejected	PASS
basin_overclaim_rejected	PASS
boundary_overclaim_rejected	PASS
canon_mutation_rejected	PASS
carrier_import_rejected	PASS
closure_overclaim_rejected	PASS
cluster_overclaim_rejected	PASS
coframe-status_overclaim_rejected	PASS
coframe_promotion_rejected	PASS
failure_promotion_rejected	PASS
grade_overclaim_rejected	PASS
grid_mutation_rejected	PASS
mass_overclaim_rejected	PASS
maximum_overreach_rejected	PASS
merit_filter_rejected	PASS
missing_attempt_rejected	PASS
missing_attempt_table_rejected	PASS
missing_census_rejected	PASS
missing_cluster_rejected	PASS
missing_scope_rejected	PASS
missing_source_rejected	PASS
missing_status_rejected	PASS
missing_unresolved_rejected	PASS
nonround_cluster_rejected	PASS
outcome_overclaim_rejected	PASS
parity_overclaim_rejected	PASS
summary_caveat_loss_rejected	PASS
summary_uniqueness_rejected	PASS
time_overclaim_rejected	PASS
topology_overclaim_rejected	PASS
unresolved_overclaim_rejected	PASS
validation_failure_rejected	PASS
