path	blob	sha256	size_bytes	matched_tokens	source_class	initial_disposition
.claude/hooks/corral_trigger.py	9020be9a8a3ee77f020534bba6577cadaaad8330	fb2b9eeaa9c06431ec38af993324649deaf7a5a150166757587022a08c73cc0f	5010	LAPSE_TIME;ACTION;CARRIER	OTHER_TRACKED_CONTEXT	CONTEXT_CANDIDATE
.claude/skills/completeness-map/SKILL.md	b09b8ae35cec40db4cebd0f16decc8792fb660b2	8c32d77f33490750c20f9df121917ac4513cefe7662867bc61ea01f70c7c6e13	2262	LAPSE_TIME;ACTION;BOUNDARY;CARRIER	OTHER_TRACKED_CONTEXT	CONTEXT_CANDIDATE
.claude/skills/no-shortcuts/SKILL.md	97d546927d6c594c84f9402315d001ea88dc4d8a	20eb84d287795ed7f435eca50183a900cf82e4f7b417e0334fb1e8844dc83003	2288	ANGULAR;ACTION	OTHER_TRACKED_CONTEXT	CONTEXT_CANDIDATE
.claude/skills/solution-space-not-imposition/SKILL.md	c43293d62f93e06633466fb1731c96a27686f85b	01bf656edaae3b0edb8671e11f47d23d6d154907436e7ebead008d92ff79f0e1	5289	ANGULAR;ACTION;BOUNDARY	OTHER_TRACKED_CONTEXT	CONTEXT_CANDIDATE
.claude/skills/solver-first/SKILL.md	91f635298daaca3ddb35896c187cbf3bd4501a5e	1b64dacac4db2f19d35475aba80f032a7e9a1bf73134f982596f3ffaea5acc45	1867	ANGULAR;BOUNDARY	OTHER_TRACKED_CONTEXT	CONTEXT_CANDIDATE
AGENTS.md	11df5ae6be1ba0fcf97a8e79d0b3c835279f0b37	ec77da04656188569977f6810735195da466ad02cf8332c1cc03db0757e83529	11102	CSN;LAPSE_TIME;ANGULAR;ACTION;BOUNDARY;BOOTSTRAP;CARRIER	CONTROL_OR_CANON	CONTEXT_CANDIDATE
ANGULAR_TORIC_HANDOFF_UPDATE_PREREG_2026-07-19.md	bc4d50d9a2283f3665ed985e3a96c38c24bd36da	19f24688b7c7921ad991781096b4054e826b679380564f51f00c9bb60530b058	2269	CSN;LAPSE_TIME;ANGULAR;ACTION;BOUNDARY;CARRIER	CURRENT_JULY19_EVIDENCE	CONTEXT_CANDIDATE
AUDIT.md	6246eafd70861645fce959b4e7fb9c66bae3f07e	0e36df7cbd2e2198fa1a9785f6c8d9b5054fc42b24a1dfb1a44244ca331942ec	38255	C2_BACH;LAPSE_TIME;ANGULAR;BOUNDARY;CARRIER	OTHER_TRACKED_CONTEXT	CONTEXT_CANDIDATE
CANON.md	a67e518b623c8715679b26d5736c7409e3ffcae3	5d99c0ba09fcee0429a34ac6b3dda4faff489b7d214b622fcbd286deb3785314	35011	C2_BACH;LAPSE_TIME;ANGULAR;ACTION;BOUNDARY;CARRIER	CONTROL_OR_CANON	LOAD_BEARING_CANDIDATE
CLAUDE.md	eae6e334fcf36c977ab571201ca9e2ed3a8d5020	25838399458a34573fb4bc9dd4a211de8142eabb682ba382822aad57ba019b45	24250	LAPSE_TIME;ANGULAR;ACTION;BOUNDARY;CARRIER	CONTROL_OR_CANON	CONTEXT_CANDIDATE
CODEX_STARTUP_REHEARSAL_2026-07-17.md	404039f1ae739de3ce2f35cca06a43d18af6044d	2b4af69fea9cdd6324309f258f6c109d227897e090b66cc9493fb686ea6848bd	1948	LAPSE_TIME;ACTION;BOUNDARY;CARRIER	OTHER_TRACKED_CONTEXT	CONTEXT_CANDIDATE
CODEX_ZERO_CONTEXT_STARTUP_REHEARSAL_2026-07-19.md	56017ccdfe9295421e3ba7fa397f13e9a5fb3db4	941540d5763f876439836406188419cbdb55d794500eb464f98f03a81bdf1ee5	5522	ANGULAR;ACTION;BOUNDARY;CARRIER	CURRENT_JULY19_EVIDENCE	CONTEXT_CANDIDATE
CODEX_ZERO_CONTEXT_STARTUP_REHEARSAL_PREREG_2026-07-19.md	f0490e222096f490f95e205f37d46d6e801cd7e9	8462e4d3fd66293aa05dd2e6a6038a30af44f55a721a92921b07183712e992b1	2865	ANGULAR;ACTION;BOUNDARY;CARRIER	CURRENT_JULY19_EVIDENCE	CONTEXT_CANDIDATE
COGNITIVE_CORRAL_TRIGGERS_SETUP.md	9989eaea43c64a5b900102e4c3a5dc5fe3bda8a3	0d5a008470726a54745f5e35f94e27ef0d40554a9569b89d2e99a9c4e45f9fda	18833	LAPSE_TIME;ANGULAR;ACTION;BOUNDARY;CARRIER	OTHER_TRACKED_CONTEXT	CONTEXT_CANDIDATE
CROSS_MODEL_VERIFY.md	95b60c08e0d55dcf2c3104fb9f14a130752cbff3	417bb036579bf4a333dab6a3da4c8cae73d61bf49ae8fe0f74b46df86d05e6fa	2839	LAPSE_TIME;ANGULAR;ACTION	OTHER_TRACKED_CONTEXT	CONTEXT_CANDIDATE
F0_SYSTEMATIC_AUDIT_results.md	a2d7ffd103dc82d41922abcf5320bc8c50410f74	3293eab3af0c76c62ee2351b7554c116d1351e87c4ce5115fb9824cc959b2b7d	17598	LAPSE_TIME;ANGULAR;ACTION;BOUNDARY;CARRIER	OTHER_TRACKED_CONTEXT	CONTEXT_CANDIDATE
F2_closure_results.md	53531541b574ac240a579a280425adf471974553	976edc403b9bcb7be392dbe48ae67d3eef051ae46f0ff5e43c061a5e38b9ad35	24252	LAPSE_TIME;ANGULAR;ACTION;BOUNDARY;CARRIER	OTHER_TRACKED_CONTEXT	CONTEXT_CANDIDATE
F2_matter_action_forcedness_results.md	8f932eb8f1e6af4a83017bffeb0e82444875614a	1d1b852312615516910d489a67d9c9c8f445812678df19dbbe67e2b08cd2d1b2	20979	LAPSE_TIME;ANGULAR;ACTION;BOUNDARY;BOOTSTRAP;CARRIER	OTHER_TRACKED_CONTEXT	CONTEXT_CANDIDATE
F4_seal_boundary_MAP.md	90d9d0382facc61432f9d36b8670cbd9d9ed2f7b	7ea689de0fa792b63fa9246865925240311e119106a61aa5e89b958eed93f064	21130	LAPSE_TIME;ANGULAR;ACTION;BOUNDARY	OTHER_TRACKED_CONTEXT	CONTEXT_CANDIDATE
F5_critical_universe_closure_results.md	ae4b09f3be492805557dcba3d15b159565e5107b	16f800d165ae5abf10af3737cb4626e69c1df62c8cfccfa124ff5793d9548599	21590	C2_BACH;LAPSE_TIME;ANGULAR;ACTION;BOUNDARY;BOOTSTRAP	OTHER_TRACKED_CONTEXT	CONTEXT_CANDIDATE
F6_postulate_A_ledger_results.md	defb9adf416dba6a1240e22be9846375b39144f5	268bc7434dc2634785bb07c13b02ed43c34ac646ce9e955a9e40d298a13e64b8	20776	LAPSE_TIME;ANGULAR;ACTION;BOUNDARY;CARRIER	OTHER_TRACKED_CONTEXT	CONTEXT_CANDIDATE
