premise_id	object	provenance_tag	status	audit_use	open_or_excluded_scope
N01	founded_phi_identity	pinned-by-THEORY:CURRENT_SCIENTIFIC_PREMISES_G01	DERIVED_ADDITIVE_LOG_DEPTH	fixed reciprocal group parameter	physical pair/path assignment and realized profile open
N02	founded_pair_action	pinned-by-THEORY:CURRENT_SCIENTIFIC_PREMISES_G02	DERIVED_DIAG_EXP_MINUS_PLUS	fixed two-channel subgroup	angular and mixing lift open
N03	observer_frame_reciprocity	pinned-by-THEORY:SOURCE_CAPABILITY_TO_AUDIT	ACTIVE_FOUNDATIONAL_REQUIREMENT	test covariance and equivalence	must not be assumed to select a section
N04	complete_4D_extension	free-and-explored	OPEN_EXACT_CLASS	classify all sourced extension freedoms	no spectator or block-diagonal pin
N05	phi_profile_pair_path_assignment	free-and-explored	OPEN	construction obligation	coordinate time and local radius not identified by habit
N06	angular_and_mixing_sector	free-and-explored	OPEN	construction obligation	no isotropy torus Hopf line or carrier selected
N07	finite_cell_completion	free-and-explored	TWELVE_REGISTERED_CLASSES	characterize all source capabilities	no edge cap seam quotient topology or boundary selected
N08	causal_type_and_interfaces	free-and-explored	ZERO_TIMELIKE_NULL_SPACELIKE_TYPE_CHANGE	retain all strata	no causal type privileged
N09	c_E	pinned-by-THEORY:CURRENT_SCIENTIFIC_PREMISES_G06	OBSERVED_ANCHOR	calibration capability audit	must not silently select dimensionless shape
N10	G_obs	pinned-by-THEORY:CURRENT_SCIENTIFIC_PREMISES_G06	OBSERVED_ANCHOR	calibration capability audit	complete native placement open
N11	strong_local_CSN	pinned-by-THEORY:CURRENT_SCIENTIFIC_PREMISES_G04	INACTIVE_CHALLENGED_NOT_DERIVED	excluded	no Weyl quotient or pre-scale selection
N12	common_factor_cancellation	pinned-by-THEORY:CURRENT_SCIENTIFIC_PREMISES_G05	DERIVED_ALGEBRA_ONLY	sensitivity check	not a physical gauge theorem
N13	co_presence	pinned-by-HABIT:WORKING_INTERPRETIVE_FRAME	WORKING_NOT_CONSTRUCTION_EQUATION	audit capability without promotion	mathematical law and signal ontology open
N14	P02_local_motifs	pinned-by-THEORY:OBSERVED_BOUNDED	DORMANT_FROZEN_INPUT	available only after construction gate	not physical branches or selection
N15	action_source_carrier_density_bootstrap_boundary_mass	pinned-by-THEORY:CURRENT_SCIENTIFIC_PREMISES_G09_G16	OPEN_EXCLUDED	none	no downstream physics imported
N16	physical_time_evolution_and_GPU	pinned-by-THEORY:LIVE_AUTHORITY_BOUNDARY	NOT_AUTHORIZED	none	no relaxation interpreted as time
N17	GR_or_external_geometry	pinned-by-HABIT:REFERENCE_ONLY	COMPARISON_ONLY	none in native derivation	no imported field equations connection or completion
