catch_id	result	method
F01	PASS	invalid in-memory candidate rejected
F02	PASS	invalid in-memory candidate rejected
F03	PASS	invalid in-memory candidate rejected
F04	PASS	invalid in-memory candidate rejected
F05	PASS	invalid in-memory candidate rejected
F06	PASS	invalid in-memory candidate rejected
F07	PASS	invalid in-memory candidate rejected
F08	PASS	invalid in-memory candidate rejected
F09	PASS	invalid in-memory candidate rejected
F10	PASS	invalid in-memory candidate rejected
F11	PASS	invalid in-memory candidate rejected
F12	PASS	invalid in-memory candidate rejected
F13	PASS	invalid in-memory candidate rejected
F14	PASS	invalid in-memory candidate rejected
F15	PASS	invalid in-memory candidate rejected
F16	PASS	invalid in-memory candidate rejected
F17	PASS	invalid in-memory candidate rejected
F18	PASS	invalid in-memory candidate rejected
F19	PASS	invalid in-memory candidate rejected
F20	PASS	invalid in-memory candidate rejected
F21	PASS	invalid in-memory candidate rejected
F22	PASS	invalid in-memory candidate rejected
F23	PASS	invalid in-memory candidate rejected
F24	PASS	invalid in-memory candidate rejected
F25	PASS	invalid in-memory candidate rejected
F26	PASS	invalid in-memory candidate rejected
F27	PASS	invalid in-memory candidate rejected
