status_id	object	status	exact_scope	remaining_open
S01	founded_clock_ruler_generator	DERIVED	exact_two_channel_action_diag_minus1_plus1	physical_comparison_base_and_global_realization
S02	full_Lorentz_fixed_plane_extension	REJECTED_AS_FRAME_PRINCIPLE	full_Lorentz_centralizer_is_scalar	observer_selected_pair_must_transform_equivariantly
S03	ordered_pair_SO2_self_adjoint_lift	DERIVED_FAMILY_WITH_EXPLICIT_MODULUS	X_lambda_diag_minus1_plus1_lambda_lambda	lambda_selection_and_more_general_mixing_outside_bounded_class
S04	complete_nonultrastatic_reciprocal_configuration	DERIVED_AS_EXISTENCE_CLASS	global_RxS3_coframe_all_smooth_finite_phi_real_lambda_R_positive_and_slice_inequality	native_selection_K_line_uniqueness_general_completion
S05	stationary_Killing_norm_depth	DERIVED_CONDITIONAL	given_intrinsic_stationary_timelike_line_delta_equals_phi_q_minus_phi_p	universal_observer_or_path_semantics_and_time_live_depth
S06	twist_selected_ruler	DERIVED_CONDITIONAL	W01_given_stationary_line_and_a_kappa_nonzero	full_K_line_uniqueness_in_same_metric
S07	physical_comparison_and_signed_depth	OPEN_INDEPENDENT	all_endpoint_cocycles_compose	metric_native_observer_event_path_assignment
S08	transverse_and_mixing_response	OPEN_INDEPENDENT	real_lambda_family_survives_founded_pair_and_covariance	native_finite_lift_selector
S09	global_completion_and_causal_interfaces	OPEN_INDEPENDENT	local_and_complete_configuration families_do_not_select_join	charts_cocycles_caps_seams_quotients_descent_type_change
S10	c_E	OBSERVED_ANCHOR_PLACED	local_clock_ruler_conversion_in_metric	no_dimensionless_shape_selection
S11	G_obs	OBSERVED_ANCHOR_NOT_NATIVELY_PLACED	available_observational_scale_anchor	native_mass_geometry_relation_or_equivalent
S12	realized_branch_equations	OPEN	complete_family_is_off_shell	native_EOM_or_whole_solution_closure
S13	P03_57_source_internal_result	RETAIN_SCOPED	exact_inside_frozen_P03_universe	repository_wide_completeness_corrected
S14	P03_only_ultrastatic_registered_claim	SUPERSEDED_REPOSITORY_WIDE	omitted_preexisting_complete_nonultrastatic_family	frozen_P03_package_unchanged
S15	complete_native_global_coframe_law	OPEN_MULTIPLE_INDEPENDENT_SELECTOR_GAPS	99_frozen_sources_17_by_12_capability_map_7_countercontrols	S01_S02_S03_and_downstream_S04_S05
S16	overall_verification	VERIFIED_WITH_CAVEATS	27_catches_and_independent_algebra_passed	same_session_not_fresh_adversarial_context
