source_id	path	sha256	source_role	construction_capability	obligations_addressed	ruling
S001	CURRENT_SCIENTIFIC_PREMISES.md	63fe502793db25c9ddbf078c393fecc449d43648984d63504b49a4b9fbe72491	CURRENT_PREMISE_CONTROL	CONSTRAINS_ONLY	O01;O02;O10;O11;O12	Controls active status and exclusions; not a construction by itself.
S002	CURRENT_SCIENTIFIC_PREMISES.tsv	c05647b1498073b79f2cad56608befd43cb8f0052ea286a39cdb30a00c236ddf	CURRENT_PREMISE_CONTROL	CONSTRAINS_ONLY	O01;O02;O10;O11;O12	Controls active status and exclusions; not a construction by itself.
S003	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md	3c7fed27fae474c8718ffe8f09dad858c12b0aba068494e2a8248fe19f642783	FOUNDED_PAIR_AND_EXTENSION_CLASS	CONSTRAINS_ONLY	O01;O02;O06;O11	Fixes the pair action and exhibits residual extension freedom.
S004	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv	7a4fba1c6f9d02eb7ca12ac953d04e1c04e2b7271598dc99e51db5baeddedb08	FOUNDED_PAIR_AND_EXTENSION_CLASS	CONSTRAINS_ONLY	O01;O02;O06;O11	Fixes the pair action and exhibits residual extension freedom.
S005	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/DERIVATION_RESULT.json	25b4fd3b9a904c992b3b05a6f7480c8151c5d56c09b440d79074d22b96aff0b9	FOUNDED_PAIR_AND_EXTENSION_CLASS	CONSTRAINS_ONLY	O01;O02;O06;O11	Fixes the pair action and exhibits residual extension freedom.
S006	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/INDEPENDENT_RESULT.json	61228b57ee0a51f6185b0222227ac1e3f8bb600e5e8767bbefcd060412a40e88	FOUNDED_PAIR_AND_EXTENSION_CLASS	CONSTRAINS_ONLY	O01;O02;O06;O11	Fixes the pair action and exhibits residual extension freedom.
S007	udt_complete_coframe_native_selector_audit_2026-07-26/AUDIT_REPORT.md	260979d6e5449844c5ed4676f3cebc331934dfa17d9df3e92f6fabeb86ada507	POINTWISE_SELECTOR_RANK	CONSTRAINS_ONLY	O02;O04;O06;O11	Active selector rank is zero in the registered pointwise class.
S008	udt_complete_coframe_native_selector_audit_2026-07-26/EXACT_DERIVATION.md	cb97cfeea62e379a87190d8bcbea3cc7706dc9b77035b0e34c13b366d3315bd2	POINTWISE_SELECTOR_RANK	CONSTRAINS_ONLY	O02;O04;O06;O11	Active selector rank is zero in the registered pointwise class.
S009	udt_complete_coframe_native_selector_audit_2026-07-26/EXTENSION_FAMILY_UNIVERSE.tsv	2433bdda4428921e48fe67a9738e512e5b5c7890a53e185ffeb7938904bae51a	POINTWISE_SELECTOR_RANK	CONSTRAINS_ONLY	O02;O04;O06;O11	Active selector rank is zero in the registered pointwise class.
S010	udt_complete_coframe_native_selector_audit_2026-07-26/PREMISE_SELECTOR_UNIVERSE.tsv	aaacd5aaee3d17478dc62fb7e8cf118922e7f0f5704442a086de3f83ce94e051	POINTWISE_SELECTOR_RANK	CONSTRAINS_ONLY	O02;O04;O06;O11	Active selector rank is zero in the registered pointwise class.
S011	udt_complete_coframe_native_selector_audit_2026-07-26/SELECTOR_CAPABILITY_LEDGER.tsv	92aff2ffac5cae6ce7088e3656135e9807c4ec8b0870a23385ca7809155ef286	POINTWISE_SELECTOR_RANK	CONSTRAINS_ONLY	O02;O04;O06;O11	Active selector rank is zero in the registered pointwise class.
S012	udt_complete_coframe_native_selector_audit_2026-07-26/STATUS_LEDGER.tsv	b7f45f5fe88ca5cc189f6f13ad770fbbd180adad5f8748aecfd41dfe9ee87650	POINTWISE_SELECTOR_RANK	CONSTRAINS_ONLY	O02;O04;O06;O11	Active selector rank is zero in the registered pointwise class.
