catch_id	result	corruption_or_overclaim
F01	PASS	one_of_four_copresence_causality_stamps_deleted_or_changed
F02	PASS	copresence_promoted_to_instantaneous_operational_access
F03	PASS	C07_called_twist_selected_ruler
F04	PASS	C08_called_nontrivial_endpoint_depth
F05	PASS	intrinsic_clock_or_ruler_parent_status_changed
F06	PASS	projector_not_idempotent_or_wrong_rank
F07	PASS	projector_fails_to_annihilate_u_or_n
F08	PASS	screen_metric_not_positive_on_theta2_theta3
F09	PASS	orientation_sign_called_metric_selected
F10	PASS	Maurer_Cartan_terms_or_dphi_term_omitted_from_area_derivative
F11	PASS	local_area_transport_called_optical_Jacobi_area
F12	PASS	Killing_energy_not_conserved_but_endpoint_law_claimed
F13	PASS	endpoint_clock_ratio_sign_reversed
F14	PASS	founding_depth_join_claimed_for_arbitrary_nonstationary_observers
F15	PASS	vertex_Jacobi_block_called_composable_alone
F16	PASS	full_phase_space_propagator_not_symplectic_or_not_composable
F17	PASS	longitudinal_and_transverse_data_taken_from_different_metric_branches
F18	PASS	reducible_direct_sum_called_irreducible_solder
F19	PASS	constant_lambda_claimed_to_make_raw_local_screen_scale_equal_WRL_DA_near_phi_zero
F20	PASS	SNe_readout_called_validation_or_selection_of_twisted_S3_or_lambda
F21	PASS	path_event_cut_locus_or_endpoint_semantics_selected
F22	PASS	action_carrier_source_density_bootstrap_mass_Xmax_or_dynamics_inferred
F23	PASS	production_module_imported_by_independent_verifier
F24	PASS	candidate_added_removed_or_retuned_after_preregistration
