catch_id	corruption_or_overclaim	required_rejection
F01	one_of_four_copresence_causality_stamps_deleted_or_changed	FAIL_G01
F02	copresence_promoted_to_instantaneous_operational_access	FAIL_G01_G19
F03	C07_called_twist_selected_ruler	FAIL_G02_G16
F04	C08_called_nontrivial_endpoint_depth	FAIL_G02_G16
F05	intrinsic_clock_or_ruler_parent_status_changed	FAIL_G02
F06	projector_not_idempotent_or_wrong_rank	FAIL_G03
F07	projector_fails_to_annihilate_u_or_n	FAIL_G03
F08	screen_metric_not_positive_on_theta2_theta3	FAIL_G04
F09	orientation_sign_called_metric_selected	FAIL_G05_G18
F10	Maurer_Cartan_terms_or_dphi_term_omitted_from_area_derivative	FAIL_G06
F11	local_area_transport_called_optical_Jacobi_area	FAIL_G07_G14
F12	Killing_energy_not_conserved_but_endpoint_law_claimed	FAIL_G08
F13	endpoint_clock_ratio_sign_reversed	FAIL_G09
F14	founding_depth_join_claimed_for_arbitrary_nonstationary_observers	FAIL_G10_G19
F15	vertex_Jacobi_block_called_composable_alone	FAIL_G11
F16	full_phase_space_propagator_not_symplectic_or_not_composable	FAIL_G11
F17	longitudinal_and_transverse_data_taken_from_different_metric_branches	FAIL_G12
F18	reducible_direct_sum_called_irreducible_solder	FAIL_G13_G18
F19	constant_lambda_claimed_to_make_raw_local_screen_scale_equal_WRL_DA_near_phi_zero	FAIL_G14
F20	SNe_readout_called_validation_or_selection_of_twisted_S3_or_lambda	FAIL_G15_G18
F21	path_event_cut_locus_or_endpoint_semantics_selected	FAIL_G18_G19
F22	action_carrier_source_density_bootstrap_mass_Xmax_or_dynamics_inferred	FAIL_G19
F23	production_module_imported_by_independent_verifier	FAIL_G20
F24	candidate_added_removed_or_retuned_after_preregistration	PREREGISTRATION_FAILURE
