object	exact_result	status	open_scope
intrinsic_screen_projector	H=I+u_tensor_u-n_tensor_n;diag_orthonormal=0,0,1,1	DERIVED_C01_TO_C06	time_and_orientation_signs
screen_metric	q=g+u_flat_tensor_u_flat-n_flat_tensor_n_flat=theta2_squared+theta3_squared	DERIVED_C01_TO_C06	physical_optical_identification
oriented_area	epsilon_perp=plus_or_minus_theta2_wedge_theta3	CONDITIONAL_ON_ORIENTATION	metric_does_not_select_orientation
area_exterior_response	d_epsilon_perp=2lambda_dphi_wedge_epsilon_perp	DERIVED_EXACT	optical_Jacobi_response
stationary_area_transport	Lie_u_epsilon_perp=0	DERIVED_EXACT	future_time_live_branches
ruler_area_transport	Lie_n_epsilon_perp=2lambda_nphi_epsilon_perp	DERIVED_EXACT	physical_lambda
endpoint_clock_ratio	log_Qpq=phi_q-phi_p	DERIVED_C01_TO_C06_STATIONARY_ENDPOINTS	arbitrary_observers_and_semantics
Jacobi_phase_space_M	symplectic_composable_invertible_on_supplied_geodesic	DERIVED_GIVEN_PATH	explicit_nonhomogeneous_path_atlas
same_metric_direct_sum	S_logQ_direct_sum_M	DERIVED_REDUCIBLE_GIVEN_PATH_C01_TO_C06	irreducible_solder
intrinsic_null_acceleration_plus	minus_p1_lplus_minus_2p2_E2_minus_2p3_E3	DERIVED_EXACT	other_coframes_or_topologies
intrinsic_null_acceleration_minus	plus_p1_lminus_minus_2p2_E2_minus_2p3_E3	DERIVED_EXACT	other_coframes_or_topologies
aligned_pregeodesic_condition	E2phi=E3phi=0	DERIVED_EXACT	individual_aligned_segments
global_contact_implication	aligned_everywhere_implies_dphi=0	DERIVED_TWISTED_S3_STATIONARY	other_completions_and_time_live
nontrivial_depth_consequence	intrinsic_pair_must_mix_with_path_screen_somewhere	DERIVED_TWISTED_S3_STATIONARY	dynamical_or_physical_interpretation
raw_local_screen_equals_WRL_DA	NO_FOR_CONSTANT_LAMBDA_AND_NORMALIZATION	REJECTED_FROZEN_LOCAL_FAMILY	full_Jacobi_solution
lambda_minus_two_WRL_complement	exp_minus_2phi_occurs_as_complement_inside_1_minus_exp_minus_2phi	LEAD_NOT_SELECTOR	prospective_Jacobi_test
